class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,97.56,47.15,34.96,39.84,77.24,43.9,123
1,93.18,47.73,29.55,43.18,56.82,31.82,44
2,87.04,24.07,20.37,46.3,68.52,31.48,54
3,71.43,14.29,0.0,19.05,42.86,4.76,21
4,77.78,22.22,22.22,44.44,11.11,0.0,9
5,100.0,14.29,28.57,28.57,57.14,14.29,7
6,91.67,31.67,26.67,25.0,51.67,18.33,60
7,70.0,7.5,2.5,2.5,25.0,2.5,40
8,66.67,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,33.33,0.0,66.67,33.33,3
10,92.31,53.85,30.77,46.15,69.23,30.77,13
11,88.89,11.11,8.89,11.11,55.56,17.78,45
12,95.92,42.86,34.69,39.8,70.41,24.49,98
13,50.0,25.0,0.0,25.0,25.0,0.0,4
14,33.33,0.0,0.0,33.33,33.33,0.0,3
15,98.1,35.44,30.38,28.48,70.89,36.08,158
16,94.14,52.38,39.93,48.35,69.23,33.7,273
17,88.46,34.62,19.23,25.0,44.23,17.31,52
18,60.0,0.0,0.0,40.0,40.0,0.0,5
19,92.45,28.3,12.26,21.7,49.06,14.15,106
20,97.84,57.14,49.78,59.74,77.49,45.45,231
21,95.7,27.96,22.58,37.63,67.74,29.03,93
22,78.46,69.23,52.31,61.54,73.85,40.0,65
23,98.46,64.31,47.69,61.85,77.54,38.46,325
24,75.0,5.0,5.0,25.0,70.0,15.0,20
25,100.0,33.33,9.52,28.57,57.14,14.29,21
26,90.91,68.18,22.73,36.36,68.18,36.36,22
27,0.0,0.0,5.88,11.76,11.76,0.0,17
28,97.66,35.16,21.48,30.08,66.02,25.0,256
29,91.23,15.79,14.04,14.04,45.61,17.54,57
30,97.68,75.64,64.27,71.46,88.4,56.84,431
31,96.67,51.11,42.78,51.11,74.44,27.78,180
32,98.31,45.51,45.51,60.11,60.96,26.4,356
33,83.33,61.11,50.0,55.56,72.22,44.44,18
34,100.0,33.33,14.29,28.57,76.19,14.29,21
35,100.0,20.0,20.0,25.71,40.0,20.0,35
36,100.0,67.53,64.29,77.27,83.77,47.4,154
37,94.96,27.34,21.58,30.22,57.55,9.35,139
38,77.78,22.22,22.22,22.22,33.33,0.0,9
39,87.88,36.36,18.18,18.18,60.61,27.27,33
40,91.49,36.17,19.15,23.4,59.57,44.68,47
41,93.81,65.98,43.3,56.7,74.23,40.21,97
42,93.59,44.87,26.92,46.15,76.92,32.05,78
43,100.0,48.15,31.48,44.44,74.07,22.22,54
44,85.71,42.86,42.86,42.86,57.14,0.0,7
45,98.49,62.64,38.87,60.0,70.94,32.08,265
46,98.43,45.1,31.76,38.82,72.94,35.69,255
47,85.19,11.11,14.81,22.22,62.96,11.11,27
48,93.83,45.68,38.27,45.99,70.68,37.96,324
49,87.5,32.14,19.64,42.86,64.29,21.43,56
50,96.38,39.13,27.54,36.96,66.67,31.88,414
51,98.35,37.45,28.81,38.27,64.2,20.58,243
52,98.35,45.66,28.72,42.15,67.77,24.17,484
53,92.86,19.75,9.66,19.33,47.48,8.4,238
54,68.75,18.75,0.0,12.5,43.75,0.0,16
55,98.27,19.48,4.33,11.26,46.32,10.82,231
56,79.17,0.0,0.0,4.17,25.0,0.0,24
57,97.45,27.04,10.71,23.47,62.76,20.92,196
58,83.33,8.33,8.33,8.33,33.33,8.33,12
59,100.0,22.22,37.04,37.04,55.56,14.81,27
60,98.41,41.27,30.16,30.16,58.73,26.98,63
61,94.64,41.07,26.79,30.36,64.29,30.36,56
62,90.91,24.24,12.12,30.3,42.42,21.21,33
63,96.44,14.22,37.33,52.44,36.0,11.11,225
64,36.36,9.09,9.09,9.09,9.09,0.0,11
65,66.67,0.0,0.0,0.0,22.22,0.0,9
66,87.69,13.08,24.62,26.92,37.69,18.46,130
67,99.44,33.89,27.78,42.22,61.67,22.22,180
68,94.44,38.89,27.78,27.78,61.11,25.0,36
69,72.73,45.45,27.27,36.36,72.73,63.64,11
70,100.0,39.66,50.0,53.45,74.14,46.55,58
71,95.83,20.83,16.67,29.17,66.67,29.17,24
72,96.51,41.86,44.19,52.33,69.77,39.53,86
73,95.92,53.06,53.06,69.39,67.35,26.53,49
74,97.09,43.69,41.75,53.88,56.31,26.7,206
75,88.24,41.18,52.94,60.78,76.47,45.1,51
76,88.89,11.11,22.22,11.11,33.33,5.56,18
77,89.86,34.78,35.51,55.8,57.97,31.16,138
78,97.97,45.18,25.38,42.64,68.53,19.8,197
79,93.2,28.16,34.95,45.63,67.96,26.21,103
80,100.0,66.67,33.33,66.67,66.67,0.0,3
81,88.89,47.22,19.44,44.44,69.44,22.22,36
82,100.0,42.86,42.86,14.29,28.57,0.0,7
83,93.59,33.33,23.08,38.46,42.31,7.69,78
84,0.0,0.0,0.0,0.0,0.0,25.0,4
85,55.56,0.0,0.0,0.0,0.0,0.0,9
86,92.13,20.79,26.97,37.08,47.75,14.61,178
87,84.81,26.58,16.46,23.42,42.41,18.99,158
88,82.14,32.14,21.43,35.71,53.57,7.14,28
89,87.5,37.5,37.5,25.0,37.5,0.0,8
90,98.22,45.63,49.35,64.4,65.05,27.18,618
91,91.53,35.59,22.03,47.46,66.1,13.56,59
92,25.0,0.0,0.0,0.0,0.0,8.33,12
93,82.76,3.45,5.17,10.34,15.52,3.45,58
94,0.0,33.33,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,28.57,0.0,0.0,0.0,14.29,14.29,7
97,80.95,53.97,41.27,44.44,71.43,46.03,63
98,66.67,0.0,0.0,0.0,33.33,0.0,3
99,84.21,15.79,21.05,47.37,57.89,15.79,19
100,100.0,16.67,16.67,16.67,33.33,0.0,6
101,100.0,0.0,20.0,40.0,0.0,20.0,5
102,96.0,36.0,12.0,20.0,72.0,24.0,25
