class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,95.93,91.87,92.68,64.23,40.65,45.53,95.12,92.68,91.87,92.68,88.62,89.43,69.92,73.17,63.41,95.93,91.87,93.5,123
1,93.18,90.91,93.18,31.82,43.18,50.0,93.18,90.91,90.91,61.36,65.91,68.18,50.0,61.36,56.82,88.64,90.91,93.18,44
2,88.89,85.19,98.15,61.11,42.59,51.85,88.89,90.74,90.74,85.19,81.48,94.44,66.67,81.48,79.63,87.04,85.19,98.15,54
3,80.95,61.9,52.38,23.81,9.52,9.52,71.43,57.14,52.38,66.67,52.38,47.62,42.86,47.62,28.57,76.19,57.14,52.38,21
4,88.89,66.67,77.78,0.0,0.0,0.0,66.67,11.11,66.67,66.67,44.44,77.78,33.33,44.44,44.44,88.89,66.67,77.78,9
5,28.57,85.71,71.43,0.0,0.0,14.29,14.29,42.86,57.14,28.57,71.43,71.43,28.57,71.43,57.14,28.57,85.71,71.43,7
6,90.0,88.33,81.67,65.0,43.33,28.33,85.0,90.0,83.33,86.67,90.0,76.67,70.0,71.67,48.33,90.0,90.0,81.67,60
7,52.5,62.5,42.5,15.0,0.0,2.5,40.0,52.5,17.5,30.0,47.5,27.5,22.5,40.0,10.0,52.5,62.5,42.5,40
8,100.0,66.67,33.33,0.0,0.0,0.0,100.0,100.0,33.33,66.67,0.0,33.33,66.67,0.0,0.0,100.0,33.33,33.33,3
9,100.0,66.67,66.67,66.67,66.67,0.0,100.0,66.67,33.33,100.0,66.67,66.67,66.67,33.33,33.33,100.0,66.67,66.67,3
10,84.62,76.92,76.92,38.46,15.38,53.85,76.92,61.54,84.62,76.92,69.23,76.92,53.85,61.54,53.85,76.92,76.92,76.92,13
11,86.67,93.33,91.11,17.78,35.56,33.33,53.33,82.22,84.44,71.11,91.11,93.33,44.44,66.67,68.89,86.67,93.33,91.11,45
12,85.71,93.88,82.65,21.43,27.55,36.73,77.55,91.84,73.47,56.12,72.45,63.27,35.71,69.39,44.9,82.65,93.88,82.65,98
13,25.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,25.0,4
14,33.33,33.33,66.67,0.0,0.0,33.33,0.0,33.33,66.67,33.33,66.67,66.67,33.33,33.33,33.33,33.33,33.33,66.67,3
15,91.77,91.14,95.57,74.05,34.18,29.75,89.24,82.91,73.42,93.04,86.08,89.24,72.15,73.42,72.15,90.51,89.87,94.94,158
16,94.14,93.04,87.91,80.22,53.85,61.54,89.74,91.21,80.22,91.21,90.48,89.38,79.49,80.22,77.66,93.41,93.04,88.28,273
17,88.46,82.69,63.46,32.69,44.23,48.08,67.31,76.92,38.46,78.85,80.77,59.62,40.38,51.92,51.92,88.46,82.69,63.46,52
18,100.0,60.0,100.0,20.0,20.0,60.0,40.0,60.0,80.0,40.0,40.0,100.0,0.0,40.0,80.0,100.0,60.0,100.0,5
19,66.98,82.08,85.85,6.6,8.49,22.64,58.49,78.3,75.47,34.91,66.04,77.36,9.43,46.23,33.96,66.04,81.13,85.85,106
20,94.37,95.67,98.27,65.8,39.39,77.06,93.51,91.77,96.54,94.37,91.77,95.24,83.55,86.15,82.68,94.37,95.24,97.84,231
21,92.47,86.02,93.55,29.03,6.45,29.03,83.87,52.69,83.87,84.95,78.49,84.95,59.14,73.12,60.22,91.4,84.95,93.55,93
22,67.69,81.54,83.08,55.38,52.31,72.31,70.77,81.54,84.62,67.69,76.92,75.38,69.23,75.38,70.77,67.69,81.54,83.08,65
23,95.08,92.62,95.69,42.15,43.69,65.23,94.46,93.54,94.46,91.08,89.54,93.54,76.62,84.0,78.46,95.08,91.69,96.0,325
24,50.0,55.0,60.0,10.0,0.0,10.0,40.0,55.0,35.0,45.0,70.0,65.0,35.0,30.0,30.0,50.0,50.0,55.0,20
25,90.48,85.71,85.71,19.05,28.57,52.38,85.71,71.43,80.95,95.24,71.43,76.19,52.38,61.9,66.67,90.48,80.95,85.71,21
26,81.82,90.91,90.91,50.0,13.64,45.45,77.27,81.82,81.82,81.82,81.82,86.36,63.64,81.82,72.73,81.82,90.91,90.91,22
27,0.0,0.0,11.76,5.88,0.0,23.53,0.0,0.0,11.76,0.0,0.0,11.76,11.76,0.0,5.88,0.0,0.0,11.76,17
28,92.58,95.7,94.14,51.17,43.36,56.25,85.94,93.36,80.86,79.3,85.94,82.42,57.03,67.97,54.69,91.02,95.31,94.14,256
29,49.12,49.12,63.16,22.81,7.02,14.04,22.81,57.89,56.14,28.07,43.86,35.09,22.81,24.56,24.56,47.37,49.12,64.91,57
30,97.68,98.38,97.45,89.1,75.87,77.26,95.82,97.22,93.74,95.59,96.29,93.04,86.77,92.58,80.97,97.45,98.14,97.68,431
31,86.11,91.67,91.11,24.44,27.78,43.89,58.33,83.33,68.89,85.56,86.67,91.67,72.78,87.78,84.44,86.67,91.11,90.56,180
32,94.66,96.91,95.79,85.67,82.87,84.55,82.58,95.22,95.51,90.45,95.22,95.22,71.35,82.87,80.34,94.94,96.91,96.07,356
33,83.33,83.33,72.22,61.11,22.22,38.89,77.78,77.78,38.89,83.33,77.78,66.67,72.22,77.78,72.22,83.33,83.33,72.22,18
34,100.0,95.24,95.24,90.48,71.43,76.19,95.24,95.24,95.24,100.0,90.48,95.24,85.71,85.71,85.71,100.0,95.24,95.24,21
35,91.43,97.14,94.29,40.0,34.29,62.86,48.57,74.29,91.43,65.71,88.57,82.86,42.86,85.71,74.29,91.43,97.14,94.29,35
36,98.7,99.35,93.51,77.27,57.79,49.35,81.17,75.32,44.16,97.4,95.45,88.96,83.12,92.86,81.17,98.7,99.35,93.51,154
37,95.68,92.09,94.24,21.58,21.58,47.48,90.65,87.77,86.33,87.05,89.93,93.53,61.87,79.86,71.94,95.68,92.09,94.24,139
38,100.0,100.0,55.56,33.33,0.0,44.44,44.44,33.33,0.0,100.0,100.0,55.56,77.78,77.78,66.67,100.0,100.0,66.67,9
39,84.85,78.79,81.82,27.27,18.18,21.21,48.48,60.61,60.61,66.67,66.67,75.76,63.64,63.64,54.55,84.85,78.79,81.82,33
40,93.62,100.0,95.74,17.02,31.91,48.94,87.23,95.74,89.36,89.36,97.87,89.36,68.09,85.11,85.11,93.62,100.0,95.74,47
41,95.88,92.78,90.72,49.48,36.08,69.07,96.91,91.75,91.75,82.47,79.38,85.57,59.79,78.35,67.01,95.88,91.75,90.72,97
42,91.03,93.59,96.15,46.15,46.15,74.36,84.62,87.18,91.03,91.03,93.59,93.59,76.92,88.46,78.21,92.31,92.31,96.15,78
43,83.33,92.59,81.48,44.44,25.93,50.0,64.81,81.48,72.22,74.07,90.74,75.93,51.85,85.19,68.52,83.33,92.59,81.48,54
44,100.0,85.71,100.0,42.86,28.57,85.71,85.71,85.71,100.0,100.0,57.14,100.0,85.71,85.71,85.71,100.0,85.71,100.0,7
45,96.6,98.11,99.25,56.23,38.49,60.75,94.72,96.6,96.23,90.57,92.08,93.21,70.94,80.75,80.38,96.6,98.11,99.62,265
46,91.37,95.69,95.29,3.14,1.18,18.82,74.9,93.73,91.37,54.12,77.65,83.14,34.9,60.0,50.59,92.16,94.9,95.29,255
