category,sub-category,images,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42
Dangerous warning,Dangerous warning,2228,88.0167908438061,85.86161131059245,85.05340215439855,36.175771992818675,39.766521543985625,29.48894524236984,79.62206463195692,82.4053590664273,75.67380161579892,63.60059245960502,64.54173249551167,65.39410682226212,52.782657091561944,55.65518402154399,55.3850538599641,88.0167908438061,85.86161131059245,85.05340215439855
Regularoty,Priority ,1041,92.89170028818444,94.91047070124881,92.8921325648415,58.21091258405381,54.17773294908742,58.59532180595583,83.19058597502402,87.60902017291066,85.78112391930837,77.52074927953892,78.29221902017292,80.97773294908741,70.60654178674352,73.19756964457252,71.18500480307398,92.89170028818444,94.91047070124881,92.8921325648415
Regularoty,Prohibitory,3957,88.62714430123833,88.40072782410917,88.45016932019207,21.379686631286322,27.065117513267634,23.83113722517059,74.55089714430125,73.46469294920394,73.31370482688905,47.56243618903209,49.02563810967905,55.899838261309064,37.8834748546879,40.61182461460703,43.618880464998746,88.62714430123833,88.40072782410917,88.45016932019207
Regularoty,Mandatory,2547,88.41851590106006,84.88268551236744,86.375920691009,30.310812720848055,32.58714173537495,26.815853945818613,66.19696113074205,60.89628190027484,59.52226148409895,62.07430310168826,60.150341578327435,60.18807224185316,55.08559874361995,54.14148017275225,51.23624656458578,88.41851590106006,84.88268551236744,86.375920691009
