class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,98.37,99.19,99.19,99.19,96.75,99.19,99.19,98.37,98.37,97.56,97.56,123
1,90.91,90.91,90.91,86.36,93.18,88.64,90.91,88.64,86.36,90.91,86.36,44
2,88.89,87.04,92.59,85.19,85.19,85.19,90.74,88.89,85.19,88.89,88.89,54
3,76.19,76.19,71.43,66.67,71.43,71.43,71.43,71.43,76.19,76.19,71.43,21
4,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,66.67,77.78,66.67,9
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,100.0,85.71,7
6,91.67,91.67,91.67,91.67,88.33,88.33,88.33,88.33,88.33,88.33,88.33,60
7,80.0,77.5,77.5,72.5,67.5,75.0,67.5,55.0,70.0,55.0,42.5,40
8,33.33,66.67,66.67,66.67,33.33,33.33,33.33,33.33,33.33,33.33,66.67,3
9,66.67,66.67,100.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,100.0,3
10,92.31,84.62,84.62,84.62,84.62,76.92,84.62,84.62,92.31,84.62,76.92,13
11,95.56,95.56,97.78,95.56,97.78,95.56,97.78,95.56,95.56,93.33,95.56,45
12,92.86,93.88,94.9,89.8,94.9,93.88,94.9,92.86,87.76,90.82,90.82,98
13,75.0,75.0,75.0,75.0,75.0,50.0,50.0,50.0,25.0,50.0,50.0,4
14,33.33,33.33,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,3
15,93.04,92.41,96.2,91.77,94.3,94.3,94.3,92.41,92.41,92.41,93.67,158
16,92.67,93.04,92.67,92.31,93.04,92.67,93.41,91.94,93.41,92.67,91.94,273
17,92.31,92.31,92.31,92.31,90.38,92.31,90.38,88.46,90.38,90.38,92.31,52
18,40.0,40.0,40.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,5
19,95.28,95.28,96.23,94.34,93.4,93.4,90.57,93.4,91.51,89.62,92.45,106
20,96.97,96.97,96.97,97.84,96.97,96.54,95.67,96.1,96.54,96.97,95.67,231
21,91.4,89.25,91.4,88.17,89.25,89.25,88.17,89.25,87.1,84.95,87.1,93
22,81.54,80.0,81.54,80.0,80.0,80.0,78.46,80.0,81.54,80.0,78.46,65
23,97.54,97.54,96.92,97.54,96.31,96.92,96.62,95.38,95.69,95.69,97.23,325
24,80.0,80.0,80.0,80.0,80.0,85.0,80.0,80.0,80.0,85.0,75.0,20
25,85.71,85.71,85.71,90.48,85.71,85.71,90.48,85.71,85.71,85.71,80.95,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,90.91,95.45,22
27,11.76,17.65,11.76,17.65,17.65,11.76,23.53,11.76,11.76,23.53,17.65,17
28,99.22,99.22,98.83,97.66,97.66,98.05,96.48,96.88,96.09,94.92,97.27,256
29,89.47,87.72,84.21,82.46,84.21,78.95,84.21,75.44,73.68,68.42,78.95,57
30,99.07,99.3,98.61,98.38,98.84,98.84,99.3,98.84,98.84,97.22,97.91,431
31,94.44,95.0,95.0,93.89,93.33,95.0,94.44,94.44,94.44,95.0,95.56,180
32,97.75,97.75,97.19,96.91,97.75,96.35,96.07,96.35,96.07,95.79,94.1,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,97.14,97.14,94.29,97.14,88.57,97.14,88.57,88.57,94.29,82.86,35
