class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
34,95.24,100.0,100.0,28.57,52.38,47.62,28.57,52.38,61.9,38.1,28.57,47.62,100.0,100.0,100.0,95.24,100.0,100.0,21
35,100.0,94.29,100.0,22.86,31.43,20.0,20.0,31.43,22.86,28.57,20.0,37.14,88.57,82.86,94.29,97.14,82.86,94.29,35
36,100.0,97.4,100.0,43.51,62.34,53.9,65.58,62.34,65.58,61.04,64.29,63.64,98.7,97.4,96.75,100.0,97.4,98.7,154
37,92.81,94.96,95.68,11.51,34.53,24.46,10.07,20.14,20.86,15.83,20.14,25.18,92.09,92.81,93.53,89.93,94.24,92.09,139
38,88.89,100.0,88.89,11.11,22.22,22.22,0.0,11.11,22.22,11.11,55.56,44.44,44.44,88.89,77.78,66.67,88.89,77.78,9
39,96.97,90.91,93.94,24.24,33.33,24.24,36.36,51.52,33.33,27.27,30.3,21.21,93.94,84.85,87.88,87.88,90.91,93.94,33
40,95.74,93.62,89.36,29.79,53.19,48.94,36.17,36.17,42.55,36.17,42.55,46.81,89.36,97.87,82.98,91.49,89.36,87.23,47
41,96.91,96.91,96.91,64.95,68.04,69.07,75.26,69.07,69.07,57.73,72.16,70.1,95.88,95.88,96.91,94.85,95.88,95.88,97
42,96.15,93.59,98.72,37.18,53.85,60.26,43.59,46.15,52.56,37.18,46.15,50.0,88.46,97.44,98.72,92.31,96.15,96.15,78
43,88.89,94.44,96.3,50.0,50.0,50.0,38.89,48.15,48.15,42.59,40.74,48.15,90.74,92.59,96.3,83.33,88.89,90.74,54
44,85.71,100.0,85.71,28.57,42.86,28.57,42.86,28.57,28.57,14.29,42.86,28.57,100.0,100.0,85.71,85.71,85.71,85.71,7
45,100.0,99.62,99.25,54.34,63.02,58.49,51.32,64.53,54.72,55.47,66.04,58.11,98.87,98.87,98.49,97.36,98.11,98.87,265
46,98.43,96.47,98.04,40.39,46.67,43.92,45.1,43.14,40.78,38.43,43.53,46.27,97.25,92.94,92.55,94.9,95.69,94.51,255
47,85.19,88.89,96.3,29.63,14.81,33.33,40.74,18.52,33.33,40.74,14.81,48.15,81.48,85.19,88.89,77.78,85.19,92.59,27
48,95.37,93.52,95.37,37.65,42.28,49.38,38.27,45.68,54.94,45.99,42.9,52.16,89.51,87.96,90.43,87.96,88.58,91.05,324
49,96.43,89.29,87.5,44.64,42.86,44.64,37.5,41.07,41.07,41.07,44.64,39.29,94.64,87.5,91.07,94.64,87.5,87.5,56
50,94.44,96.62,95.41,34.78,41.06,42.75,40.1,40.34,52.17,39.13,43.96,50.24,90.34,91.55,92.03,89.61,92.51,89.86,414
51,98.35,97.53,97.94,34.16,32.92,36.63,35.8,33.74,37.45,44.03,32.1,42.39,92.59,88.89,91.77,91.36,90.95,92.18,243
52,98.76,99.17,99.38,29.55,39.67,47.93,32.64,44.42,45.25,31.61,43.18,47.52,93.6,96.28,95.04,95.87,96.28,95.87,484
53,90.34,92.86,92.02,15.55,24.37,26.05,21.01,18.91,24.37,15.55,24.79,22.27,81.09,83.61,82.35,81.93,88.24,83.61,238
54,43.75,62.5,50.0,6.25,0.0,0.0,6.25,6.25,6.25,0.0,18.75,12.5,37.5,56.25,43.75,31.25,50.0,43.75,16
55,96.97,95.24,97.4,10.82,19.48,16.88,17.32,21.21,17.32,17.32,18.61,17.32,90.04,90.48,88.31,90.04,91.77,91.34,231
56,83.33,83.33,87.5,4.17,0.0,0.0,8.33,4.17,12.5,4.17,8.33,12.5,33.33,70.83,54.17,58.33,54.17,54.17,24
57,97.45,95.92,96.43,28.57,29.08,28.57,37.24,26.02,29.08,34.69,31.12,25.51,92.86,90.82,90.31,91.33,93.37,91.84,196
58,58.33,83.33,83.33,8.33,33.33,0.0,16.67,16.67,25.0,25.0,16.67,8.33,66.67,75.0,66.67,58.33,75.0,58.33,12
