category,images,Original_model_52_ideal,Original_model_49_ideal,Original_model_42_ideal,fognight_model_52_ideal,fognight_model_49_ideal,fognight_model_42_ideal,fogsnow_model_52_ideal,fogsnow_model_49_ideal,fogsnow_model_42_ideal,fograin_model_52_ideal,fograin_model_49_ideal,fograin_model_42_ideal,rainnight_model_52_ideal,rainnight_model_49_ideal,rainnight_model_42_ideal,snownight_model_52_ideal,snownight_model_49_ideal,snownight_model_42_ideal
Dangerous warning,2228,93.17827199281865,92.19096499102335,94.03183123877918,42.19129712746857,45.2419434470377,47.30746858168761,41.60771095152602,45.60269748653501,48.0246723518851,42.68295332136445,45.914048473967675,45.15157540394973,89.54241921005386,89.0500359066427,90.5761265709156,89.45237881508079,89.76700628366248,90.39452872531419
Regularoty,7545,94.72461497680582,94.59246918489065,95.02962889330682,38.17138502319417,40.96759310801855,43.84353479125249,45.50008880053016,46.46781047051027,48.98615639496356,45.69873028495692,45.8449662027833,49.582490390987424,88.69349370444,89.13141550695825,89.78102186878728,89.02553611663352,89.44960503644799,89.52884029158385
