class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,95.93,95.12,95.12,94.31,96.75,95.12,94.31,96.75,94.31,95.93,92.68,123
1,88.64,86.36,84.09,84.09,88.64,81.82,81.82,75.0,77.27,77.27,86.36,44
2,83.33,79.63,75.93,75.93,79.63,72.22,66.67,72.22,70.37,61.11,68.52,54
3,52.38,52.38,57.14,57.14,52.38,57.14,52.38,52.38,52.38,52.38,47.62,21
4,66.67,55.56,66.67,66.67,44.44,66.67,66.67,66.67,77.78,77.78,77.78,9
5,85.71,71.43,57.14,42.86,57.14,85.71,42.86,57.14,28.57,57.14,42.86,7
6,88.33,88.33,86.67,86.67,88.33,85.0,86.67,81.67,75.0,78.33,76.67,60
7,70.0,72.5,80.0,80.0,62.5,80.0,77.5,55.0,62.5,55.0,37.5,40
8,33.33,33.33,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,66.67,33.33,33.33,3
10,84.62,84.62,76.92,84.62,92.31,84.62,76.92,76.92,76.92,69.23,84.62,13
11,93.33,88.89,93.33,86.67,86.67,86.67,84.44,82.22,86.67,80.0,77.78,45
12,90.82,88.78,87.76,92.86,88.78,88.78,86.73,86.73,83.67,82.65,79.59,98
13,50.0,50.0,25.0,50.0,75.0,25.0,50.0,25.0,50.0,25.0,50.0,4
14,33.33,0.0,0.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,33.33,3
15,90.51,88.61,87.97,89.87,88.61,89.24,85.44,86.08,82.91,79.75,79.75,158
16,95.24,93.77,92.67,92.31,93.04,91.21,91.58,89.38,90.11,89.38,84.25,273
17,78.85,80.77,76.92,78.85,75.0,78.85,78.85,76.92,69.23,69.23,69.23,52
18,40.0,40.0,60.0,60.0,40.0,40.0,40.0,20.0,60.0,40.0,0.0,5
19,85.85,86.79,87.74,87.74,90.57,87.74,82.08,86.79,87.74,82.08,84.91,106
20,96.97,96.54,96.97,96.54,95.24,95.67,94.81,95.24,95.67,92.21,92.64,231
21,93.55,91.4,94.62,91.4,90.32,88.17,90.32,88.17,88.17,86.02,84.95,93
22,81.54,81.54,81.54,81.54,81.54,81.54,80.0,81.54,80.0,81.54,80.0,65
23,96.0,96.0,96.31,94.15,95.08,94.46,95.69,95.08,94.15,94.77,95.38,325
24,65.0,60.0,50.0,55.0,50.0,45.0,45.0,35.0,45.0,40.0,35.0,20
25,76.19,71.43,61.9,71.43,66.67,66.67,66.67,57.14,66.67,57.14,57.14,21
26,90.91,86.36,95.45,90.91,90.91,90.91,90.91,86.36,86.36,95.45,81.82,22
27,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,17
28,97.27,96.88,98.05,96.88,98.05,95.7,93.36,94.53,89.84,90.23,90.62,256
29,84.21,80.7,73.68,70.18,70.18,75.44,68.42,66.67,61.4,66.67,61.4,57
30,98.14,98.14,97.91,97.68,96.98,97.22,97.68,97.22,96.98,96.06,95.82,431
31,91.11,91.67,91.67,92.22,91.11,90.0,90.0,91.11,89.44,88.33,87.78,180
32,96.35,96.63,95.79,94.94,94.94,93.54,93.54,94.38,92.42,91.57,91.29,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,100.0,95.24,100.0,21
35,85.71,85.71,88.57,82.86,85.71,88.57,85.71,80.0,80.0,82.86,80.0,35
36,96.75,98.7,97.4,98.05,96.75,98.7,98.7,98.7,94.81,98.05,96.1,154
37,94.96,94.24,95.68,94.24,94.24,94.24,91.37,92.81,92.09,89.93,92.81,139
38,66.67,66.67,66.67,66.67,66.67,66.67,55.56,66.67,55.56,66.67,66.67,9
39,87.88,78.79,84.85,81.82,78.79,81.82,84.85,84.85,87.88,81.82,78.79,33
40,76.6,80.85,80.85,80.85,78.72,80.85,85.11,76.6,78.72,76.6,68.09,47
41,93.81,93.81,93.81,93.81,92.78,92.78,91.75,92.78,91.75,90.72,89.69,97
42,96.15,94.87,92.31,91.03,93.59,92.31,91.03,91.03,88.46,93.59,89.74,78
43,94.44,92.59,92.59,94.44,90.74,92.59,90.74,87.04,88.89,77.78,83.33,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,57.14,71.43,71.43,7
45,99.25,98.49,98.49,98.11,98.87,100.0,98.11,95.09,96.6,96.98,97.36,265
46,96.47,96.47,96.86,96.86,96.86,96.86,95.69,95.29,95.29,94.51,95.29,255
47,77.78,74.07,77.78,55.56,70.37,70.37,70.37,55.56,66.67,55.56,62.96,27
48,94.75,93.83,93.21,91.67,91.98,90.74,90.43,90.43,87.96,86.11,85.8,324
49,89.29,89.29,89.29,89.29,85.71,89.29,83.93,83.93,85.71,78.57,78.57,56
50,95.17,93.48,91.3,90.58,91.55,88.65,86.47,83.57,84.06,81.16,80.92,414
51,95.06,94.24,92.59,92.18,88.89,88.48,86.01,88.07,83.54,82.3,79.84,243
52,96.9,95.87,95.66,95.04,95.25,93.6,92.98,92.36,91.53,89.46,88.64,484
53,87.39,86.55,87.39,84.45,81.93,78.15,77.73,72.69,72.27,65.55,65.97,238
54,43.75,43.75,43.75,43.75,37.5,31.25,43.75,43.75,37.5,18.75,25.0,16
55,93.51,94.37,90.04,91.34,88.74,90.48,89.18,86.58,81.82,80.09,81.39,231
56,66.67,66.67,66.67,66.67,58.33,62.5,50.0,54.17,54.17,50.0,37.5,24
57,93.37,93.88,91.84,91.33,90.31,87.76,87.76,87.24,87.76,81.12,81.63,196
58,75.0,75.0,75.0,75.0,83.33,58.33,66.67,66.67,58.33,75.0,58.33,12
59,100.0,100.0,100.0,100.0,96.3,96.3,88.89,88.89,88.89,92.59,85.19,27
60,96.83,93.65,88.89,84.13,82.54,90.48,84.13,77.78,82.54,73.02,65.08,63
61,94.64,94.64,96.43,91.07,91.07,94.64,89.29,89.29,94.64,89.29,89.29,56
62,81.82,75.76,75.76,81.82,78.79,78.79,81.82,78.79,69.7,69.7,72.73,33
63,96.44,94.67,94.67,94.22,94.22,92.89,92.44,93.78,90.67,90.67,90.22,225
64,45.45,54.55,36.36,45.45,36.36,45.45,54.55,18.18,27.27,54.55,36.36,11
65,88.89,88.89,88.89,88.89,88.89,100.0,88.89,88.89,77.78,77.78,77.78,9
66,84.62,82.31,79.23,80.77,82.31,78.46,80.0,76.92,73.85,75.38,74.62,130
67,100.0,100.0,100.0,99.44,100.0,100.0,99.44,98.89,100.0,98.33,98.89,180
68,86.11,88.89,86.11,91.67,94.44,83.33,83.33,88.89,77.78,75.0,86.11,36
69,63.64,63.64,72.73,63.64,72.73,63.64,63.64,63.64,54.55,63.64,63.64,11
70,100.0,100.0,100.0,100.0,100.0,100.0,98.28,96.55,94.83,98.28,96.55,58
71,95.83,100.0,95.83,95.83,95.83,100.0,95.83,95.83,87.5,91.67,91.67,24
72,97.67,96.51,96.51,97.67,95.35,95.35,95.35,95.35,91.86,94.19,89.53,86
73,97.96,97.96,97.96,97.96,97.96,97.96,95.92,95.92,93.88,95.92,93.88,49
74,95.63,96.6,95.15,97.09,97.57,95.63,94.17,91.75,94.17,93.2,90.78,206
75,92.16,92.16,92.16,92.16,90.2,94.12,92.16,90.2,90.2,88.24,96.08,51
76,83.33,72.22,83.33,83.33,77.78,66.67,77.78,77.78,66.67,72.22,72.22,18
77,87.68,88.41,86.96,83.33,86.96,85.51,84.06,83.33,80.43,78.26,81.88,138
78,97.46,96.95,97.97,96.95,97.46,97.46,97.46,96.95,95.94,95.94,95.43,197
79,91.26,90.29,92.23,91.26,92.23,90.29,90.29,89.32,89.32,87.38,87.38,103
80,100.0,100.0,100.0,100.0,100.0,66.67,100.0,100.0,100.0,66.67,100.0,3
81,83.33,83.33,80.56,80.56,83.33,83.33,83.33,86.11,83.33,80.56,80.56,36
82,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,42.86,71.43,85.71,7
83,97.44,97.44,97.44,98.72,98.72,96.15,97.44,97.44,94.87,93.59,97.44,78
84,25.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,9
86,94.94,93.26,95.51,96.07,93.82,96.63,93.26,93.26,92.7,92.13,90.45,178
87,91.14,93.04,88.61,89.87,89.24,87.34,90.51,88.61,86.71,88.61,81.01,158
88,71.43,75.0,82.14,75.0,75.0,75.0,78.57,75.0,78.57,75.0,71.43,28
89,62.5,37.5,25.0,50.0,62.5,50.0,37.5,25.0,25.0,37.5,12.5,8
90,96.6,96.76,96.44,95.95,96.76,95.63,95.31,95.31,94.66,94.34,95.47,618
91,93.22,91.53,89.83,84.75,84.75,84.75,84.75,84.75,81.36,81.36,84.75,59
92,58.33,58.33,58.33,58.33,50.0,50.0,50.0,50.0,50.0,33.33,41.67,12
93,84.48,84.48,79.31,84.48,77.59,81.03,74.14,63.79,65.52,68.97,68.97,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,57.14,57.14,57.14,57.14,42.86,42.86,42.86,42.86,42.86,57.14,57.14,7
97,77.78,77.78,76.19,77.78,76.19,77.78,79.37,74.6,71.43,79.37,77.78,63
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
