class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,96.75,97.56,95.12,92.68,94.31,93.5,91.87,93.5,91.87,91.06,89.43,123
1,86.36,86.36,84.09,86.36,81.82,75.0,70.45,68.18,70.45,63.64,70.45,44
2,83.33,79.63,81.48,79.63,81.48,81.48,83.33,74.07,75.93,75.93,79.63,54
3,76.19,71.43,61.9,61.9,66.67,61.9,71.43,61.9,61.9,61.9,47.62,21
4,88.89,77.78,66.67,77.78,88.89,55.56,77.78,66.67,55.56,77.78,44.44,9
5,100.0,100.0,100.0,85.71,100.0,71.43,100.0,71.43,57.14,85.71,71.43,7
6,90.0,90.0,86.67,88.33,88.33,88.33,85.0,76.67,76.67,76.67,68.33,60
7,92.5,90.0,80.0,67.5,62.5,42.5,52.5,45.0,40.0,30.0,37.5,40
8,33.33,33.33,33.33,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,3
9,100.0,100.0,100.0,100.0,66.67,66.67,66.67,66.67,66.67,33.33,100.0,3
10,84.62,76.92,76.92,84.62,69.23,76.92,84.62,61.54,76.92,61.54,61.54,13
11,97.78,95.56,95.56,95.56,88.89,95.56,80.0,84.44,80.0,80.0,66.67,45
12,93.88,95.92,92.86,93.88,89.8,85.71,79.59,85.71,81.63,73.47,75.51,98
13,75.0,75.0,50.0,75.0,50.0,50.0,25.0,50.0,25.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,88.61,89.24,89.24,90.51,89.87,93.04,90.51,86.71,84.18,84.81,84.18,158
16,94.87,93.41,93.04,91.94,92.31,92.67,91.94,88.64,89.38,87.91,85.71,273
17,88.46,88.46,92.31,84.62,86.54,86.54,86.54,88.46,76.92,76.92,73.08,52
18,60.0,60.0,40.0,60.0,40.0,60.0,40.0,40.0,40.0,40.0,20.0,5
19,95.28,96.23,93.4,87.74,87.74,83.02,82.08,73.58,72.64,68.87,68.87,106
20,98.7,97.4,97.84,94.37,94.81,91.34,90.91,90.91,90.48,90.91,86.58,231
21,93.55,93.55,93.55,91.4,90.32,91.4,88.17,87.1,81.72,81.72,80.65,93
22,83.08,81.54,83.08,83.08,84.62,83.08,81.54,83.08,84.62,83.08,78.46,65
23,97.54,97.23,96.92,96.31,94.46,96.0,95.08,92.62,92.0,89.54,88.62,325
24,70.0,60.0,50.0,50.0,45.0,55.0,45.0,55.0,45.0,50.0,40.0,20
25,95.24,100.0,90.48,76.19,76.19,85.71,90.48,66.67,76.19,71.43,52.38,21
26,90.91,90.91,90.91,90.91,90.91,95.45,81.82,90.91,86.36,90.91,86.36,22
27,11.76,5.88,11.76,5.88,11.76,5.88,5.88,11.76,5.88,11.76,11.76,17
28,98.05,97.66,94.53,92.97,91.8,89.45,88.67,86.33,80.47,77.73,76.95,256
29,82.46,71.93,71.93,75.44,70.18,68.42,68.42,56.14,57.89,57.89,49.12,57
30,98.61,98.38,98.14,97.91,96.75,96.98,94.43,94.43,93.97,94.43,92.11,431
31,94.44,93.33,94.44,91.67,92.22,90.0,89.44,86.11,84.44,82.78,79.44,180
32,98.6,97.47,95.51,92.7,92.7,89.04,88.2,85.39,83.43,84.83,80.9,356
33,77.78,77.78,77.78,72.22,66.67,72.22,66.67,77.78,83.33,77.78,72.22,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,95.24,80.95,95.24,21
35,100.0,97.14,94.29,94.29,85.71,82.86,82.86,71.43,74.29,68.57,77.14,35
36,98.7,96.1,94.16,96.75,95.45,90.91,93.51,88.31,90.26,88.31,88.31,154
37,94.24,96.4,91.37,92.09,88.49,84.17,82.01,80.58,77.7,69.06,70.5,139
38,100.0,100.0,100.0,77.78,88.89,100.0,88.89,88.89,77.78,77.78,88.89,9
39,90.91,90.91,87.88,90.91,87.88,81.82,84.85,93.94,87.88,93.94,81.82,33
40,95.74,91.49,91.49,89.36,89.36,85.11,85.11,95.74,85.11,89.36,80.85,47
41,95.88,96.91,96.91,97.94,97.94,94.85,93.81,93.81,92.78,90.72,86.6,97
42,97.44,97.44,98.72,97.44,98.72,98.72,93.59,92.31,93.59,89.74,89.74,78
43,94.44,90.74,92.59,90.74,87.04,88.89,87.04,83.33,83.33,79.63,85.19,54
44,71.43,71.43,57.14,71.43,71.43,71.43,71.43,71.43,57.14,57.14,42.86,7
45,98.87,98.87,98.49,98.49,96.23,94.34,91.32,92.08,88.68,86.42,86.04,265
46,97.65,96.47,95.29,92.94,92.16,88.24,85.49,81.96,76.86,75.29,69.02,255
47,88.89,88.89,81.48,77.78,77.78,66.67,70.37,66.67,70.37,70.37,55.56,27
48,95.37,94.14,93.83,94.44,94.44,93.52,91.67,88.89,90.74,90.12,87.96,324
49,87.5,85.71,83.93,87.5,83.93,87.5,85.71,83.93,89.29,75.0,75.0,56
50,94.93,93.72,91.79,87.92,85.99,81.16,79.95,78.74,75.85,73.91,73.91,414
51,98.77,95.88,95.06,93.0,84.77,83.95,78.6,77.37,74.07,74.49,65.84,243
