filter,ideal_52,ideal_49,ideal_42,idealnoise_52,idealnoise_49,idealnoise_42
Original,94.37208738360788,94.044986186432,94.80215593983424,92.97040724444898,92.43796889389134,93.02210580169856
fog,40.795832395375,42.812100685562264,45.53372352399468,76.41495753606877,75.61593983423718,77.3456492376957
night,89.12292131382381,90.07474265834442,90.4026061598281,89.14251713905658,88.7645247109383,89.56269313414509
rain,92.66277601555306,92.88841809065794,93.67620178041543,92.09098332139567,91.7120351990177,92.38728333162796
snow,91.64017701831575,91.12900542310446,92.25394249462806,91.15940550496265,91.06741942085338,91.37453494321089
day,93.8199253044101,93.65522869129235,94.39251099969303,92.77603499437225,92.2439557965824,93.11301749718612
