epoch,validation_loss,validation_accuracy
1,1.4515982866287231,0.6388731002807617
2,0.6359606981277466,0.8441946506500244
3,0.45782873034477234,0.8891576528549194
4,0.3718384802341461,0.9114968776702881
5,0.3527311682701111,0.9240182042121887
6,0.3620210289955139,0.9241604804992676
7,0.3755410611629486,0.9297097325325012
8,0.4325994849205017,0.9332669377326965
9,0.49253323674201965,0.9319863319396973
10,0.45696786046028137,0.9365395307540894
11,0.5650932192802429,0.929140567779541
12,0.5846059322357178,0.93824702501297
13,0.5044339299201965,0.9379624128341675
14,0.5381544828414917,0.9450768232345581
15,0.5455296039581299,0.945930540561676
16,0.5821909308433533,0.9467843174934387
17,0.6015017628669739,0.9472111463546753
18,0.6193878650665283,0.9470688700675964
19,0.6353578567504883,0.9480648636817932
20,0.6487066745758057,0.9479225873947144
21,0.6629784107208252,0.9479225873947144
22,0.6754049062728882,0.9483494758605957
23,0.6880611777305603,0.9487763047218323
24,0.7021018266677856,0.9480648636817932
25,0.7154638171195984,0.9474957585334778
