class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,93.5,92.68,93.5,36.59,37.4,57.72,93.5,91.87,88.62,89.43,88.62,90.24,67.48,69.11,73.98,93.5,91.87,91.87,123
1,93.18,93.18,95.45,40.91,31.82,52.27,93.18,90.91,90.91,70.45,72.73,72.73,56.82,61.36,59.09,93.18,93.18,95.45,44
2,85.19,94.44,96.3,27.78,40.74,68.52,83.33,92.59,92.59,83.33,92.59,96.3,68.52,79.63,77.78,85.19,94.44,98.15,54
3,52.38,71.43,80.95,4.76,4.76,23.81,42.86,76.19,61.9,47.62,61.9,57.14,28.57,33.33,33.33,52.38,66.67,71.43,21
4,77.78,88.89,77.78,55.56,11.11,11.11,77.78,77.78,55.56,66.67,66.67,66.67,77.78,55.56,33.33,77.78,88.89,77.78,9
5,85.71,100.0,42.86,14.29,0.0,0.0,85.71,85.71,42.86,85.71,71.43,57.14,42.86,57.14,0.0,85.71,85.71,42.86,7
6,85.0,91.67,88.33,38.33,43.33,56.67,83.33,86.67,80.0,80.0,86.67,86.67,51.67,85.0,68.33,85.0,91.67,86.67,60
7,67.5,45.0,72.5,2.5,2.5,10.0,62.5,50.0,50.0,35.0,32.5,52.5,27.5,32.5,25.0,65.0,45.0,72.5,40
8,33.33,66.67,33.33,0.0,0.0,0.0,33.33,66.67,66.67,33.33,66.67,33.33,0.0,0.0,33.33,33.33,66.67,33.33,3
9,66.67,66.67,66.67,0.0,0.0,0.0,66.67,66.67,33.33,66.67,66.67,33.33,66.67,66.67,33.33,66.67,66.67,33.33,3
10,92.31,84.62,69.23,30.77,30.77,46.15,92.31,76.92,84.62,84.62,76.92,61.54,84.62,76.92,61.54,92.31,84.62,61.54,13
11,93.33,82.22,91.11,17.78,24.44,37.78,91.11,84.44,57.78,91.11,82.22,77.78,53.33,60.0,44.44,91.11,84.44,88.89,45
12,89.8,88.78,81.63,23.47,26.53,28.57,90.82,87.76,62.24,76.53,69.39,57.14,58.16,53.06,32.65,87.76,88.78,79.59,98
13,25.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,4
14,66.67,33.33,33.33,0.0,0.0,0.0,66.67,33.33,33.33,66.67,33.33,33.33,66.67,33.33,33.33,66.67,33.33,33.33,3
15,81.01,91.77,89.24,8.23,29.11,46.84,75.95,79.75,77.22,79.11,89.24,87.34,55.06,73.42,63.92,81.01,91.14,88.61,158
16,90.48,91.21,95.6,61.54,50.18,67.03,89.38,91.21,90.11,90.48,90.84,93.04,75.09,79.85,81.32,90.48,91.21,95.6,273
17,82.69,80.77,78.85,30.77,11.54,30.77,78.85,88.46,76.92,80.77,80.77,71.15,61.54,69.23,48.08,82.69,80.77,78.85,52
18,60.0,100.0,40.0,40.0,20.0,20.0,60.0,100.0,60.0,60.0,100.0,40.0,40.0,60.0,20.0,60.0,100.0,40.0,5
19,91.51,79.25,74.53,24.53,6.6,10.38,89.62,73.58,61.32,78.3,67.92,57.55,47.17,47.17,21.7,90.57,78.3,73.58,106
20,97.84,97.4,92.21,61.9,57.14,69.26,96.97,95.67,87.01,93.51,95.24,89.18,79.65,87.45,84.42,97.4,97.84,91.77,231
21,83.87,90.32,77.42,30.11,11.83,8.6,80.65,80.65,33.33,79.57,81.72,76.34,72.04,68.82,61.29,84.95,89.25,77.42,93
22,83.08,76.92,75.38,56.92,64.62,46.15,83.08,76.92,75.38,80.0,76.92,75.38,75.38,67.69,70.77,83.08,76.92,75.38,65
23,94.46,93.54,88.62,62.15,53.23,38.77,93.85,93.85,85.54,91.38,92.0,82.77,77.54,80.62,69.23,93.54,94.15,88.31,325
24,70.0,40.0,20.0,10.0,5.0,10.0,60.0,50.0,25.0,65.0,35.0,20.0,30.0,25.0,10.0,70.0,40.0,20.0,20
25,76.19,85.71,66.67,23.81,28.57,47.62,76.19,85.71,76.19,71.43,76.19,61.9,47.62,57.14,47.62,76.19,85.71,66.67,21
26,86.36,90.91,86.36,36.36,40.91,40.91,86.36,86.36,68.18,90.91,90.91,72.73,86.36,77.27,45.45,86.36,90.91,86.36,22
27,0.0,23.53,5.88,0.0,5.88,11.76,0.0,29.41,0.0,0.0,23.53,5.88,0.0,23.53,23.53,0.0,23.53,5.88,17
28,95.31,93.36,94.53,33.98,42.58,62.11,95.31,93.36,93.75,82.81,87.5,82.42,61.72,70.31,66.41,94.92,93.36,94.92,256
29,63.16,42.11,59.65,3.51,19.3,17.54,59.65,42.11,63.16,29.82,33.33,47.37,29.82,26.32,35.09,61.4,43.86,56.14,57
30,97.22,98.84,95.59,78.89,81.67,80.28,97.45,98.14,91.42,95.59,96.75,92.34,85.61,89.79,79.12,96.98,99.07,95.36,431
31,86.67,88.33,90.0,26.11,40.56,41.67,79.44,76.67,67.22,85.56,84.44,89.44,76.11,78.89,75.0,86.67,87.78,90.56,180
32,95.51,97.19,97.75,63.76,91.57,91.85,91.01,95.51,93.26,91.01,95.79,92.7,76.97,81.46,74.44,96.07,97.47,97.75,356
33,77.78,72.22,83.33,61.11,44.44,33.33,83.33,72.22,50.0,77.78,72.22,83.33,83.33,72.22,55.56,77.78,72.22,83.33,18
34,100.0,90.48,100.0,47.62,38.1,85.71,100.0,90.48,100.0,95.24,95.24,100.0,85.71,90.48,95.24,100.0,90.48,100.0,21
35,97.14,88.57,91.43,28.57,37.14,54.29,91.43,65.71,77.14,94.29,71.43,82.86,71.43,60.0,65.71,97.14,88.57,91.43,35
