filter,baseline_52,baseline_49,baseline_42,dehaze_52,dehaze_49,dehaze_42,homo_52,homo_49,homo_42,noise_52,noise_49,noise_42,norm_52,norm_49,norm_42
Original,88.51015450731609,90.22746546608,91.29249360482964,94.61011664790752,94.99740611889901,94.51053412462907,91.88659060677375,92.24408472321703,91.5080589378901,89.07203212933591,88.97984549268392,89.79792182543743,93.9629264299601,94.73112861966644,94.4753412462908
fog,40.94956922132405,39.24048500972066,43.9062273610969,26.57094239230533,29.776991711859207,26.739616289777953,35.106687813363344,38.16714519594802,30.574429550803227,75.34028241072342,70.58297554486852,75.36157883966028,49.74890003069682,54.7837112452676,48.93042770899416
night,78.73715133531157,82.11381049831166,82.52397421467307,68.72267880896347,70.75165865138646,69.02494730379617,84.29388519390156,82.15506497493095,85.03080527985266,80.09801903202701,80.03675227668064,79.83239639824006,90.76056686790137,92.52102322725878,91.43666530236365
rain,79.50488591016065,82.52409700194411,81.45974010027626,57.736471912411744,59.39466898598178,56.953611992223486,89.22550700910672,89.24525938811011,89.23602271564515,83.00344009004401,80.62968689245879,83.33125754630103,86.7082901872506,88.68261434564617,88.41678808963471
snow,62.59007469558989,64.9036437122685,59.49008595108973,58.18209863910775,59.542242914151224,57.444851120433846,81.87849176302055,83.54661209454622,80.44624168627853,64.39194720147344,57.3104594290392,60.861568607387696,64.20719942699273,71.22669804563593,70.69499027934104
day,88.25354343599713,90.05387496162896,90.9652266448378,61.84617108359767,62.607027524813255,60.36007060268086,91.06773252839456,91.20070398035405,91.02606773764451,88.84687301749719,88.81585388314744,89.85982912104777,93.84035199017703,94.59762815921417,94.48496572188682
