class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,95.93,92.68,92.68,90.24,87.8,82.11,70.73,55.28,27.64,6.5,0.0,123
1,88.64,88.64,84.09,86.36,81.82,77.27,72.73,54.55,34.09,4.55,0.0,44
2,90.74,79.63,81.48,74.07,77.78,68.52,61.11,48.15,12.96,1.85,0.0,54
3,66.67,66.67,61.9,66.67,66.67,57.14,52.38,33.33,14.29,0.0,0.0,21
4,77.78,77.78,66.67,66.67,55.56,44.44,22.22,0.0,0.0,0.0,0.0,9
5,57.14,42.86,42.86,42.86,57.14,42.86,28.57,28.57,0.0,0.0,0.0,7
6,90.0,88.33,86.67,85.0,85.0,78.33,76.67,61.67,33.33,8.33,0.0,60
7,80.0,65.0,57.5,52.5,55.0,40.0,25.0,7.5,2.5,0.0,0.0,40
8,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,66.67,33.33,33.33,33.33,33.33,66.67,33.33,33.33,0.0,0.0,0.0,3
10,76.92,76.92,61.54,76.92,61.54,53.85,53.85,30.77,7.69,7.69,0.0,13
11,97.78,91.11,88.89,73.33,71.11,55.56,48.89,20.0,2.22,0.0,0.0,45
12,95.92,88.78,87.76,82.65,74.49,61.22,60.2,48.98,25.51,6.12,0.0,98
13,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,93.04,91.14,86.71,89.87,86.08,82.28,72.78,46.2,20.89,1.27,0.0,158
16,94.87,93.04,93.41,92.67,89.38,87.55,80.95,65.93,39.56,11.36,0.73,273
17,75.0,73.08,75.0,73.08,67.31,67.31,55.77,48.08,34.62,17.31,0.0,52
18,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5
19,92.45,89.62,82.08,79.25,76.42,67.92,49.06,30.19,12.26,1.89,0.0,106
20,96.97,96.1,94.37,92.21,90.04,87.01,77.49,67.1,40.26,13.42,0.0,231
21,95.7,92.47,92.47,90.32,82.8,87.1,64.52,58.06,43.01,21.51,0.0,93
22,80.0,80.0,78.46,80.0,78.46,78.46,78.46,72.31,50.77,4.62,0.0,65
23,96.31,96.31,94.46,95.08,90.15,91.69,82.15,74.46,56.31,24.62,0.0,325
24,85.0,70.0,75.0,60.0,55.0,55.0,35.0,25.0,5.0,5.0,0.0,20
25,76.19,66.67,66.67,61.9,61.9,61.9,38.1,38.1,19.05,4.76,0.0,21
26,86.36,90.91,90.91,90.91,86.36,81.82,81.82,36.36,31.82,0.0,0.0,22
27,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,17
28,96.88,95.7,94.92,94.14,92.58,86.33,89.06,80.86,69.53,46.09,3.52,256
29,82.46,75.44,70.18,59.65,56.14,35.09,33.33,28.07,21.05,0.0,0.0,57
30,97.68,96.29,97.45,95.59,94.9,94.2,91.65,90.49,80.05,58.0,6.26,431
31,91.11,92.22,91.67,89.44,86.67,88.89,86.67,82.22,73.89,52.78,6.67,180
32,97.75,96.91,96.63,95.51,92.42,93.26,92.42,87.92,82.87,66.01,13.2,356
33,83.33,77.78,77.78,61.11,72.22,55.56,33.33,22.22,5.56,0.0,0.0,18
34,100.0,100.0,100.0,100.0,100.0,95.24,90.48,95.24,52.38,4.76,0.0,21
35,88.57,77.14,77.14,71.43,68.57,62.86,65.71,31.43,11.43,8.57,0.0,35
36,98.7,99.35,97.4,96.75,96.75,95.45,90.91,90.91,85.06,58.44,7.14,154
37,95.68,95.68,96.4,95.68,96.4,94.24,90.65,80.58,61.15,24.46,0.0,139
38,88.89,55.56,66.67,44.44,55.56,22.22,44.44,22.22,11.11,0.0,0.0,9
39,78.79,69.7,66.67,69.7,57.58,45.45,39.39,21.21,6.06,0.0,0.0,33
40,89.36,93.62,82.98,82.98,85.11,76.6,74.47,53.19,29.79,6.38,0.0,47
41,94.85,93.81,95.88,93.81,94.85,93.81,85.57,76.29,54.64,12.37,0.0,97
42,93.59,93.59,92.31,93.59,88.46,87.18,83.33,73.08,47.44,19.23,0.0,78
43,94.44,92.59,92.59,85.19,83.33,79.63,75.93,59.26,42.59,16.67,0.0,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,28.57,28.57,0.0,0.0,7
45,98.87,97.36,96.6,97.36,93.21,90.57,83.4,70.19,46.79,15.09,0.0,265
46,97.65,96.08,96.08,94.51,93.73,89.41,80.0,70.2,45.88,19.61,3.92,255
47,85.19,77.78,70.37,81.48,59.26,55.56,44.44,22.22,3.7,0.0,0.0,27
48,92.28,91.05,88.27,86.11,82.41,79.01,72.22,62.35,40.12,13.89,0.0,324
49,91.07,87.5,89.29,83.93,78.57,71.43,66.07,35.71,25.0,5.36,0.0,56
50,95.41,90.82,90.1,86.23,82.37,76.81,67.63,58.45,38.16,11.84,2.66,414
51,95.06,86.01,82.3,81.89,73.25,62.55,56.38,41.98,20.16,7.41,2.47,243
52,96.9,94.83,94.83,91.32,90.7,88.02,82.23,70.87,59.3,29.55,0.62,484
53,88.66,84.03,81.09,80.67,74.79,69.75,68.91,46.64,37.39,14.29,1.26,238
54,43.75,43.75,37.5,31.25,25.0,18.75,12.5,12.5,12.5,6.25,0.0,16
55,96.54,88.74,84.42,80.95,67.1,60.61,53.68,39.39,22.08,7.79,0.0,231
56,79.17,66.67,66.67,58.33,54.17,37.5,41.67,29.17,16.67,0.0,0.0,24
57,95.41,90.31,87.76,87.76,78.06,72.45,62.76,44.39,29.59,7.65,0.0,196
58,100.0,100.0,91.67,100.0,75.0,66.67,41.67,33.33,8.33,0.0,0.0,12
59,100.0,100.0,92.59,81.48,92.59,59.26,48.15,44.44,7.41,0.0,0.0,27
60,90.48,85.71,87.3,77.78,74.6,71.43,47.62,36.51,17.46,6.35,1.59,63
61,96.43,89.29,85.71,83.93,85.71,75.0,66.07,53.57,25.0,7.14,0.0,56
62,84.85,75.76,66.67,60.61,51.52,54.55,36.36,33.33,6.06,0.0,0.0,33
63,94.22,93.33,92.44,90.67,89.78,87.56,84.89,82.67,71.56,44.0,0.0,225
64,72.73,36.36,45.45,27.27,18.18,18.18,9.09,9.09,0.0,9.09,0.0,11
65,55.56,33.33,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
66,88.46,86.92,89.23,85.38,86.92,83.08,80.77,84.62,76.92,61.54,16.92,130
67,99.44,98.33,97.78,96.67,95.56,86.11,81.11,59.44,36.67,11.11,0.0,180
68,91.67,91.67,77.78,80.56,86.11,69.44,61.11,50.0,25.0,2.78,0.0,36
69,72.73,72.73,72.73,72.73,72.73,72.73,63.64,45.45,27.27,0.0,0.0,11
70,98.28,98.28,98.28,98.28,98.28,94.83,82.76,82.76,36.21,10.34,0.0,58
71,100.0,95.83,95.83,91.67,95.83,75.0,70.83,54.17,12.5,0.0,0.0,24
72,97.67,97.67,97.67,94.19,97.67,90.7,88.37,82.56,48.84,11.63,0.0,86
73,97.96,97.96,97.96,91.84,97.96,95.92,93.88,87.76,75.51,46.94,0.0,49
74,94.66,93.69,92.72,91.75,87.38,88.83,84.47,75.24,56.31,41.26,0.97,206
75,94.12,92.16,86.27,84.31,80.39,78.43,72.55,64.71,27.45,7.84,0.0,51
76,88.89,66.67,77.78,55.56,61.11,50.0,33.33,44.44,11.11,5.56,0.0,18
77,86.96,83.33,82.61,82.61,78.99,74.64,68.12,55.8,32.61,4.35,0.0,138
78,97.46,94.42,95.43,94.42,87.82,82.74,76.65,59.39,36.55,6.6,0.0,197
79,92.23,90.29,89.32,92.23,88.35,84.47,70.87,58.25,33.01,5.83,0.0,103
80,100.0,100.0,100.0,100.0,66.67,66.67,66.67,33.33,0.0,0.0,0.0,3
81,86.11,86.11,86.11,83.33,80.56,77.78,75.0,63.89,38.89,5.56,0.0,36
82,71.43,57.14,42.86,14.29,28.57,0.0,0.0,0.0,0.0,0.0,0.0,7
83,97.44,96.15,89.74,89.74,82.05,78.21,71.79,64.1,29.49,5.13,0.0,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,22.22,22.22,0.0,22.22,22.22,11.11,0.0,0.0,11.11,0.0,0.0,9
