class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,95.93,96.75,96.75,96.75,95.93,96.75,96.75,96.75,96.75,97.56,95.93,123
1,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,93.18,44
2,85.19,75.93,74.07,75.93,74.07,72.22,74.07,72.22,74.07,70.37,61.11,54
3,57.14,71.43,71.43,71.43,71.43,71.43,71.43,66.67,66.67,66.67,66.67,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,86.67,86.67,90.0,88.33,88.33,88.33,90.0,90.0,91.67,93.33,96.67,60
7,80.0,80.0,80.0,82.5,80.0,80.0,77.5,75.0,75.0,67.5,75.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,92.31,92.31,92.31,100.0,100.0,100.0,100.0,100.0,100.0,92.31,100.0,13
11,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,84.44,82.22,45
12,92.86,91.84,90.82,90.82,89.8,90.82,91.84,91.84,92.86,93.88,91.84,98
13,75.0,75.0,75.0,100.0,100.0,100.0,100.0,75.0,75.0,100.0,100.0,4
14,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
15,91.77,89.87,89.24,89.24,89.24,88.61,88.61,87.97,89.24,88.61,82.91,158
16,93.41,91.94,91.94,92.31,91.94,91.94,91.58,91.58,91.94,92.31,88.28,273
17,82.69,84.62,84.62,84.62,84.62,84.62,84.62,84.62,86.54,84.62,82.69,52
18,60.0,40.0,40.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,5
19,89.62,90.57,90.57,90.57,90.57,90.57,91.51,92.45,92.45,91.51,92.45,106
20,98.27,97.4,96.97,96.54,96.54,96.54,95.24,95.24,95.24,95.67,95.24,231
21,92.47,92.47,92.47,93.55,92.47,92.47,91.4,92.47,92.47,88.17,83.87,93
22,83.08,81.54,83.08,83.08,83.08,83.08,83.08,83.08,81.54,83.08,83.08,65
23,97.23,96.92,97.85,97.54,97.23,96.92,96.31,96.0,95.69,95.08,96.31,325
24,65.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,65.0,45.0,60.0,20
25,80.95,80.95,80.95,80.95,80.95,80.95,76.19,76.19,76.19,76.19,76.19,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,22
27,11.76,11.76,5.88,5.88,5.88,5.88,5.88,0.0,5.88,0.0,0.0,17
28,96.48,97.27,97.66,97.27,97.27,97.66,97.66,97.27,97.27,97.27,96.09,256
29,91.23,85.96,84.21,89.47,84.21,84.21,82.46,82.46,84.21,78.95,78.95,57
30,98.14,97.91,98.14,97.45,97.91,97.68,97.45,97.22,97.68,97.22,96.75,431
31,91.67,90.0,91.67,91.67,91.11,90.0,90.0,91.11,90.0,88.89,82.78,180
32,97.19,97.19,97.75,97.19,97.19,97.47,97.47,97.47,95.79,88.76,86.24,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,88.57,88.57,91.43,91.43,91.43,85.71,88.57,88.57,85.71,82.86,35
36,100.0,100.0,100.0,99.35,99.35,98.05,96.1,95.45,92.86,90.26,85.06,154
37,98.56,98.56,98.56,98.56,98.56,98.56,97.84,97.12,97.12,94.96,94.24,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,9
39,87.88,87.88,90.91,90.91,87.88,87.88,87.88,84.85,84.85,78.79,75.76,33
