category,images,Original_model_42_noiselevelnight,night1_model_42_noiselevelnight,night2_model_42_noiselevelnight,night3_model_42_noiselevelnight,night4_model_42_noiselevelnight,night5_model_42_noiselevelnight,night6_model_42_noiselevelnight,night7_model_42_noiselevelnight,night8_model_42_noiselevelnight,night9_model_42_noiselevelnight,night10_model_42_noiselevelnight
Dangerous warning,2228,91.65121184919208,91.1128500897666,91.15908438061041,91.38420107719928,90.97877917414722,90.97899012567325,90.71132854578096,90.44096050269299,90.66434919210053,89.8576436265709,88.68936265709156
Regularoty,7545,93.61085487077536,93.34664015904573,93.49244930417497,93.46593240556662,93.1076421471173,92.68431146454607,91.96824917163686,91.4374194831014,90.70976673293572,89.2516169648774,87.62030218687872
