category,sub-category,images,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42
Dangerous warning,Dangerous warning,2228,90.30690305206464,69.16579892280073,61.31063734290845,70.06306552962297,72.17381508078995,49.73083034111311
Regularoty,Priority ,1041,96.92430355427474,76.75630163304514,80.40430355427475,85.97494716618635,80.21351585014409,61.572286263208454
Regularoty,Prohibitory,3957,93.4799064948193,62.92610058124842,60.50011624968409,69.44771796815769,70.38188779378318,49.659214051048785
Regularoty,Mandatory,1203,94.68066500415625,56.9416791354946,71.98593516209475,79.05359102244388,74.81249376558604,57.10633416458853
Regularoty,Special regulations,1344,88.9146800595238,53.20039434523809,67.19011160714287,72.84133928571427,66.59059523809525,44.79290178571428
