category,images,Original_model_42_noise,fognight_model_42_noise,fogsnow_model_42_noise,fograin_model_42_noise,rainnight_model_42_noise,snownight_model_42_noise
Dangerous warning,2228,90.30690305206464,69.16579892280073,61.31063734290845,70.06306552962297,72.17381508078995,49.73083034111311
Regularoty,7545,93.333381047051,62.14765540092777,66.26937442014578,73.86411795891318,71.76946189529491,51.623438038436056
