class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,95.93,85.37,73.98,86.18,78.86,54.47,123
1,86.36,45.45,36.36,54.55,65.91,43.18,44
2,83.33,64.81,40.74,51.85,55.56,27.78,54
3,61.9,42.86,42.86,47.62,47.62,28.57,21
4,88.89,66.67,22.22,44.44,66.67,44.44,9
5,85.71,71.43,85.71,28.57,100.0,57.14,7
6,88.33,76.67,51.67,71.67,68.33,25.0,60
7,77.5,32.5,35.0,32.5,45.0,15.0,40
8,33.33,33.33,0.0,0.0,33.33,0.0,3
9,33.33,33.33,0.0,33.33,66.67,33.33,3
10,84.62,61.54,53.85,38.46,69.23,23.08,13
11,88.89,66.67,51.11,62.22,77.78,46.67,45
12,90.82,67.35,45.92,65.31,67.35,52.04,98
13,75.0,25.0,50.0,50.0,50.0,0.0,4
14,33.33,0.0,0.0,33.33,33.33,0.0,3
15,91.77,83.54,63.92,77.22,77.85,57.59,158
16,91.58,83.15,68.13,78.75,80.22,63.0,273
17,86.54,61.54,50.0,69.23,63.46,34.62,52
18,40.0,0.0,0.0,0.0,40.0,0.0,5
19,90.57,59.43,50.0,57.55,67.92,41.51,106
20,93.94,83.98,72.29,86.15,77.92,51.52,231
21,94.62,67.74,70.97,77.42,75.27,47.31,93
22,81.54,76.92,76.92,75.38,75.38,50.77,65
23,94.77,84.62,73.54,84.31,84.0,66.15,325
24,55.0,50.0,35.0,45.0,35.0,10.0,20
25,80.95,38.1,33.33,28.57,33.33,4.76,21
26,90.91,54.55,45.45,54.55,77.27,31.82,22
27,0.0,0.0,0.0,0.0,0.0,0.0,17
28,98.44,75.39,71.09,84.38,73.05,53.12,256
29,82.46,56.14,29.82,52.63,54.39,29.82,57
30,97.22,95.36,92.81,94.66,93.74,84.45,431
31,91.11,78.89,72.78,82.22,79.44,58.33,180
32,97.19,85.67,82.87,90.73,82.3,57.87,356
33,83.33,72.22,55.56,50.0,72.22,66.67,18
