category,images,Original_model_42_noiselevelrain,rain1_model_42_noiselevelrain,rain2_model_42_noiselevelrain,rain3_model_42_noiselevelrain,rain4_model_42_noiselevelrain,rain5_model_42_noiselevelrain,rain6_model_42_noiselevelrain,rain7_model_42_noiselevelrain,rain8_model_42_noiselevelrain,rain9_model_42_noiselevelrain,rain10_model_42_noiselevelrain
Dangerous warning,2228,90.34992818671455,90.03451526032316,89.541539497307,89.63205565529624,89.27316876122084,89.67561490125674,89.27231149012567,88.77867145421902,89.04870287253142,88.4650763016158,87.97013913824058
Regularoty,7545,93.86372432074222,93.73133598409544,93.57151093439366,93.37357852882704,93.18657256461233,92.97544599072235,92.85665341285619,92.55187276341948,92.6316527501657,92.61820013253813,92.2599774685222
