class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,97.56,123
1,84.09,84.09,86.36,86.36,88.64,84.09,84.09,84.09,88.64,86.36,84.09,44
2,81.48,81.48,83.33,81.48,83.33,81.48,83.33,83.33,81.48,83.33,77.78,54
3,66.67,71.43,71.43,66.67,71.43,66.67,66.67,61.9,61.9,57.14,61.9,21
4,88.89,66.67,66.67,66.67,77.78,66.67,66.67,66.67,77.78,66.67,77.78,9
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,85.71,100.0,7
6,95.0,95.0,96.67,93.33,95.0,96.67,96.67,96.67,96.67,95.0,95.0,60
7,87.5,95.0,95.0,95.0,90.0,87.5,85.0,85.0,82.5,75.0,70.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
10,84.62,84.62,84.62,84.62,84.62,92.31,92.31,92.31,92.31,100.0,100.0,13
11,93.33,93.33,91.11,91.11,91.11,93.33,91.11,88.89,91.11,91.11,84.44,45
12,90.82,92.86,90.82,89.8,91.84,92.86,92.86,87.76,88.78,86.73,90.82,98
13,75.0,75.0,75.0,75.0,75.0,50.0,25.0,25.0,25.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,89.87,90.51,89.24,87.34,86.71,87.34,84.81,82.91,82.91,83.54,75.32,158
16,93.77,92.67,92.67,94.14,93.41,93.04,93.04,91.94,92.31,90.84,89.38,273
17,75.0,73.08,73.08,73.08,73.08,75.0,75.0,75.0,73.08,75.0,69.23,52
18,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5
19,88.68,89.62,87.74,89.62,89.62,88.68,88.68,87.74,86.79,85.85,86.79,106
20,96.54,97.4,96.97,97.4,97.4,97.4,96.54,97.4,96.1,95.67,94.81,231
21,92.47,91.4,89.25,89.25,89.25,89.25,88.17,88.17,88.17,86.02,82.8,93
22,83.08,83.08,83.08,83.08,80.0,81.54,81.54,81.54,81.54,81.54,81.54,65
23,94.46,94.46,94.46,94.15,94.15,94.15,93.85,93.54,93.85,92.92,92.31,325
24,55.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,50.0,55.0,50.0,20
25,66.67,66.67,66.67,66.67,66.67,71.43,66.67,61.9,76.19,80.95,71.43,21
26,86.36,90.91,86.36,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,97.27,95.31,95.31,96.09,94.53,95.7,94.92,94.92,92.19,92.19,90.62,256
29,80.7,84.21,82.46,78.95,77.19,78.95,77.19,78.95,77.19,78.95,70.18,57
30,98.84,97.91,97.91,97.91,98.38,97.68,97.68,97.91,96.98,97.45,97.22,431
31,92.78,94.44,94.44,94.44,94.44,93.33,93.89,94.44,93.89,93.89,92.22,180
32,96.91,97.19,97.47,97.19,97.19,96.91,96.91,97.47,96.63,90.45,85.67,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,97.14,97.14,94.29,94.29,94.29,94.29,85.71,85.71,74.29,45.71,35
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.35,99.35,99.35,154
37,92.81,94.96,94.24,94.24,94.24,94.24,93.53,94.24,93.53,91.37,92.09,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9
39,84.85,78.79,78.79,75.76,78.79,78.79,75.76,72.73,72.73,72.73,75.76,33
40,82.98,87.23,87.23,85.11,85.11,85.11,85.11,85.11,82.98,82.98,80.85,47
41,92.78,93.81,94.85,94.85,93.81,94.85,94.85,92.78,91.75,92.78,91.75,97
42,94.87,94.87,94.87,96.15,96.15,96.15,97.44,97.44,97.44,94.87,94.87,78
43,98.15,98.15,98.15,98.15,96.3,96.3,94.44,94.44,90.74,96.3,88.89,54
44,71.43,71.43,71.43,71.43,71.43,85.71,85.71,85.71,85.71,71.43,85.71,7
45,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,98.87,98.11,265
46,96.86,96.47,97.25,96.47,96.08,96.08,96.08,95.69,95.69,94.12,94.51,255
47,81.48,77.78,77.78,81.48,81.48,81.48,81.48,85.19,81.48,74.07,74.07,27
48,90.43,88.58,89.2,91.05,90.43,90.43,89.81,89.51,89.51,88.27,85.8,324
49,87.5,89.29,89.29,89.29,89.29,91.07,87.5,92.86,92.86,89.29,91.07,56
50,95.41,95.65,95.89,95.41,95.65,96.14,95.65,95.65,95.17,94.69,93.24,414
51,93.83,93.42,93.42,93.0,94.65,94.24,94.24,95.06,94.65,94.65,93.0,243
52,96.69,97.52,97.73,97.52,96.69,96.69,96.07,95.66,96.28,94.83,94.63,484
53,90.76,87.82,88.24,87.39,86.55,88.66,88.24,87.39,86.55,86.13,83.19,238
54,43.75,43.75,37.5,37.5,37.5,43.75,43.75,43.75,43.75,50.0,37.5,16
55,93.51,94.37,94.37,95.24,95.24,95.24,94.81,96.1,95.24,94.81,93.51,231
56,62.5,62.5,62.5,66.67,66.67,62.5,66.67,62.5,62.5,66.67,45.83,24
57,95.41,94.9,94.39,94.9,94.39,94.39,94.39,94.39,93.88,93.37,91.84,196
58,91.67,83.33,75.0,75.0,75.0,75.0,75.0,58.33,58.33,50.0,66.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96,27
60,90.48,93.65,95.24,95.24,92.06,93.65,95.24,90.48,93.65,92.06,95.24,63
61,91.07,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,91.07,56
62,87.88,87.88,90.91,93.94,93.94,90.91,93.94,90.91,93.94,90.91,93.94,33
63,95.56,94.22,94.22,92.89,92.0,90.22,88.0,87.11,78.67,71.56,62.67,225
64,45.45,54.55,45.45,45.45,27.27,27.27,27.27,18.18,18.18,0.0,0.0,11
65,77.78,77.78,88.89,88.89,88.89,77.78,77.78,77.78,77.78,66.67,77.78,9
66,80.77,81.54,79.23,80.77,76.15,75.38,76.92,73.08,71.54,73.08,69.23,130
67,99.44,98.89,99.44,98.89,98.89,97.78,97.22,97.78,96.67,96.11,94.44,180
68,91.67,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,91.67,88.89,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.55,98.28,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67,91.67,91.67,83.33,24
72,97.67,94.19,94.19,94.19,94.19,93.02,93.02,90.7,90.7,90.7,84.88,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,91.84,49
74,97.57,96.6,97.57,97.09,97.09,96.12,96.6,95.63,93.69,92.23,88.83,206
75,94.12,94.12,92.16,94.12,94.12,94.12,94.12,94.12,94.12,90.2,90.2,51
76,94.44,100.0,100.0,88.89,83.33,88.89,83.33,72.22,66.67,61.11,61.11,18
77,88.41,88.41,87.68,86.96,86.23,86.23,84.78,81.88,78.99,77.54,65.22,138
78,97.97,97.97,97.97,97.97,97.97,97.97,97.46,96.95,94.42,93.91,92.39,197
79,88.35,87.38,88.35,88.35,88.35,88.35,87.38,86.41,87.38,86.41,85.44,103
80,100.0,100.0,100.0,100.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
81,88.89,88.89,91.67,91.67,91.67,88.89,88.89,88.89,88.89,88.89,83.33,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.86,28.57,14.29,7
83,96.15,94.87,96.15,94.87,96.15,96.15,96.15,96.15,97.44,94.87,91.03,78
84,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
86,94.38,92.7,92.7,92.7,92.7,90.45,90.45,88.2,87.64,85.39,81.46,178
