class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,99.19,100.0,98.37,100.0,98.37,96.75,91.06,91.06,91.06,91.06,87.8,123
1,90.91,88.64,88.64,86.36,88.64,79.55,86.36,77.27,79.55,72.73,75.0,44
2,83.33,79.63,79.63,77.78,79.63,70.37,68.52,70.37,70.37,66.67,75.93,54
3,90.48,76.19,61.9,66.67,61.9,57.14,52.38,47.62,61.9,38.1,47.62,21
4,55.56,55.56,66.67,66.67,66.67,55.56,44.44,66.67,66.67,55.56,66.67,9
5,100.0,100.0,100.0,100.0,100.0,85.71,85.71,100.0,85.71,71.43,85.71,7
6,91.67,93.33,88.33,85.0,88.33,81.67,81.67,81.67,85.0,80.0,61.67,60
7,92.5,85.0,82.5,67.5,67.5,60.0,67.5,50.0,52.5,42.5,40.0,40
8,100.0,100.0,100.0,66.67,66.67,0.0,66.67,0.0,0.0,33.33,66.67,3
9,66.67,100.0,66.67,100.0,66.67,66.67,66.67,66.67,66.67,66.67,33.33,3
10,84.62,84.62,84.62,84.62,84.62,84.62,92.31,69.23,84.62,100.0,76.92,13
11,93.33,88.89,88.89,84.44,84.44,84.44,77.78,66.67,66.67,64.44,64.44,45
12,97.96,95.92,94.9,87.76,87.76,81.63,83.67,77.55,72.45,67.35,66.33,98
13,100.0,75.0,75.0,50.0,100.0,50.0,25.0,75.0,25.0,25.0,50.0,4
14,66.67,33.33,33.33,66.67,66.67,33.33,33.33,66.67,33.33,66.67,66.67,3
15,91.77,92.41,92.41,93.04,91.14,92.41,90.51,86.71,85.44,86.71,82.91,158
16,95.6,95.24,94.51,91.94,92.67,90.48,89.74,90.11,87.55,84.98,83.15,273
17,92.31,88.46,88.46,84.62,78.85,88.46,80.77,73.08,82.69,76.92,63.46,52
18,40.0,40.0,40.0,80.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,5
19,92.45,91.51,89.62,86.79,82.08,82.08,75.47,71.7,66.98,59.43,62.26,106
20,97.84,98.27,98.7,96.97,95.67,96.1,93.51,93.51,93.51,88.31,90.04,231
21,94.62,92.47,93.55,91.4,90.32,87.1,90.32,86.02,84.95,86.02,79.57,93
22,78.46,76.92,78.46,76.92,80.0,78.46,78.46,78.46,78.46,78.46,78.46,65
23,98.46,97.54,96.0,96.92,96.92,95.38,94.46,94.15,94.46,92.62,90.77,325
24,75.0,80.0,80.0,60.0,60.0,85.0,60.0,65.0,50.0,70.0,45.0,20
25,95.24,90.48,85.71,85.71,66.67,85.71,85.71,76.19,80.95,76.19,66.67,21
26,95.45,95.45,90.91,95.45,95.45,86.36,95.45,95.45,90.91,95.45,95.45,22
27,11.76,5.88,5.88,11.76,17.65,11.76,17.65,11.76,23.53,5.88,11.76,17
28,97.66,96.88,95.7,91.41,87.11,83.2,80.47,81.64,75.0,76.56,67.97,256
29,89.47,85.96,75.44,73.68,71.93,66.67,64.91,63.16,63.16,54.39,45.61,57
30,98.61,98.61,99.07,98.61,97.68,96.75,96.75,96.98,95.13,94.9,93.5,431
31,93.89,93.33,93.33,92.22,89.44,88.33,86.11,83.33,81.11,86.11,80.56,180
32,98.03,97.47,97.19,93.54,92.13,91.85,88.48,85.39,83.43,78.37,76.97,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,95.24,100.0,95.24,100.0,95.24,95.24,100.0,95.24,95.24,21
35,91.43,91.43,88.57,82.86,80.0,80.0,71.43,77.14,48.57,54.29,42.86,35
36,100.0,100.0,99.35,99.35,98.7,93.51,92.21,94.81,91.56,92.86,90.26,154
37,94.24,94.96,94.24,92.09,91.37,90.65,87.77,83.45,80.58,76.26,79.86,139
38,66.67,77.78,66.67,66.67,88.89,77.78,55.56,66.67,66.67,77.78,88.89,9
39,90.91,90.91,90.91,90.91,84.85,84.85,81.82,75.76,81.82,69.7,63.64,33
40,87.23,89.36,89.36,93.62,91.49,87.23,82.98,87.23,87.23,82.98,80.85,47
41,97.94,97.94,97.94,96.91,97.94,96.91,94.85,94.85,94.85,86.6,84.54,97
42,94.87,94.87,92.31,93.59,92.31,92.31,93.59,92.31,89.74,89.74,87.18,78
43,92.59,92.59,88.89,88.89,88.89,87.04,88.89,83.33,87.04,83.33,83.33,54
44,71.43,71.43,71.43,85.71,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,99.62,99.62,97.74,96.98,95.85,93.96,90.94,88.3,88.68,82.64,83.02,265
46,97.25,96.08,94.51,92.55,88.24,87.45,81.96,78.04,74.12,70.98,69.41,255
47,88.89,85.19,81.48,85.19,85.19,88.89,70.37,62.96,70.37,81.48,55.56,27
48,95.37,92.9,94.14,93.52,91.67,91.36,90.74,89.81,87.04,87.35,87.96,324
49,92.86,92.86,91.07,89.29,85.71,89.29,89.29,87.5,83.93,83.93,89.29,56
