filter,noise_52,noise_49,noise_42,baseline_52,baseline_49,baseline_42,norm_52,norm_49,norm_42,homo_52,homo_49,homo_42
Original,88.70339609127186,88.66339097513557,88.83720761281081,90.96495855929602,87.37326818786451,90.24889491456052,94.45452061802926,94.61794842934616,94.80170469661311,92.01864115420034,90.57591425355574,92.04911286196665
fog,70.70436918039495,75.96453903611993,73.16050240458405,46.35227565742352,44.11208943006241,30.471512329888462,50.2094167604625,54.49670623145402,50.364343599713514,37.379001330195436,34.73844469456666,39.90728947099151
night,78.22505985879464,79.55564616801391,79.68907807223985,77.65266959991813,74.96157270029674,75.98434155325899,92.06042770899417,92.46977284354855,92.28406937480814,83.28053821753811,75.21705208226747,82.33837409188581
rain,84.47826665302365,83.43377570858489,81.98125447661926,82.52268187864523,78.65491967666019,80.96828711756883,88.39676762508955,88.5506753299908,87.76207408165355,89.14339097513557,86.5037941266755,88.74510897370305
snow,83.13643609945771,81.28509464852144,80.59880487056176,82.27752481326102,78.18435997134964,82.43062416862786,86.09429346157782,87.10673488181726,86.49322521231964,88.08996827995497,87.16841809065792,88.25309423923055
day,88.56080425662539,88.82584058119309,88.82641768136705,90.82234216719534,87.19952931546096,89.91065793512742,94.33242709505782,94.62781745625702,94.74001534840887,91.2099508850916,89.15488897984241,91.10822060779698
