class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,98.37,98.37,96.75,96.75,95.93,98.37,95.93,98.37,96.75,96.75,97.56,123
1,93.18,93.18,93.18,95.45,95.45,93.18,95.45,93.18,90.91,93.18,93.18,44
2,96.3,92.59,88.89,88.89,92.59,92.59,87.04,90.74,90.74,87.04,87.04,54
3,66.67,66.67,66.67,66.67,71.43,61.9,66.67,66.67,61.9,66.67,57.14,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,77.78,88.89,88.89,88.89,9
5,71.43,85.71,71.43,71.43,85.71,85.71,85.71,85.71,71.43,71.43,85.71,7
6,90.0,86.67,91.67,88.33,88.33,88.33,85.0,85.0,88.33,93.33,83.33,60
7,82.5,85.0,77.5,70.0,75.0,65.0,75.0,70.0,52.5,67.5,57.5,40
8,66.67,66.67,66.67,66.67,33.33,33.33,66.67,66.67,0.0,0.0,33.33,3
9,66.67,66.67,66.67,66.67,66.67,33.33,66.67,33.33,66.67,66.67,66.67,3
10,92.31,84.62,84.62,92.31,92.31,92.31,92.31,84.62,84.62,84.62,84.62,13
11,100.0,97.78,95.56,91.11,95.56,95.56,97.78,95.56,91.11,95.56,93.33,45
12,95.92,94.9,95.92,93.88,94.9,94.9,89.8,88.78,92.86,94.9,88.78,98
13,50.0,50.0,50.0,50.0,50.0,25.0,50.0,50.0,25.0,25.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.3,94.94,95.57,94.94,93.04,93.67,92.41,94.3,94.3,95.57,92.41,158
16,94.14,94.14,94.14,93.04,92.31,93.04,90.84,92.67,91.94,91.94,90.84,273
17,86.54,84.62,86.54,86.54,86.54,86.54,86.54,88.46,88.46,86.54,84.62,52
18,80.0,80.0,60.0,100.0,60.0,80.0,60.0,80.0,80.0,40.0,60.0,5
19,96.23,96.23,93.4,96.23,95.28,95.28,93.4,93.4,89.62,90.57,86.79,106
20,97.84,98.27,96.97,96.54,97.4,96.97,98.7,95.67,97.84,96.97,95.67,231
21,93.55,93.55,93.55,93.55,92.47,90.32,93.55,89.25,89.25,90.32,89.25,93
22,80.0,80.0,80.0,81.54,80.0,80.0,80.0,80.0,80.0,80.0,78.46,65
23,97.85,97.54,97.54,97.54,97.54,97.54,97.54,96.92,96.92,96.92,96.0,325
24,85.0,80.0,80.0,80.0,80.0,85.0,80.0,80.0,85.0,80.0,80.0,20
25,100.0,95.24,95.24,95.24,95.24,95.24,95.24,95.24,90.48,95.24,95.24,21
26,95.45,95.45,95.45,95.45,90.91,95.45,95.45,95.45,95.45,95.45,95.45,22
27,11.76,11.76,11.76,11.76,11.76,11.76,5.88,5.88,5.88,11.76,0.0,17
28,97.66,97.27,96.48,97.27,95.31,95.31,95.7,94.53,92.97,93.36,92.58,256
29,92.98,94.74,92.98,92.98,91.23,87.72,84.21,84.21,85.96,89.47,82.46,57
30,97.68,97.68,97.68,97.45,97.91,96.98,97.22,97.22,97.22,97.22,97.45,431
31,91.67,91.67,91.67,91.67,92.22,92.22,91.11,93.89,92.78,92.78,91.11,180
32,99.16,99.16,98.6,98.88,97.47,96.63,97.19,97.47,95.79,95.51,94.1,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,97.14,94.29,97.14,91.43,88.57,97.14,91.43,97.14,88.57,91.43,35
36,100.0,100.0,100.0,100.0,100.0,100.0,99.35,100.0,100.0,100.0,99.35,154
37,95.68,95.68,94.96,95.68,96.4,94.96,97.12,95.68,95.68,94.24,95.68,139
38,66.67,66.67,77.78,66.67,66.67,66.67,77.78,66.67,66.67,66.67,66.67,9
39,93.94,93.94,90.91,93.94,93.94,90.91,90.91,90.91,90.91,87.88,93.94,33
40,95.74,93.62,95.74,93.62,93.62,93.62,91.49,91.49,89.36,93.62,91.49,47
41,96.91,96.91,96.91,96.91,96.91,95.88,97.94,97.94,95.88,95.88,95.88,97
42,97.44,97.44,97.44,97.44,96.15,96.15,97.44,97.44,97.44,97.44,96.15,78
43,92.59,92.59,90.74,92.59,92.59,96.3,92.59,94.44,94.44,94.44,92.59,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,99.62,99.25,99.25,99.25,98.87,98.87,98.49,98.87,98.87,97.74,98.11,265
46,98.04,97.65,97.25,98.04,97.25,97.65,96.47,96.08,95.29,94.51,95.69,255
47,92.59,88.89,88.89,96.3,85.19,88.89,85.19,88.89,88.89,85.19,81.48,27
48,92.28,92.28,94.14,92.28,92.28,91.98,92.59,91.98,93.21,92.59,91.05,324
49,89.29,89.29,89.29,89.29,89.29,87.5,91.07,87.5,91.07,87.5,89.29,56
50,96.38,96.14,95.17,94.2,93.24,93.24,93.72,93.24,91.06,90.58,89.37,414
51,97.94,96.71,96.3,93.42,95.47,92.59,94.24,95.47,92.59,90.53,90.12,243
52,98.97,98.35,97.73,97.31,97.52,96.07,96.49,94.83,95.25,95.25,93.18,484
53,91.6,92.02,88.24,88.66,87.82,86.97,87.39,86.55,87.39,85.29,86.55,238
54,43.75,43.75,37.5,50.0,37.5,37.5,43.75,31.25,43.75,37.5,31.25,16
55,95.67,94.81,96.1,94.37,92.21,93.51,94.37,91.77,92.21,88.74,89.18,231
56,70.83,75.0,66.67,66.67,66.67,70.83,62.5,58.33,58.33,58.33,66.67,24
57,96.94,95.92,96.43,95.41,96.43,94.39,94.39,93.37,93.88,93.88,91.33,196
58,91.67,91.67,91.67,83.33,91.67,83.33,91.67,91.67,91.67,83.33,91.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.3,96.3,100.0,27
