category,images,Original_model_42_ideallevelrain,rain1_model_42_ideallevelrain,rain2_model_42_ideallevelrain,rain3_model_42_ideallevelrain,rain4_model_42_ideallevelrain,rain5_model_42_ideallevelrain,rain6_model_42_ideallevelrain,rain7_model_42_ideallevelrain,rain8_model_42_ideallevelrain,rain9_model_42_ideallevelrain,rain10_model_42_ideallevelrain
Dangerous warning,2228,93.76260771992817,93.44859066427288,92.86402154398564,92.68557899461399,92.32453321364453,92.0998698384201,91.65168312387793,91.24656642728907,90.66391382405745,91.38218581687612,89.40784111310592
Regularoty,7545,94.69829158383035,94.44750298210737,94.14247713717693,93.73092909211397,93.42605434062293,93.26630881378397,93.00179191517562,92.68364347249833,92.51140755467199,91.6905089463221,91.57035255135851
