filter,ideal_42,idealnoise_42
Original,94.42313823800264,93.1641051877622
fog,44.05040417476721,76.93678092704391
night,87.87511920597564,89.67619666427913
rain,92.51008288140795,92.24426583444183
snow,84.10942801596237,88.99986186432005
day,93.97339302159008,92.94014836795252
