class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
64,54.55,54.55,54.55,63.64,54.55,63.64,54.55,36.36,63.64,36.36,36.36,11
65,77.78,66.67,77.78,66.67,44.44,44.44,55.56,44.44,33.33,44.44,44.44,9
66,88.46,85.38,80.77,79.23,76.15,73.08,73.85,66.92,60.77,60.77,57.69,130
67,99.44,99.44,98.89,96.67,92.22,88.89,88.89,87.22,81.67,78.33,76.11,180
68,88.89,91.67,86.11,80.56,86.11,86.11,83.33,86.11,77.78,75.0,69.44,36
69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.91,90.91,100.0,100.0,11
70,100.0,100.0,98.28,98.28,98.28,96.55,98.28,87.93,89.66,91.38,93.1,58
71,95.83,95.83,95.83,95.83,95.83,87.5,95.83,70.83,79.17,83.33,66.67,24
72,98.84,98.84,97.67,97.67,97.67,96.51,96.51,93.02,91.86,91.86,88.37,86
73,97.96,97.96,97.96,97.96,97.96,97.96,95.92,97.96,97.96,97.96,93.88,49
74,97.09,96.6,95.15,94.66,93.69,92.23,90.78,91.26,88.83,81.55,85.92,206
75,92.16,94.12,92.16,92.16,92.16,88.24,84.31,88.24,84.31,84.31,82.35,51
76,94.44,94.44,94.44,88.89,77.78,83.33,83.33,77.78,61.11,72.22,66.67,18
77,91.3,92.03,91.3,87.68,89.13,86.23,88.41,84.06,81.88,84.78,77.54,138
78,97.46,96.95,95.94,95.43,94.42,92.39,89.85,85.79,82.74,81.73,80.71,197
79,90.29,92.23,91.26,93.2,91.26,87.38,89.32,89.32,83.5,82.52,84.47,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,91.67,86.11,88.89,86.11,86.11,91.67,86.11,91.67,80.56,83.33,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.43,100.0,71.43,7
83,93.59,91.03,89.74,84.62,84.62,75.64,84.62,73.08,64.1,60.26,64.1,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,4
85,44.44,22.22,11.11,22.22,22.22,0.0,11.11,11.11,22.22,0.0,0.0,9
86,93.26,91.57,90.45,92.13,90.45,84.27,83.15,85.39,81.46,83.15,78.65,178
87,64.56,64.56,61.39,62.03,52.53,55.06,45.57,45.57,45.57,37.34,40.51,158
88,82.14,82.14,78.57,67.86,67.86,57.14,57.14,53.57,53.57,64.29,60.71,28
89,62.5,50.0,50.0,62.5,50.0,37.5,62.5,50.0,37.5,50.0,50.0,8
90,98.38,98.54,97.73,97.9,97.09,95.79,95.31,93.2,94.17,92.07,89.16,618
91,88.14,86.44,84.75,88.14,84.75,86.44,84.75,79.66,71.19,77.97,71.19,59
92,33.33,33.33,25.0,25.0,25.0,16.67,25.0,25.0,8.33,16.67,8.33,12
93,79.31,65.52,58.62,50.0,48.28,55.17,29.31,39.66,29.31,32.76,29.31,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0,14.29,14.29,7
97,85.71,85.71,84.13,82.54,82.54,84.13,84.13,79.37,68.25,77.78,71.43,63
98,100.0,100.0,100.0,100.0,33.33,66.67,66.67,33.33,33.33,33.33,33.33,3
99,84.21,84.21,84.21,84.21,84.21,84.21,78.95,84.21,84.21,78.95,84.21,19
100,66.67,50.0,66.67,83.33,50.0,50.0,66.67,83.33,83.33,50.0,50.0,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,92.0,96.0,88.0,92.0,25
