category,sub-category,images,Originalmodel45,Originalmodel55,Originalmodel24,fogmodel45,fogmodel55,fogmodel24,nightmodel45,nightmodel55,nightmodel24,rainmodel45,rainmodel55,rainmodel24,snowmodel45,snowmodel55,snowmodel24,daymodel45,daymodel55,daymodel24
Dangerous warning,Dangerous warning,4553,81.17715791785636,80.82557654293875,76.63103667911267,29.62969909949484,37.3388864484955,21.723380188886445,74.2807226004832,77.94839666154184,70.02021524269712,74.82862288600923,74.52135295409619,70.92083022183175,74.32365692949703,72.41416648363716,71.03048978695367,80.91391170656709,80.80432242477488,76.78583571271689
Regularoty,Priority ,1743,94.8365174985657,92.48800344234078,90.36044750430294,55.361331038439474,56.11031554790591,48.937010900745825,93.11215720022949,90.75945496270798,86.51333907056798,93.6916179001721,87.08992541594952,88.23634538152612,91.27858290304073,85.14279403327598,86.51903040734366,94.8365174985657,92.36820998278829,90.30422260470452
Regularoty,Prohibitory,8406,83.34548298834167,82.5478753271473,80.85921246728527,20.640016654770402,26.94443373780634,13.763762788484415,78.25359980965975,77.18319414703782,71.15156435879135,75.25565072567214,70.77094813228645,69.71213537949086,74.05220080894598,69.39096954556268,69.98583511777304,83.25042945515109,82.35859743040685,80.70490720913632
Regularoty,Mandatory,1693,95.4525044300059,94.21109273479033,92.79376845835795,27.347796810395742,41.70044300059067,22.209438865918486,87.06335499114,89.95853514471352,78.14515652687538,89.30744831659774,88.00819255759006,85.58745422327229,89.90138806851742,86.41593030124041,85.47062610750147,95.3332014176019,94.0347135262847,92.79364441819254
Regularoty,Special regulations,1346,80.68345468053492,81.12782317979197,81.94505200594354,43.238127786032685,36.031493313521544,28.231196136701342,70.20773402674591,65.00679049034174,62.2561367013373,76.59645616641902,76.15038632986627,77.93256315007429,76.44608469539376,76.30125557206537,78.45433878157505,80.3093907875186,81.79960624071322,82.3915601783061
