category,images,Original,fog,night,rain,snow
Dangerous warning,4553,80.40759059960466,29.936777948605314,77.57363057324841,73.66569953876565,72.25976279376236
Regularoty,13188,82.13489005156202,22.345845465574765,74.74994767970882,73.8392788898999,72.05660979678495
Others,77,24.67571428571429,3.8948051948051945,20.7774025974026,22.077532467532468,23.37727272727273
