filter,noise_52,noise_49,noise_42,baseline_52,baseline_49,baseline_42,norm_52,norm_49,norm_42
Original,82.78551219059979,80.51387874293131,78.96542782979513,85.6122147028831,84.57384907759341,84.41590432928525,91.01695652173912,91.49963938073608,91.31343098173727
fog,57.88511541670528,47.19579215722629,45.387970705478814,21.516617224436818,28.116537498841197,29.100014832668954,26.661769722814498,30.749520719384442,28.080446834152223
night,74.39502363956615,66.9330360619264,63.83537128024472,77.8255325855196,74.35794938351718,69.40748678965421,87.77250393992769,88.17997404282933,87.37263372578103
rain,78.98414480393065,75.39656531009548,73.02394456289979,77.32405673495875,78.12117085380551,78.20512376008156,84.61119681097617,85.52876796143507,84.69428664132751
snow,77.5556957448781,72.78179011773432,71.15993696115693,77.25015852414944,77.75123203856492,78.11231760452398,83.03515435246129,83.87975711504589,82.73866969500324
day,82.5620098266432,80.80109576341894,78.87236117548902,85.51944841012329,84.58262909057197,84.53685176601465,91.00814035412998,91.49029201817002,91.32292667099287
