class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,94.31,94.31,96.75,95.12,95.93,94.31,92.68,91.87,92.68,91.87,89.43,123
1,88.64,86.36,86.36,84.09,86.36,81.82,84.09,77.27,75.0,84.09,70.45,44
2,85.19,83.33,83.33,83.33,74.07,62.96,72.22,72.22,70.37,68.52,68.52,54
3,61.9,57.14,71.43,61.9,52.38,57.14,61.9,57.14,52.38,57.14,57.14,21
4,66.67,55.56,66.67,44.44,55.56,66.67,66.67,77.78,33.33,44.44,66.67,9
5,71.43,85.71,85.71,85.71,85.71,85.71,71.43,85.71,71.43,85.71,57.14,7
6,88.33,88.33,86.67,86.67,88.33,83.33,75.0,71.67,68.33,63.33,71.67,60
7,70.0,70.0,75.0,60.0,55.0,75.0,47.5,62.5,62.5,57.5,52.5,40
8,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,76.92,84.62,76.92,69.23,61.54,61.54,53.85,61.54,61.54,76.92,13
11,91.11,93.33,93.33,95.56,88.89,91.11,84.44,91.11,88.89,80.0,88.89,45
12,95.92,94.9,94.9,93.88,92.86,87.76,88.78,86.73,82.65,83.67,75.51,98
13,75.0,75.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
15,90.51,88.61,89.87,89.87,89.87,89.24,86.71,85.44,86.71,84.81,82.28,158
16,92.67,92.67,92.31,90.84,91.58,91.58,89.38,89.01,86.08,86.81,86.45,273
17,84.62,82.69,88.46,86.54,88.46,75.0,80.77,76.92,82.69,75.0,69.23,52
18,60.0,40.0,40.0,60.0,60.0,60.0,60.0,40.0,60.0,20.0,60.0,5
19,88.68,87.74,87.74,91.51,88.68,90.57,90.57,88.68,86.79,83.02,85.85,106
20,95.67,95.24,95.24,96.1,93.94,93.51,90.91,93.94,91.77,91.34,91.34,231
21,94.62,93.55,93.55,91.4,92.47,92.47,92.47,88.17,89.25,86.02,83.87,93
22,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.46,78.46,78.46,65
23,96.0,95.69,96.0,96.31,95.08,94.77,93.85,92.62,93.23,93.85,93.54,325
24,60.0,60.0,60.0,65.0,45.0,55.0,45.0,55.0,45.0,50.0,70.0,20
25,76.19,95.24,85.71,90.48,80.95,61.9,76.19,76.19,71.43,71.43,66.67,21
26,90.91,86.36,86.36,90.91,86.36,81.82,86.36,81.82,90.91,90.91,90.91,22
27,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,11.76,5.88,17
28,96.48,94.92,94.92,93.75,94.92,91.02,90.62,88.67,87.89,86.33,85.94,256
29,82.46,80.7,80.7,82.46,77.19,77.19,75.44,73.68,77.19,70.18,66.67,57
30,97.45,97.91,97.91,96.75,98.14,97.91,98.14,97.91,96.75,97.45,97.68,431
31,92.22,90.0,92.22,90.56,89.44,92.22,90.56,92.22,90.56,88.89,88.89,180
32,96.91,96.91,96.91,95.22,94.94,94.1,93.26,93.26,92.42,91.57,91.29,356
33,77.78,77.78,77.78,77.78,77.78,72.22,72.22,83.33,77.78,77.78,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,97.14,97.14,97.14,94.29,94.29,91.43,91.43,91.43,91.43,88.57,35
36,100.0,100.0,100.0,99.35,98.7,99.35,98.7,98.05,99.35,98.7,98.05,154
37,96.4,97.12,95.68,95.68,94.24,94.96,90.65,91.37,92.09,92.81,91.37,139
38,66.67,66.67,66.67,66.67,66.67,77.78,77.78,66.67,66.67,66.67,66.67,9
39,81.82,81.82,81.82,69.7,81.82,81.82,81.82,78.79,75.76,75.76,69.7,33
40,95.74,95.74,91.49,95.74,95.74,91.49,89.36,89.36,82.98,82.98,78.72,47
41,94.85,94.85,93.81,94.85,93.81,93.81,93.81,93.81,93.81,89.69,90.72,97
42,98.72,97.44,96.15,97.44,96.15,94.87,94.87,94.87,92.31,96.15,97.44,78
43,94.44,94.44,87.04,94.44,90.74,90.74,88.89,88.89,87.04,83.33,83.33,54
44,71.43,71.43,71.43,71.43,57.14,71.43,71.43,71.43,71.43,71.43,57.14,7
45,99.25,99.62,98.87,99.25,98.87,97.74,97.36,95.85,96.23,96.23,95.47,265
46,98.04,98.43,98.04,97.65,97.65,96.47,98.04,96.08,95.69,95.29,94.12,255
47,85.19,81.48,81.48,74.07,74.07,81.48,74.07,70.37,77.78,37.04,59.26,27
48,93.21,92.59,92.28,91.36,91.36,91.05,91.05,90.74,88.27,87.04,88.27,324
49,94.64,92.86,91.07,94.64,91.07,89.29,89.29,87.5,91.07,83.93,83.93,56
50,94.69,93.0,92.03,92.27,92.03,90.1,89.37,86.47,84.78,85.51,80.43,414
51,95.88,93.83,93.42,92.18,88.07,90.12,88.48,84.36,88.89,88.07,80.25,243
52,96.28,95.87,94.83,95.25,94.63,93.8,93.18,91.32,90.5,90.5,86.98,484
53,89.92,86.97,81.51,83.61,81.09,77.31,74.79,69.33,71.43,66.39,68.49,238
54,56.25,56.25,50.0,50.0,43.75,31.25,31.25,43.75,50.0,25.0,31.25,16
55,93.51,93.07,92.21,90.48,87.45,89.61,86.15,79.22,83.55,80.09,76.62,231
56,70.83,70.83,62.5,54.17,54.17,45.83,45.83,37.5,58.33,37.5,25.0,24
57,92.86,91.33,89.8,88.27,88.78,85.71,86.73,86.22,82.14,79.59,83.16,196
58,100.0,91.67,83.33,83.33,83.33,83.33,75.0,83.33,83.33,66.67,83.33,12
59,100.0,100.0,100.0,100.0,100.0,96.3,96.3,100.0,92.59,96.3,96.3,27
60,95.24,96.83,88.89,88.89,74.6,88.89,79.37,87.3,79.37,77.78,79.37,63
61,96.43,98.21,98.21,98.21,94.64,96.43,94.64,94.64,98.21,92.86,91.07,56
62,72.73,72.73,72.73,69.7,72.73,75.76,72.73,66.67,63.64,69.7,63.64,33
63,95.56,95.11,95.11,93.78,94.67,94.67,94.22,94.22,93.33,90.67,91.56,225
64,54.55,45.45,45.45,45.45,63.64,45.45,63.64,45.45,45.45,54.55,36.36,11
65,77.78,77.78,77.78,77.78,77.78,77.78,44.44,66.67,66.67,33.33,55.56,9
66,89.23,86.92,88.46,83.85,80.77,84.62,80.0,79.23,78.46,79.23,78.46,130
67,99.44,99.44,99.44,100.0,99.44,99.44,100.0,98.89,98.33,98.89,97.22,180
68,88.89,91.67,88.89,91.67,88.89,88.89,86.11,83.33,86.11,86.11,88.89,36
69,63.64,54.55,54.55,63.64,63.64,72.73,63.64,63.64,63.64,72.73,54.55,11
70,100.0,100.0,100.0,98.28,96.55,100.0,98.28,98.28,98.28,96.55,96.55,58
71,100.0,100.0,95.83,100.0,100.0,100.0,95.83,95.83,91.67,95.83,91.67,24
72,91.86,93.02,91.86,91.86,91.86,90.7,91.86,90.7,95.35,93.02,91.86,86
73,93.88,93.88,91.84,93.88,95.92,93.88,93.88,95.92,93.88,93.88,93.88,49
74,97.09,96.6,95.63,95.15,96.6,94.17,95.15,95.15,93.69,93.69,89.32,206
75,96.08,96.08,96.08,92.16,94.12,92.16,94.12,94.12,88.24,96.08,84.31,51
76,88.89,94.44,83.33,100.0,88.89,100.0,83.33,94.44,72.22,83.33,88.89,18
77,89.13,90.58,90.58,90.58,90.58,89.86,90.58,87.68,88.41,88.41,86.23,138
78,97.97,97.97,97.46,97.97,97.46,96.45,96.45,94.92,93.91,94.42,91.37,197
79,96.12,96.12,94.17,96.12,95.15,93.2,93.2,94.17,94.17,93.2,92.23,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,66.67,3
81,91.67,91.67,88.89,86.11,91.67,86.11,88.89,86.11,83.33,86.11,83.33,36
82,85.71,85.71,85.71,100.0,71.43,85.71,71.43,71.43,71.43,57.14,71.43,7
83,97.44,97.44,96.15,96.15,96.15,97.44,92.31,92.31,91.03,88.46,91.03,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,44.44,44.44,33.33,22.22,22.22,33.33,33.33,11.11,11.11,0.0,11.11,9
86,92.7,94.38,92.7,92.13,93.26,94.38,93.26,92.7,91.57,91.57,90.45,178
87,84.18,84.81,82.28,77.85,74.68,75.95,72.15,68.99,70.25,68.99,66.46,158
88,82.14,75.0,75.0,75.0,71.43,71.43,71.43,85.71,75.0,64.29,64.29,28
89,62.5,62.5,50.0,50.0,50.0,37.5,37.5,25.0,25.0,25.0,25.0,8
90,97.9,98.71,98.22,97.73,97.25,96.76,96.6,96.44,96.44,96.6,95.63,618
