class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
64,81.82,81.82,63.64,63.64,72.73,72.73,63.64,54.55,63.64,72.73,54.55,11
65,66.67,55.56,77.78,55.56,55.56,33.33,55.56,66.67,66.67,55.56,66.67,9
66,88.46,86.92,88.46,83.85,83.08,86.15,86.92,87.69,87.69,82.31,83.08,130
67,100.0,100.0,99.44,99.44,98.89,98.89,98.89,96.11,97.78,97.22,97.78,180
68,94.44,94.44,91.67,94.44,91.67,91.67,94.44,94.44,91.67,91.67,91.67,36
69,72.73,72.73,72.73,63.64,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.83,100.0,100.0,24
72,97.67,97.67,97.67,96.51,97.67,96.51,97.67,97.67,96.51,96.51,97.67,86
73,97.96,95.92,97.96,95.92,95.92,95.92,95.92,95.92,97.96,97.96,95.92,49
74,96.6,96.12,97.09,96.6,97.57,96.12,94.66,96.6,95.63,96.6,95.63,206
75,86.27,88.24,88.24,90.2,88.24,86.27,86.27,86.27,90.2,88.24,84.31,51
76,88.89,88.89,83.33,88.89,83.33,83.33,88.89,88.89,88.89,88.89,66.67,18
77,90.58,92.03,89.13,89.13,86.23,86.23,87.68,86.23,88.41,88.41,87.68,138
78,98.48,98.48,98.48,96.95,97.46,97.46,96.45,97.46,96.95,96.45,95.94,197
79,93.2,92.23,93.2,92.23,93.2,93.2,94.17,92.23,91.26,92.23,92.23,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,91.67,91.67,91.67,91.67,91.67,88.89,91.67,91.67,91.67,91.67,91.67,36
82,85.71,85.71,85.71,85.71,85.71,100.0,85.71,100.0,85.71,85.71,85.71,7
83,92.31,92.31,91.03,92.31,87.18,91.03,85.9,89.74,80.77,84.62,84.62,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,33.33,44.44,22.22,22.22,33.33,33.33,22.22,22.22,22.22,22.22,22.22,9
86,94.94,93.82,92.13,93.82,92.7,91.01,92.13,93.26,89.89,91.57,92.13,178
87,73.42,71.52,70.25,68.35,68.99,66.46,64.56,62.03,65.19,66.46,62.66,158
88,75.0,67.86,75.0,71.43,71.43,67.86,60.71,57.14,67.86,67.86,60.71,28
89,100.0,100.0,87.5,87.5,100.0,100.0,100.0,87.5,87.5,75.0,87.5,8
90,98.22,98.22,98.06,98.06,98.22,97.25,96.93,97.25,97.25,96.93,97.09,618
91,83.05,88.14,86.44,81.36,84.75,81.36,77.97,86.44,88.14,83.05,79.66,59
92,16.67,25.0,25.0,33.33,25.0,16.67,16.67,25.0,25.0,33.33,25.0,12
93,68.97,63.79,62.07,51.72,53.45,58.62,60.34,53.45,51.72,51.72,41.38,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,14.29,14.29,28.57,14.29,28.57,42.86,28.57,28.57,28.57,28.57,7
97,88.89,88.89,88.89,87.3,92.06,92.06,87.3,84.13,85.71,88.89,88.89,63
98,100.0,100.0,66.67,100.0,66.67,66.67,100.0,100.0,66.67,100.0,100.0,3
99,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,19
100,83.33,66.67,66.67,83.33,66.67,66.67,83.33,66.67,83.33,83.33,66.67,6
101,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,96.0,96.0,96.0,96.0,96.0,92.0,92.0,92.0,92.0,96.0,92.0,25
