class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,97.56,96.75,95.93,94.31,92.68,92.68,94.31,91.06,91.06,87.8,88.62,123
1,90.91,90.91,88.64,90.91,90.91,84.09,81.82,84.09,72.73,84.09,79.55,44
2,85.19,85.19,81.48,77.78,75.93,74.07,79.63,81.48,75.93,72.22,62.96,54
3,71.43,76.19,66.67,66.67,71.43,57.14,66.67,61.9,57.14,52.38,57.14,21
4,66.67,77.78,66.67,55.56,33.33,44.44,55.56,55.56,44.44,44.44,22.22,9
5,85.71,100.0,71.43,100.0,71.43,85.71,85.71,71.43,85.71,71.43,71.43,7
6,86.67,88.33,81.67,83.33,80.0,81.67,70.0,76.67,65.0,65.0,70.0,60
7,85.0,82.5,87.5,70.0,70.0,70.0,75.0,52.5,70.0,55.0,47.5,40
8,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,3
10,92.31,84.62,84.62,100.0,84.62,84.62,84.62,84.62,76.92,84.62,84.62,13
11,86.67,84.44,84.44,84.44,73.33,82.22,84.44,80.0,64.44,66.67,73.33,45
12,92.86,91.84,91.84,90.82,87.76,87.76,86.73,76.53,82.65,76.53,72.45,98
13,25.0,50.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,25.0,25.0,4
14,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.3,91.77,93.67,93.04,90.51,90.51,89.24,88.61,88.61,86.08,87.34,158
16,91.58,90.84,90.48,89.01,89.74,89.01,88.28,87.18,88.28,83.15,84.62,273
17,80.77,82.69,84.62,82.69,78.85,82.69,73.08,88.46,80.77,76.92,84.62,52
18,100.0,80.0,80.0,80.0,60.0,40.0,60.0,40.0,80.0,60.0,80.0,5
19,85.85,85.85,87.74,89.62,86.79,86.79,90.57,84.91,83.96,83.96,82.08,106
20,97.4,97.4,96.1,96.1,97.4,94.37,96.1,95.24,93.07,93.94,91.77,231
21,90.32,91.4,89.25,91.4,87.1,89.25,88.17,86.02,89.25,86.02,87.1,93
22,81.54,80.0,81.54,81.54,81.54,81.54,80.0,81.54,76.92,80.0,80.0,65
23,96.31,96.31,96.31,94.15,96.62,95.38,94.46,94.15,93.23,92.62,92.0,325
24,70.0,70.0,55.0,70.0,65.0,70.0,55.0,50.0,45.0,40.0,30.0,20
25,90.48,66.67,71.43,61.9,71.43,66.67,71.43,76.19,66.67,61.9,61.9,21
26,90.91,90.91,90.91,90.91,90.91,86.36,90.91,86.36,90.91,86.36,86.36,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,17
28,97.27,97.27,96.48,94.92,93.36,93.36,92.19,91.41,88.28,84.77,83.59,256
29,59.65,68.42,68.42,63.16,66.67,64.91,61.4,57.89,50.88,63.16,50.88,57
30,97.45,97.45,96.98,97.22,97.45,96.06,96.75,96.29,95.82,96.29,96.29,431
31,92.78,93.33,90.56,93.33,92.22,90.0,90.0,90.0,90.0,88.33,86.11,180
32,98.03,97.75,97.19,95.51,96.63,94.94,94.1,93.82,92.13,92.7,91.85,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,83.33,83.33,18
34,100.0,95.24,95.24,100.0,100.0,90.48,100.0,95.24,95.24,95.24,90.48,21
35,97.14,97.14,85.71,88.57,88.57,94.29,88.57,91.43,74.29,82.86,80.0,35
36,99.35,99.35,98.7,100.0,98.7,99.35,99.35,98.05,98.05,97.4,98.7,154
37,94.96,95.68,94.96,94.96,95.68,93.53,93.53,91.37,93.53,92.09,90.65,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,55.56,66.67,66.67,66.67,9
39,81.82,81.82,78.79,78.79,75.76,72.73,78.79,75.76,78.79,75.76,81.82,33
40,93.62,91.49,91.49,93.62,82.98,82.98,89.36,87.23,89.36,78.72,85.11,47
41,94.85,94.85,94.85,93.81,93.81,94.85,93.81,93.81,94.85,93.81,93.81,97
42,89.74,91.03,88.46,91.03,88.46,84.62,83.33,91.03,82.05,82.05,79.49,78
43,88.89,87.04,94.44,88.89,85.19,83.33,81.48,81.48,75.93,70.37,75.93,54
44,71.43,71.43,71.43,71.43,57.14,71.43,71.43,57.14,71.43,71.43,57.14,7
45,97.74,97.74,97.36,97.36,98.49,98.11,97.36,97.36,98.11,95.09,96.98,265
46,98.04,97.65,98.04,95.69,96.08,95.69,95.69,93.73,94.51,94.12,90.98,255
47,85.19,85.19,85.19,85.19,81.48,74.07,74.07,66.67,66.67,59.26,55.56,27
48,94.44,93.21,92.9,91.36,91.67,91.05,87.35,87.65,88.27,88.58,85.49,324
49,89.29,85.71,85.71,87.5,82.14,85.71,76.79,82.14,75.0,78.57,78.57,56
50,93.96,92.75,91.79,90.58,87.68,86.96,83.33,81.88,79.95,77.29,75.85,414
51,95.88,94.65,92.59,91.36,90.95,87.65,86.01,85.6,84.36,82.72,76.54,243
52,97.31,97.73,97.31,96.49,96.28,96.28,94.63,93.6,92.15,89.88,89.05,484
53,89.08,87.82,86.13,84.45,83.61,78.57,75.21,74.79,70.59,70.59,63.87,238
54,56.25,56.25,50.0,56.25,50.0,37.5,37.5,18.75,43.75,37.5,31.25,16
55,91.77,91.77,89.18,85.71,88.31,86.58,88.74,82.68,81.82,75.76,75.32,231
56,62.5,62.5,54.17,50.0,50.0,58.33,37.5,41.67,29.17,45.83,37.5,24
57,91.33,90.82,88.78,89.29,85.71,84.18,83.67,81.12,80.1,78.57,77.04,196
58,83.33,83.33,75.0,83.33,83.33,66.67,58.33,66.67,75.0,66.67,50.0,12
59,100.0,100.0,100.0,96.3,100.0,92.59,88.89,92.59,92.59,96.3,88.89,27
60,95.24,90.48,90.48,88.89,84.13,76.19,82.54,80.95,76.19,76.19,73.02,63
61,94.64,94.64,94.64,89.29,92.86,92.86,89.29,94.64,87.5,96.43,85.71,56
62,93.94,93.94,93.94,93.94,87.88,93.94,93.94,93.94,78.79,84.85,90.91,33
63,95.11,93.78,95.11,92.0,91.56,90.67,90.67,89.78,87.56,86.22,86.22,225
64,27.27,36.36,18.18,18.18,27.27,36.36,27.27,0.0,27.27,9.09,27.27,11
65,100.0,100.0,100.0,77.78,88.89,77.78,88.89,88.89,88.89,55.56,77.78,9
66,84.62,81.54,81.54,80.77,83.08,80.0,81.54,75.38,76.15,73.08,73.08,130
67,99.44,98.89,99.44,99.44,98.89,99.44,97.78,98.89,97.78,98.33,95.56,180
68,91.67,91.67,91.67,94.44,94.44,86.11,88.89,86.11,86.11,86.11,83.33,36
69,81.82,81.82,81.82,72.73,72.73,81.82,81.82,72.73,81.82,81.82,81.82,11
70,100.0,100.0,100.0,100.0,100.0,98.28,100.0,100.0,100.0,100.0,96.55,58
71,91.67,91.67,91.67,87.5,95.83,91.67,91.67,95.83,91.67,87.5,83.33,24
72,96.51,95.35,95.35,95.35,93.02,96.51,93.02,96.51,95.35,91.86,90.7,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,49
74,94.66,94.66,95.15,93.2,93.2,93.69,91.75,93.2,92.23,91.75,88.35,206
75,92.16,90.2,94.12,88.24,92.16,90.2,88.24,90.2,84.31,88.24,84.31,51
76,94.44,88.89,88.89,77.78,88.89,88.89,88.89,72.22,55.56,61.11,66.67,18
77,83.33,81.88,82.61,80.43,81.88,81.88,77.54,80.43,79.71,76.81,76.09,138
78,97.97,97.97,97.97,97.97,96.45,97.46,95.94,95.43,93.4,91.37,90.86,197
79,93.2,93.2,93.2,92.23,91.26,93.2,91.26,93.2,91.26,90.29,90.29,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,86.11,86.11,83.33,80.56,80.56,88.89,80.56,77.78,77.78,80.56,77.78,36
82,100.0,100.0,100.0,100.0,100.0,71.43,100.0,100.0,85.71,85.71,85.71,7
83,92.31,92.31,94.87,96.15,91.03,96.15,89.74,91.03,87.18,88.46,85.9,78
84,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,4
85,22.22,11.11,11.11,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,9
86,91.01,90.45,90.45,89.33,88.2,90.45,89.33,91.57,89.33,89.33,84.27,178
87,93.67,89.87,92.41,91.14,87.34,91.14,87.97,87.34,89.24,88.61,86.71,158
88,71.43,64.29,60.71,60.71,60.71,60.71,53.57,57.14,53.57,53.57,57.14,28
89,25.0,12.5,12.5,12.5,12.5,25.0,12.5,12.5,12.5,25.0,25.0,8
90,97.41,97.25,96.76,97.25,96.6,96.76,96.44,96.44,94.98,96.12,94.98,618
91,91.53,91.53,86.44,86.44,88.14,88.14,84.75,83.05,81.36,76.27,79.66,59
92,8.33,8.33,8.33,0.0,8.33,0.0,0.0,8.33,0.0,16.67,8.33,12
93,48.28,41.38,51.72,50.0,51.72,44.83,43.1,41.38,41.38,31.03,31.03,58
94,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
95,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,3
96,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,14.29,0.0,14.29,7
97,85.71,85.71,84.13,82.54,85.71,82.54,85.71,87.3,79.37,80.95,77.78,63
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
99,78.95,78.95,78.95,84.21,78.95,78.95,89.47,78.95,78.95,68.42,78.95,19
100,100.0,100.0,83.33,83.33,100.0,83.33,100.0,100.0,83.33,100.0,50.0,6
101,60.0,60.0,40.0,60.0,60.0,60.0,20.0,40.0,80.0,0.0,40.0,5
102,88.0,88.0,92.0,88.0,92.0,88.0,88.0,80.0,92.0,84.0,92.0,25
