class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,98.37,97.56,97.56,95.93,93.5,94.31,91.06,96.75,90.24,86.99,86.99,123
1,93.18,90.91,90.91,86.36,81.82,77.27,72.73,70.45,75.0,65.91,65.91,44
2,90.74,88.89,94.44,94.44,90.74,90.74,96.3,87.04,79.63,83.33,79.63,54
3,71.43,71.43,76.19,76.19,66.67,71.43,66.67,57.14,57.14,61.9,57.14,21
4,88.89,77.78,44.44,44.44,55.56,77.78,55.56,33.33,33.33,44.44,33.33,9
5,85.71,85.71,85.71,85.71,85.71,100.0,85.71,85.71,85.71,57.14,71.43,7
6,86.67,88.33,86.67,85.0,83.33,80.0,78.33,80.0,73.33,71.67,68.33,60
7,90.0,85.0,77.5,72.5,60.0,65.0,47.5,50.0,52.5,35.0,40.0,40
8,66.67,66.67,100.0,66.67,100.0,0.0,33.33,0.0,0.0,66.67,0.0,3
9,33.33,33.33,33.33,33.33,66.67,33.33,66.67,66.67,33.33,33.33,33.33,3
10,76.92,76.92,76.92,76.92,69.23,76.92,69.23,84.62,84.62,69.23,61.54,13
11,97.78,91.11,95.56,95.56,93.33,75.56,84.44,64.44,64.44,57.78,71.11,45
12,94.9,92.86,90.82,90.82,86.73,79.59,79.59,72.45,75.51,69.39,71.43,98
13,100.0,75.0,50.0,50.0,50.0,25.0,50.0,25.0,50.0,25.0,25.0,4
14,66.67,66.67,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,0.0,3
15,98.1,96.84,96.84,93.67,94.94,90.51,89.24,91.14,83.54,82.91,84.18,158
16,93.41,93.04,91.94,91.58,91.58,89.01,88.64,87.18,84.98,83.15,80.22,273
17,88.46,88.46,88.46,86.54,84.62,90.38,84.62,80.77,82.69,80.77,82.69,52
18,40.0,40.0,40.0,20.0,40.0,40.0,20.0,40.0,40.0,40.0,20.0,5
19,95.28,95.28,91.51,88.68,87.74,78.3,68.87,72.64,67.92,56.6,58.49,106
20,97.84,98.7,98.27,96.1,94.37,93.07,93.51,93.51,87.88,92.21,87.01,231
21,95.7,93.55,93.55,91.4,87.1,83.87,89.25,81.72,82.8,82.8,75.27,93
22,83.08,81.54,84.62,81.54,80.0,78.46,80.0,83.08,76.92,84.62,78.46,65
23,97.23,96.31,96.62,96.0,96.92,94.46,94.15,92.92,92.92,87.69,87.08,325
24,85.0,75.0,85.0,80.0,80.0,75.0,70.0,70.0,70.0,50.0,55.0,20
25,80.95,71.43,80.95,66.67,66.67,76.19,61.9,61.9,57.14,57.14,42.86,21
26,95.45,95.45,90.91,95.45,90.91,95.45,86.36,95.45,90.91,86.36,81.82,22
27,17.65,17.65,11.76,17.65,17.65,11.76,11.76,5.88,17.65,17.65,17.65,17
28,98.05,96.88,93.75,93.36,90.23,88.67,84.77,81.64,78.91,75.0,73.44,256
29,96.49,92.98,80.7,78.95,77.19,77.19,78.95,70.18,71.93,70.18,63.16,57
30,98.84,99.07,98.14,98.84,96.75,97.68,96.29,95.36,94.66,93.97,94.9,431
31,93.33,92.78,92.78,90.56,92.22,90.56,90.0,85.0,84.44,83.33,79.44,180
32,97.75,96.91,96.91,94.66,92.7,89.33,89.04,86.8,88.76,86.24,82.3,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,77.78,18
34,100.0,100.0,100.0,95.24,95.24,100.0,95.24,90.48,90.48,100.0,95.24,21
35,91.43,82.86,88.57,80.0,65.71,74.29,65.71,62.86,54.29,68.57,51.43,35
36,99.35,99.35,98.7,98.05,98.05,96.1,94.81,96.75,96.75,94.81,96.75,154
37,94.96,94.24,94.96,93.53,92.09,92.09,90.65,89.93,84.89,85.61,82.73,139
38,100.0,100.0,100.0,88.89,100.0,88.89,100.0,100.0,88.89,77.78,88.89,9
39,93.94,90.91,90.91,90.91,90.91,87.88,81.82,87.88,81.82,87.88,78.79,33
40,93.62,93.62,93.62,91.49,93.62,93.62,91.49,95.74,85.11,80.85,82.98,47
41,97.94,96.91,96.91,97.94,95.88,92.78,93.81,86.6,86.6,86.6,87.63,97
42,96.15,96.15,96.15,98.72,93.59,96.15,89.74,94.87,91.03,94.87,89.74,78
43,98.15,98.15,98.15,98.15,94.44,94.44,90.74,90.74,87.04,81.48,79.63,54
44,100.0,85.71,100.0,85.71,100.0,85.71,85.71,85.71,100.0,85.71,71.43,7
45,99.62,99.62,99.25,95.85,97.74,94.72,94.34,92.08,87.92,87.55,86.04,265
46,97.65,97.25,95.29,90.98,88.63,84.71,78.82,76.47,75.29,70.2,68.63,255
47,88.89,77.78,92.59,81.48,81.48,74.07,70.37,59.26,74.07,62.96,66.67,27
48,94.75,92.9,93.83,93.52,93.21,91.05,90.12,89.51,88.27,85.49,84.88,324
49,92.86,92.86,92.86,87.5,91.07,91.07,87.5,87.5,89.29,78.57,82.14,56
50,97.1,94.93,93.72,93.96,87.92,89.37,86.23,81.88,79.95,74.64,76.09,414
51,98.77,96.3,94.24,91.77,89.3,79.01,79.84,76.13,69.14,66.26,64.61,243
52,98.97,98.35,97.11,95.25,91.32,89.46,87.19,85.33,82.85,80.17,79.34,484
53,92.02,87.39,87.82,79.83,75.63,74.37,69.75,65.13,62.61,60.5,55.04,238
54,62.5,62.5,56.25,56.25,62.5,56.25,37.5,37.5,37.5,37.5,37.5,16
55,98.7,97.84,94.81,90.48,87.45,81.39,74.46,73.59,62.34,65.37,58.87,231
56,79.17,70.83,62.5,54.17,41.67,41.67,29.17,25.0,29.17,25.0,16.67,24
57,94.39,93.88,91.84,88.78,84.69,82.14,78.06,73.98,77.04,69.39,66.84,196
58,83.33,83.33,83.33,83.33,83.33,66.67,83.33,75.0,75.0,50.0,58.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,96.3,85.19,77.78,96.3,85.19,27
60,96.83,88.89,87.3,82.54,77.78,74.6,71.43,63.49,69.84,66.67,57.14,63
61,96.43,94.64,89.29,92.86,87.5,92.86,89.29,87.5,80.36,78.57,87.5,56
62,90.91,90.91,90.91,90.91,84.85,78.79,78.79,84.85,75.76,72.73,69.7,33
63,94.22,93.33,91.11,88.89,84.0,88.44,88.44,78.67,77.78,74.67,70.67,225
64,81.82,72.73,72.73,72.73,63.64,54.55,54.55,36.36,36.36,36.36,27.27,11
65,66.67,77.78,55.56,44.44,55.56,55.56,33.33,44.44,33.33,66.67,33.33,9
66,90.0,87.69,82.31,79.23,73.85,71.54,68.46,66.15,60.0,56.92,46.92,130
67,99.44,97.78,96.67,95.0,90.56,89.44,84.44,78.89,78.33,76.11,73.33,180
68,97.22,97.22,97.22,91.67,94.44,88.89,83.33,83.33,77.78,72.22,83.33,36
69,81.82,72.73,72.73,81.82,72.73,72.73,63.64,72.73,63.64,63.64,72.73,11
70,100.0,100.0,98.28,98.28,94.83,100.0,87.93,87.93,89.66,89.66,81.03,58
71,95.83,95.83,95.83,83.33,91.67,87.5,87.5,70.83,75.0,83.33,66.67,24
72,98.84,98.84,98.84,96.51,97.67,97.67,95.35,97.67,95.35,93.02,90.7,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,91.84,49
74,96.6,96.6,95.15,94.66,94.66,93.69,90.78,91.75,85.44,83.5,83.5,206
