category,images,Original_model_42_noise,fognight_model_42_noise,fogsnow_model_42_noise,fograin_model_42_noise,rainnight_model_42_noise,snownight_model_42_noise
Dangerous warning,2228,90.03550269299821,74.32678635547578,60.0995197486535,72.30761220825855,72.53122531418313,42.234851885098735
Regularoty,7545,93.45272498343272,78.10405964214712,69.79419085487078,78.46256328694497,76.44871438038436,46.4148986083499
