class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,85.37,68.29,78.86,80.49,55.28,123
1,90.91,61.36,61.36,59.09,77.27,45.45,44
2,75.93,61.11,33.33,40.74,48.15,31.48,54
3,52.38,38.1,23.81,38.1,38.1,9.52,21
4,66.67,55.56,33.33,22.22,66.67,55.56,9
5,85.71,71.43,71.43,42.86,100.0,14.29,7
6,90.0,73.33,53.33,68.33,70.0,33.33,60
7,77.5,20.0,22.5,27.5,52.5,30.0,40
8,33.33,33.33,33.33,33.33,0.0,33.33,3
9,33.33,33.33,0.0,0.0,33.33,0.0,3
10,84.62,76.92,38.46,76.92,53.85,7.69,13
11,88.89,46.67,37.78,55.56,55.56,24.44,45
12,84.69,70.41,54.08,67.35,74.49,54.08,98
13,50.0,0.0,50.0,0.0,50.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,3
15,87.97,70.25,61.39,72.15,69.62,51.27,158
16,91.58,86.45,74.73,78.75,79.12,59.71,273
17,75.0,55.77,38.46,55.77,59.62,32.69,52
18,80.0,20.0,20.0,60.0,20.0,20.0,5
19,95.28,68.87,54.72,67.92,70.75,45.28,106
20,96.97,87.01,76.62,83.98,83.98,61.47,231
21,93.55,44.09,53.76,69.89,63.44,47.31,93
22,81.54,70.77,72.31,76.92,78.46,61.54,65
23,96.62,87.38,80.92,86.15,85.54,65.54,325
24,60.0,40.0,25.0,30.0,60.0,20.0,20
25,71.43,38.1,42.86,33.33,42.86,23.81,21
26,90.91,72.73,45.45,50.0,81.82,36.36,22
27,5.88,0.0,0.0,5.88,0.0,0.0,17
28,97.66,64.84,64.45,77.73,78.12,44.92,256
29,75.44,33.33,42.11,35.09,45.61,33.33,57
30,98.38,86.77,88.86,93.04,89.1,75.87,431
31,94.44,81.67,81.11,82.78,81.67,66.11,180
32,97.19,68.26,81.46,85.11,74.44,50.28,356
33,83.33,72.22,61.11,77.78,72.22,66.67,18
34,90.48,71.43,85.71,76.19,66.67,47.62,21
35,88.57,22.86,40.0,57.14,68.57,31.43,35
36,99.35,81.82,83.12,92.86,90.26,64.29,154
37,95.68,43.88,51.8,66.19,58.99,18.71,139
38,88.89,33.33,22.22,44.44,44.44,0.0,9
39,78.79,48.48,45.45,66.67,69.7,39.39,33
40,89.36,53.19,51.06,59.57,63.83,40.43,47
41,94.85,78.35,78.35,80.41,82.47,64.95,97
42,94.87,70.51,65.38,79.49,76.92,43.59,78
43,100.0,81.48,70.37,77.78,83.33,57.41,54
44,85.71,42.86,42.86,42.86,42.86,14.29,7
45,99.25,86.04,87.55,93.58,90.94,66.04,265
46,97.25,80.78,81.18,88.63,83.92,64.31,255
47,77.78,33.33,29.63,48.15,44.44,14.81,27
48,92.9,72.22,66.36,75.93,79.01,50.93,324
49,89.29,64.29,42.86,62.5,64.29,37.5,56
50,95.41,75.85,60.63,73.67,75.36,54.35,414
51,93.42,58.85,46.5,60.08,71.6,41.98,243
52,98.14,75.83,70.66,76.03,80.58,60.33,484
53,86.97,52.52,44.54,57.98,54.2,26.47,238
54,62.5,18.75,25.0,25.0,25.0,18.75,16
55,92.64,64.94,48.48,57.58,71.86,39.39,231
56,62.5,16.67,8.33,25.0,16.67,4.17,24
57,95.41,70.41,61.22,67.86,78.57,51.02,196
58,75.0,50.0,16.67,41.67,50.0,33.33,12
59,100.0,48.15,40.74,55.56,74.07,37.04,27
60,95.24,71.43,53.97,69.84,71.43,57.14,63
61,92.86,71.43,51.79,69.64,78.57,57.14,56
62,81.82,51.52,51.52,45.45,63.64,51.52,33
63,94.67,24.44,68.89,79.11,47.11,20.89,225
64,81.82,18.18,9.09,0.0,54.55,18.18,11
65,33.33,11.11,22.22,0.0,44.44,11.11,9
66,87.69,29.23,62.31,75.38,40.77,24.62,130
67,99.44,69.44,80.0,90.0,83.33,70.0,180
68,88.89,63.89,52.78,52.78,75.0,55.56,36
69,72.73,27.27,45.45,63.64,63.64,63.64,11
70,100.0,67.24,72.41,79.31,86.21,56.9,58
71,95.83,41.67,62.5,58.33,75.0,33.33,24
72,96.51,68.6,75.58,84.88,77.91,55.81,86
73,93.88,67.35,69.39,75.51,77.55,59.18,49
74,95.15,55.34,72.82,83.98,75.24,49.03,206
75,94.12,68.63,72.55,76.47,82.35,64.71,51
76,83.33,16.67,33.33,33.33,44.44,11.11,18
77,86.96,37.68,63.04,71.74,63.04,49.28,138
78,97.97,46.7,69.04,77.66,79.19,59.39,197
79,92.23,66.99,61.17,69.9,77.67,68.93,103
