class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,99.19,98.37,98.37,95.12,95.93,95.12,92.68,92.68,91.06,87.8,90.24,123
1,90.91,93.18,88.64,88.64,86.36,90.91,81.82,88.64,81.82,75.0,70.45,44
2,87.04,83.33,83.33,83.33,85.19,79.63,77.78,74.07,70.37,85.19,70.37,54
3,66.67,66.67,71.43,71.43,71.43,66.67,71.43,61.9,71.43,61.9,66.67,21
4,66.67,66.67,55.56,66.67,77.78,66.67,55.56,55.56,33.33,55.56,44.44,9
5,85.71,85.71,100.0,100.0,85.71,85.71,85.71,85.71,100.0,71.43,71.43,7
6,88.33,85.0,86.67,80.0,86.67,90.0,85.0,78.33,71.67,71.67,65.0,60
7,82.5,82.5,65.0,62.5,50.0,57.5,37.5,50.0,37.5,32.5,27.5,40
8,33.33,33.33,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,100.0,66.67,66.67,100.0,33.33,66.67,3
10,76.92,76.92,69.23,69.23,76.92,69.23,69.23,46.15,61.54,61.54,69.23,13
11,91.11,86.67,88.89,80.0,75.56,75.56,68.89,62.22,62.22,60.0,55.56,45
12,94.9,95.92,94.9,89.8,88.78,83.67,77.55,74.49,72.45,68.37,68.37,98
13,100.0,100.0,100.0,50.0,75.0,75.0,25.0,50.0,50.0,25.0,25.0,4
14,33.33,33.33,66.67,66.67,0.0,33.33,0.0,33.33,33.33,33.33,33.33,3
15,92.41,93.67,92.41,92.41,91.14,91.14,89.87,86.71,87.97,86.08,84.81,158
16,94.14,92.67,91.94,91.21,90.11,89.01,88.28,88.28,83.52,82.78,80.59,273
17,90.38,90.38,90.38,88.46,90.38,90.38,76.92,82.69,80.77,71.15,78.85,52
18,60.0,60.0,100.0,60.0,60.0,80.0,40.0,0.0,80.0,40.0,0.0,5
19,94.34,88.68,87.74,84.91,83.02,75.47,78.3,69.81,66.98,61.32,59.43,106
20,97.4,96.54,96.1,96.1,92.64,92.21,92.21,92.21,90.48,89.61,85.71,231
21,91.4,90.32,90.32,91.4,88.17,90.32,89.25,79.57,81.72,82.8,76.34,93
22,76.92,78.46,78.46,78.46,80.0,76.92,75.38,78.46,76.92,76.92,78.46,65
23,97.23,96.31,96.31,96.0,95.38,95.08,93.23,94.15,92.31,90.77,90.15,325
24,75.0,75.0,65.0,60.0,75.0,60.0,60.0,65.0,50.0,55.0,40.0,20
25,85.71,76.19,85.71,80.95,71.43,80.95,61.9,76.19,76.19,66.67,61.9,21
26,90.91,90.91,90.91,90.91,90.91,86.36,90.91,77.27,81.82,81.82,72.73,22
27,17.65,17.65,17.65,17.65,17.65,17.65,17.65,11.76,17.65,11.76,5.88,17
28,98.44,97.66,94.92,89.45,90.23,87.11,81.25,77.73,73.44,77.73,70.7,256
29,89.47,91.23,78.95,75.44,73.68,71.93,68.42,66.67,66.67,64.91,50.88,57
30,98.61,99.54,97.22,97.68,96.06,96.98,94.43,93.97,92.58,90.95,91.65,431
31,92.22,95.0,91.67,91.67,90.0,87.78,88.33,87.22,87.78,82.78,86.11,180
32,97.19,97.19,94.94,94.38,93.26,88.76,89.61,87.36,85.39,84.83,81.18,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,77.78,18
34,100.0,100.0,100.0,100.0,100.0,95.24,100.0,95.24,100.0,90.48,90.48,21
35,91.43,91.43,91.43,85.71,85.71,77.14,65.71,68.57,71.43,60.0,57.14,35
36,100.0,99.35,100.0,100.0,98.7,99.35,99.35,98.05,98.05,94.81,95.45,154
37,96.4,95.68,95.68,94.24,94.24,92.81,92.81,83.45,82.01,78.42,75.54,139
38,55.56,55.56,55.56,77.78,77.78,77.78,66.67,66.67,77.78,66.67,77.78,9
39,87.88,87.88,87.88,84.85,81.82,84.85,81.82,78.79,69.7,81.82,84.85,33
40,97.87,97.87,95.74,91.49,95.74,97.87,93.62,95.74,85.11,87.23,76.6,47
41,95.88,93.81,95.88,93.81,93.81,91.75,91.75,91.75,93.81,92.78,88.66,97
42,92.31,91.03,91.03,94.87,89.74,87.18,89.74,88.46,89.74,85.9,87.18,78
43,98.15,100.0,98.15,98.15,90.74,98.15,92.59,87.04,90.74,88.89,90.74,54
44,71.43,71.43,71.43,71.43,71.43,71.43,85.71,71.43,71.43,85.71,71.43,7
45,100.0,99.62,98.87,98.49,95.47,94.72,92.83,92.08,88.68,86.04,84.53,265
46,97.65,96.86,94.12,92.94,88.24,83.92,78.04,76.08,71.37,66.27,64.71,255
47,92.59,92.59,88.89,88.89,77.78,77.78,77.78,77.78,55.56,66.67,59.26,27
48,94.75,95.06,93.83,91.98,89.51,89.81,89.2,88.58,87.65,87.65,82.72,324
49,89.29,89.29,89.29,91.07,87.5,85.71,82.14,78.57,87.5,78.57,83.93,56
50,96.62,93.72,93.96,90.1,88.16,87.68,82.85,80.68,80.92,78.5,73.43,414
51,97.12,95.88,95.06,88.89,83.95,83.95,79.01,76.54,73.25,68.31,65.02,243
52,98.55,97.52,95.87,93.39,91.32,89.05,87.4,83.88,84.92,81.61,82.02,484
53,91.18,86.55,83.19,78.99,73.95,70.59,65.55,65.55,58.82,57.14,53.78,238
54,62.5,62.5,62.5,56.25,43.75,56.25,43.75,56.25,37.5,31.25,37.5,16
55,96.97,95.67,92.21,85.71,82.68,77.92,72.73,68.4,57.14,54.98,49.78,231
56,91.67,79.17,70.83,58.33,54.17,45.83,54.17,45.83,45.83,25.0,16.67,24
57,97.45,95.41,92.86,92.35,88.78,84.69,83.16,78.06,76.02,74.49,70.41,196
58,91.67,91.67,91.67,91.67,83.33,91.67,91.67,83.33,83.33,75.0,75.0,12
59,100.0,100.0,100.0,96.3,96.3,92.59,81.48,77.78,81.48,77.78,66.67,27
60,95.24,88.89,88.89,79.37,85.71,66.67,65.08,65.08,60.32,61.9,53.97,63
61,98.21,96.43,94.64,96.43,96.43,94.64,94.64,87.5,85.71,91.07,85.71,56
62,87.88,87.88,90.91,87.88,87.88,78.79,84.85,78.79,78.79,72.73,72.73,33
63,96.44,96.44,95.56,94.22,93.78,91.11,89.33,87.11,85.33,82.22,82.22,225
64,36.36,36.36,27.27,27.27,27.27,27.27,45.45,36.36,27.27,18.18,45.45,11
65,77.78,55.56,77.78,55.56,44.44,33.33,55.56,44.44,44.44,44.44,11.11,9
66,86.92,87.69,81.54,79.23,76.92,75.38,66.15,66.15,66.92,59.23,63.08,130
67,99.44,99.44,97.78,98.89,96.11,90.56,88.89,87.78,83.33,80.56,78.89,180
68,94.44,94.44,94.44,91.67,91.67,88.89,91.67,91.67,86.11,91.67,72.22,36
69,90.91,90.91,90.91,72.73,81.82,81.82,90.91,72.73,81.82,81.82,72.73,11
70,100.0,100.0,100.0,98.28,96.55,98.28,94.83,93.1,94.83,93.1,86.21,58
71,95.83,100.0,91.67,95.83,91.67,87.5,87.5,75.0,91.67,75.0,70.83,24
72,97.67,97.67,97.67,95.35,95.35,93.02,97.67,95.35,91.86,93.02,82.56,86
73,97.96,95.92,97.96,97.96,97.96,97.96,97.96,93.88,97.96,93.88,97.96,49
74,96.12,94.66,93.2,93.2,93.2,89.81,90.29,85.44,84.47,82.04,84.95,206
75,92.16,92.16,92.16,92.16,90.2,88.24,88.24,90.2,94.12,86.27,84.31,51
76,88.89,83.33,77.78,77.78,77.78,66.67,83.33,66.67,66.67,72.22,50.0,18
77,91.3,91.3,88.41,90.58,90.58,87.68,85.51,84.78,81.16,84.78,78.99,138
78,97.97,97.46,96.95,95.43,93.4,89.34,88.83,83.76,82.23,79.7,73.1,197
79,89.32,88.35,89.32,90.29,87.38,88.35,84.47,86.41,83.5,80.58,82.52,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,94.44,91.67,91.67,91.67,94.44,91.67,91.67,91.67,88.89,86.11,83.33,36
82,100.0,100.0,100.0,85.71,85.71,100.0,85.71,85.71,85.71,100.0,71.43,7
83,96.15,91.03,93.59,87.18,84.62,80.77,74.36,73.08,66.67,70.51,67.95,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,44.44,33.33,11.11,33.33,44.44,11.11,22.22,11.11,0.0,11.11,22.22,9
86,91.57,88.76,86.52,85.96,76.97,79.21,73.6,73.6,68.54,69.66,62.92,178
87,86.71,79.11,79.75,70.25,67.72,62.03,62.66,55.06,51.9,53.16,44.3,158
88,85.71,82.14,78.57,71.43,75.0,64.29,57.14,64.29,50.0,60.71,57.14,28
89,87.5,87.5,75.0,75.0,62.5,62.5,62.5,62.5,50.0,50.0,25.0,8
90,98.06,97.57,97.57,96.44,97.25,95.79,95.79,94.34,94.17,92.72,90.78,618
91,91.53,88.14,91.53,86.44,84.75,81.36,76.27,74.58,74.58,76.27,67.8,59
92,25.0,8.33,8.33,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,12
