epoch,validation_loss,validation_accuracy
1,1.903390884399414,0.5017074346542358
2,0.7511209845542908,0.8097609281539917
3,0.5056679844856262,0.8669607043266296
4,0.37185364961624146,0.9109277129173279
5,0.35258567333221436,0.9215993285179138
6,0.3101424276828766,0.936681866645813
7,0.3356763422489166,0.9379624128341675
8,0.40122470259666443,0.9383893013000488
9,0.4023796319961548,0.9410927891731262
10,0.42608365416526794,0.9396699070930481
11,0.3695390820503235,0.9486340284347534
12,0.48464396595954895,0.9409505128860474
13,0.40317869186401367,0.944365382194519
14,0.4755421578884125,0.9437962174415588
15,0.4610316753387451,0.9480648636817932
16,0.5308520197868347,0.9501991868019104
17,0.5548771023750305,0.9487763047218323
18,0.5779987573623657,0.9500569105148315
19,0.5955315828323364,0.9500569105148315
20,0.6131405830383301,0.9496300220489502
21,0.6253486275672913,0.9499146342277527
22,0.6414458751678467,0.9500569105148315
23,0.651942789554596,0.9500569105148315
24,0.6659905314445496,0.9497723579406738
25,0.6778669953346252,0.9501991868019104
26,0.6900805830955505,0.9504837989807129
