class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,91.06,91.06,90.24,90.24,88.62,82.93,76.42,69.11,44.72,8.94,0.0,123
1,93.18,86.36,90.91,84.09,84.09,56.82,43.18,27.27,20.45,0.0,0.0,44
2,81.48,74.07,70.37,66.67,62.96,61.11,51.85,27.78,3.7,0.0,0.0,54
3,52.38,52.38,42.86,42.86,38.1,42.86,28.57,14.29,4.76,0.0,0.0,21
4,66.67,66.67,55.56,55.56,44.44,33.33,22.22,0.0,0.0,0.0,0.0,9
5,100.0,71.43,71.43,71.43,28.57,28.57,0.0,0.0,0.0,0.0,0.0,7
6,86.67,81.67,86.67,81.67,80.0,68.33,56.67,46.67,25.0,0.0,0.0,60
7,80.0,60.0,60.0,42.5,32.5,20.0,10.0,12.5,0.0,0.0,0.0,40
8,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,3
10,76.92,69.23,61.54,46.15,53.85,46.15,46.15,23.08,7.69,0.0,0.0,13
11,95.56,88.89,88.89,84.44,82.22,77.78,57.78,37.78,11.11,2.22,0.0,45
12,89.8,83.67,74.49,64.29,68.37,52.04,44.9,27.55,15.31,4.08,0.0,98
13,50.0,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,95.57,89.87,91.77,85.44,81.01,78.48,57.59,43.67,22.15,4.43,0.0,158
16,91.58,90.11,89.01,90.11,86.81,85.35,78.02,70.7,45.42,13.55,0.0,273
17,82.69,86.54,84.62,80.77,80.77,73.08,53.85,36.54,15.38,9.62,0.0,52
18,100.0,40.0,40.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,5
19,90.57,89.62,83.96,85.85,77.36,71.7,58.49,33.02,10.38,1.89,0.0,106
20,95.67,95.67,93.94,94.81,89.18,86.58,80.52,69.26,34.63,10.82,0.0,231
21,94.62,89.25,87.1,82.8,75.27,72.04,61.29,48.39,16.13,3.23,0.0,93
22,78.46,80.0,80.0,78.46,80.0,75.38,72.31,67.69,41.54,0.0,0.0,65
23,95.69,94.77,92.31,90.77,88.62,81.85,75.38,56.62,30.77,4.92,0.0,325
24,70.0,50.0,50.0,35.0,40.0,15.0,15.0,5.0,5.0,0.0,0.0,20
25,85.71,71.43,66.67,76.19,52.38,47.62,42.86,23.81,9.52,0.0,0.0,21
26,86.36,86.36,86.36,81.82,81.82,81.82,72.73,27.27,18.18,0.0,0.0,22
27,5.88,5.88,5.88,5.88,11.76,11.76,11.76,11.76,11.76,0.0,0.0,17
28,96.09,95.31,95.7,96.88,93.36,93.36,92.97,89.45,75.0,58.59,5.47,256
29,92.98,73.68,68.42,56.14,45.61,40.35,24.56,19.3,1.75,1.75,0.0,57
30,96.75,95.59,95.59,95.59,94.66,93.5,92.11,90.95,84.69,64.04,1.62,431
31,91.11,93.89,93.33,90.0,88.89,91.11,86.11,85.0,77.22,53.33,5.56,180
32,97.47,96.07,96.63,96.07,94.94,93.82,91.85,87.36,80.62,63.48,5.06,356
33,77.78,50.0,50.0,38.89,33.33,22.22,16.67,0.0,0.0,5.56,0.0,18
34,100.0,100.0,95.24,100.0,95.24,90.48,80.95,71.43,42.86,4.76,0.0,21
35,91.43,85.71,88.57,88.57,82.86,85.71,80.0,71.43,40.0,25.71,0.0,35
36,99.35,98.05,97.4,96.1,96.1,92.21,92.21,84.42,78.57,59.09,0.0,154
37,96.4,97.12,95.68,94.24,94.24,90.65,90.65,84.89,71.94,52.52,3.6,139
38,66.67,55.56,66.67,55.56,66.67,55.56,44.44,22.22,0.0,0.0,0.0,9
39,84.85,72.73,75.76,66.67,69.7,69.7,54.55,42.42,15.15,6.06,0.0,33
40,78.72,78.72,78.72,70.21,72.34,48.94,59.57,44.68,25.53,6.38,2.13,47
41,93.81,93.81,91.75,91.75,90.72,87.63,89.69,67.01,40.21,10.31,0.0,97
42,94.87,89.74,91.03,87.18,83.33,85.9,80.77,73.08,56.41,16.67,0.0,78
43,100.0,94.44,92.59,94.44,88.89,85.19,77.78,50.0,38.89,12.96,0.0,54
44,57.14,57.14,57.14,57.14,57.14,57.14,28.57,14.29,0.0,0.0,0.0,7
45,98.87,97.36,96.98,96.6,94.72,91.32,86.04,75.47,58.49,21.13,0.0,265
46,96.86,94.9,94.51,92.94,91.37,85.1,77.65,59.22,36.08,9.41,0.0,255
47,70.37,70.37,66.67,59.26,51.85,44.44,14.81,11.11,7.41,0.0,0.0,27
48,89.51,89.81,90.12,88.27,84.57,85.19,78.7,72.22,54.32,24.07,0.0,324
49,89.29,87.5,85.71,91.07,78.57,73.21,67.86,50.0,28.57,8.93,1.79,56
50,96.14,89.86,87.68,85.51,80.43,76.09,69.32,58.7,44.2,22.22,2.17,414
51,97.53,91.77,88.07,88.89,80.25,77.37,66.26,54.73,40.33,13.17,0.0,243
52,95.45,92.77,92.77,91.32,90.7,83.68,79.34,70.45,51.03,24.17,0.0,484
53,86.97,81.51,79.83,74.79,71.85,60.5,41.6,27.73,14.29,3.36,0.0,238
54,50.0,43.75,62.5,43.75,31.25,43.75,31.25,12.5,12.5,6.25,0.0,16
55,91.77,86.58,79.65,78.79,71.86,61.9,51.95,32.03,19.05,2.16,0.0,231
56,75.0,70.83,70.83,66.67,54.17,33.33,29.17,29.17,8.33,4.17,0.0,24
57,93.37,87.76,87.24,82.14,77.04,74.49,58.16,38.27,22.96,7.14,0.0,196
58,83.33,83.33,75.0,75.0,75.0,66.67,33.33,33.33,0.0,0.0,0.0,12
59,100.0,100.0,92.59,96.3,77.78,59.26,51.85,25.93,18.52,7.41,11.11,27
60,87.3,80.95,76.19,74.6,71.43,52.38,55.56,34.92,11.11,3.17,0.0,63
61,100.0,94.64,92.86,92.86,89.29,85.71,82.14,67.86,35.71,17.86,3.57,56
62,81.82,72.73,69.7,60.61,51.52,57.58,39.39,12.12,9.09,0.0,0.0,33
63,97.33,94.67,94.67,92.0,95.56,91.11,88.0,87.11,78.67,65.33,2.22,225
64,63.64,54.55,36.36,27.27,36.36,9.09,9.09,0.0,0.0,0.0,0.0,11
65,100.0,55.56,55.56,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,9
66,78.46,78.46,77.69,80.0,77.69,74.62,75.38,76.92,67.69,57.69,13.85,130
67,100.0,97.78,95.56,95.56,92.22,87.22,76.11,66.11,36.67,11.67,0.0,180
68,86.11,83.33,72.22,75.0,72.22,61.11,44.44,27.78,19.44,2.78,0.0,36
69,81.82,81.82,72.73,72.73,72.73,72.73,63.64,45.45,9.09,0.0,0.0,11
70,100.0,100.0,98.28,98.28,93.1,94.83,87.93,79.31,48.28,12.07,1.72,58
71,95.83,95.83,87.5,83.33,79.17,70.83,58.33,20.83,8.33,0.0,0.0,24
72,95.35,96.51,93.02,90.7,86.05,86.05,79.07,62.79,31.4,1.16,0.0,86
73,95.92,91.84,93.88,91.84,89.8,85.71,83.67,69.39,53.06,8.16,0.0,49
74,96.6,94.66,95.63,93.69,93.2,93.69,89.32,81.55,72.33,50.49,3.88,206
75,96.08,98.04,96.08,94.12,88.24,82.35,76.47,74.51,66.67,31.37,0.0,51
76,88.89,77.78,55.56,50.0,44.44,55.56,27.78,38.89,16.67,0.0,0.0,18
77,86.23,78.26,76.09,76.81,70.29,69.57,57.25,54.35,28.99,3.62,0.0,138
78,97.46,95.94,94.42,92.39,87.82,79.7,76.14,58.88,34.01,5.58,0.0,197
79,98.06,95.15,95.15,93.2,94.17,85.44,80.58,68.93,35.92,9.71,0.0,103
80,100.0,100.0,100.0,100.0,100.0,100.0,66.67,33.33,0.0,0.0,0.0,3
81,88.89,86.11,88.89,77.78,77.78,55.56,50.0,19.44,8.33,0.0,0.0,36
82,100.0,42.86,57.14,71.43,42.86,28.57,28.57,14.29,0.0,0.0,0.0,7
83,97.44,96.15,94.87,96.15,92.31,91.03,78.21,64.1,42.31,20.51,5.13,78
84,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
86,91.01,92.7,91.01,87.64,88.2,85.39,75.84,71.35,47.19,25.84,5.06,178
87,89.24,81.65,74.68,66.46,55.7,53.8,41.77,22.15,9.49,1.27,0.0,158
88,67.86,71.43,67.86,67.86,67.86,57.14,53.57,35.71,32.14,7.14,0.0,28
