category,images,Original_model_42_noiselevelfog,fog1_model_42_noiselevelfog,fog2_model_42_noiselevelfog,fog3_model_42_noiselevelfog,fog4_model_42_noiselevelfog,fog5_model_42_noiselevelfog,fog6_model_42_noiselevelfog,fog7_model_42_noiselevelfog,fog8_model_42_noiselevelfog,fog9_model_42_noiselevelfog,fog10_model_42_noiselevelfog
Dangerous warning,2228,90.52959605026929,87.25246858168761,85.68204667863554,83.34952423698385,79.7582091561939,74.73145421903051,66.20184919210054,53.815915619389585,31.642432675044873,11.757912926391382,0.6285098743267504
Regularoty,7545,92.94854738237242,90.23239363817098,88.90632736911864,87.19677932405567,84.41294764744862,80.42510934393637,74.23413783962889,64.59871438038437,49.95348575215374,29.02512789927104,4.029232604373758
