class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,95.93,95.93,96.75,95.93,94.31,95.12,95.12,95.93,95.93,93.5,92.68,123
1,95.45,95.45,95.45,95.45,93.18,95.45,95.45,90.91,93.18,95.45,90.91,44
2,85.19,83.33,79.63,81.48,79.63,79.63,83.33,81.48,77.78,77.78,79.63,54
3,57.14,66.67,66.67,57.14,57.14,61.9,71.43,66.67,76.19,66.67,66.67,21
4,88.89,77.78,88.89,88.89,88.89,77.78,66.67,77.78,88.89,77.78,55.56,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,86.67,86.67,90.0,88.33,91.67,88.33,86.67,90.0,88.33,85.0,88.33,60
7,80.0,77.5,82.5,77.5,72.5,67.5,70.0,57.5,75.0,67.5,57.5,40
8,33.33,33.33,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,92.31,84.62,84.62,84.62,92.31,84.62,84.62,92.31,76.92,69.23,84.62,13
11,88.89,88.89,88.89,91.11,91.11,86.67,88.89,91.11,88.89,88.89,88.89,45
12,92.86,91.84,91.84,89.8,91.84,88.78,84.69,88.78,87.76,86.73,86.73,98
13,75.0,100.0,75.0,100.0,75.0,75.0,50.0,75.0,50.0,75.0,50.0,4
14,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,66.67,33.33,33.33,3
15,91.77,89.87,89.24,88.61,89.87,90.51,89.24,86.71,89.87,89.24,86.71,158
16,93.41,93.77,93.04,93.41,91.58,93.04,92.67,92.67,91.58,91.58,91.94,273
17,82.69,82.69,82.69,84.62,84.62,82.69,84.62,84.62,86.54,84.62,80.77,52
18,60.0,60.0,60.0,20.0,60.0,20.0,40.0,40.0,20.0,60.0,40.0,5
19,89.62,92.45,90.57,89.62,91.51,90.57,91.51,91.51,88.68,95.28,91.51,106
20,98.27,96.54,97.4,97.4,96.54,96.97,97.84,96.1,95.67,96.97,95.67,231
21,92.47,92.47,92.47,93.55,94.62,93.55,96.77,94.62,93.55,96.77,94.62,93
22,83.08,83.08,83.08,83.08,83.08,83.08,81.54,83.08,83.08,81.54,81.54,65
