class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,98.37,98.37,97.56,96.75,96.75,93.5,95.12,91.06,90.24,90.24,89.43,123
1,90.91,90.91,88.64,86.36,81.82,86.36,75.0,79.55,65.91,79.55,72.73,44
2,88.89,90.74,85.19,83.33,88.89,83.33,92.59,81.48,77.78,81.48,74.07,54
3,76.19,71.43,61.9,57.14,71.43,52.38,57.14,61.9,61.9,61.9,47.62,21
4,77.78,77.78,77.78,77.78,88.89,77.78,77.78,88.89,66.67,66.67,66.67,9
5,100.0,100.0,100.0,100.0,85.71,100.0,85.71,85.71,71.43,85.71,71.43,7
6,91.67,91.67,88.33,93.33,88.33,86.67,83.33,80.0,76.67,66.67,71.67,60
7,80.0,70.0,60.0,50.0,42.5,52.5,32.5,37.5,32.5,20.0,25.0,40
8,33.33,66.67,66.67,33.33,0.0,33.33,0.0,0.0,33.33,0.0,0.0,3
9,66.67,100.0,66.67,100.0,100.0,66.67,100.0,100.0,100.0,33.33,100.0,3
10,92.31,76.92,76.92,84.62,84.62,76.92,76.92,69.23,61.54,69.23,69.23,13
11,95.56,97.78,95.56,93.33,93.33,91.11,88.89,91.11,84.44,84.44,77.78,45
12,92.86,92.86,91.84,88.78,82.65,83.67,87.76,76.53,77.55,75.51,75.51,98
13,75.0,75.0,50.0,50.0,50.0,25.0,50.0,25.0,75.0,25.0,25.0,4
14,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.33,33.33,3
15,93.04,92.41,93.04,93.04,91.14,91.77,93.04,84.81,82.91,78.48,79.11,158
16,92.67,93.04,90.48,92.31,89.74,90.48,85.35,82.42,84.62,82.78,81.32,273
17,92.31,90.38,92.31,92.31,86.54,84.62,84.62,84.62,88.46,88.46,82.69,52
18,40.0,20.0,40.0,40.0,20.0,40.0,40.0,20.0,20.0,0.0,20.0,5
19,95.28,95.28,90.57,89.62,84.91,81.13,78.3,77.36,75.47,69.81,65.09,106
20,96.97,97.4,96.97,94.37,94.81,93.51,92.21,90.48,91.77,88.74,90.91,231
21,91.4,89.25,81.72,86.02,80.65,82.8,81.72,74.19,72.04,72.04,70.97,93
22,81.54,80.0,80.0,78.46,83.08,78.46,78.46,83.08,80.0,80.0,80.0,65
23,97.54,97.23,97.23,95.38,94.77,95.69,89.54,92.31,89.85,89.23,88.31,325
24,80.0,85.0,80.0,75.0,70.0,85.0,60.0,50.0,70.0,60.0,60.0,20
25,85.71,85.71,85.71,80.95,80.95,80.95,76.19,80.95,66.67,71.43,57.14,21
26,95.45,95.45,95.45,90.91,95.45,90.91,86.36,90.91,81.82,72.73,72.73,22
27,11.76,11.76,17.65,17.65,11.76,17.65,5.88,11.76,17.65,17.65,5.88,17
28,99.22,98.05,95.31,93.75,91.41,85.55,82.42,80.47,79.3,73.83,73.05,256
29,89.47,78.95,82.46,71.93,70.18,73.68,63.16,63.16,61.4,50.88,52.63,57
30,99.07,98.61,98.61,98.38,96.52,94.43,94.9,93.97,93.5,91.18,89.56,431
31,94.44,94.44,92.78,93.33,90.56,88.33,84.44,87.22,88.89,82.22,84.44,180
32,97.75,96.63,95.51,94.1,92.13,88.76,87.36,83.99,82.3,80.34,78.09,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,77.78,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,95.24,85.71,21
35,97.14,94.29,85.71,88.57,85.71,77.14,57.14,60.0,68.57,60.0,40.0,35
36,100.0,100.0,100.0,98.05,96.75,98.05,98.05,95.45,91.56,92.86,87.66,154
37,91.37,89.93,88.49,85.61,79.14,76.98,70.5,66.19,63.31,55.4,58.99,139
38,100.0,100.0,100.0,77.78,88.89,88.89,88.89,77.78,88.89,100.0,77.78,9
39,81.82,81.82,81.82,75.76,81.82,78.79,72.73,75.76,72.73,63.64,69.7,33
40,97.87,97.87,97.87,89.36,93.62,95.74,87.23,85.11,85.11,82.98,76.6,47
41,97.94,96.91,95.88,95.88,97.94,95.88,92.78,94.85,88.66,89.69,88.66,97
42,96.15,93.59,96.15,93.59,93.59,94.87,92.31,93.59,87.18,88.46,85.9,78
43,98.15,98.15,94.44,90.74,92.59,87.04,90.74,81.48,79.63,85.19,81.48,54
44,71.43,71.43,71.43,71.43,71.43,57.14,71.43,85.71,85.71,85.71,57.14,7
