filter,ideal_52,ideal_49,ideal_42,noise_52,noise_49,noise_42
Original,93.56365701422287,94.22870050138134,94.60792387189196,92.70472219379924,92.77609331832602,92.8476915993042
fognight,37.16326818786453,40.5912063849381,41.583527064361,76.47557863501484,74.45917630205669,74.39825949043282
fogsnow,42.93430062416863,45.88125243016475,46.955875370919884,78.8797544254579,77.69309219277602,79.30979126163919
fograin,43.28244039701218,45.75757597462396,46.443752174357925,79.1773989563082,77.93875268597155,79.12664790750026
rainnight,88.03859920188276,89.42075718817148,88.78580476823902,90.56523790033768,90.27863501483681,90.23816739997955
snownight,87.74156246802414,89.82923257955589,89.05223575156043,90.402159009516,90.02287731505166,90.58567788805894
