filter,noise_52,noise_49,noise_42,baseline_52,baseline_49,baseline_42,norm_52,norm_49,norm_42,homo_52,homo_49,homo_42
Original,88.37624475596031,87.82410723421671,87.71019236672467,89.53250281387497,87.26087895221528,90.58640642586718,93.97303182236776,94.50512841502099,94.64814795866162,91.5994495037348,92.7766714417272,91.94733244653638
fog,68.70915481428426,73.57113782871176,74.39847027524813,37.17456052389235,44.254304717077666,45.400947508441625,50.04668781336334,54.26116238616597,52.27634707868618,39.976856645861034,35.55770490125857,41.512032129335914
night,79.49455540775605,81.99045840581192,80.70185715747468,75.08468433439067,72.2204686380845,79.83215696306148,90.81135475289061,91.67099866980456,91.83490739793307,81.73494730379618,84.93839660288549,80.01567481837716
rain,80.92718714826563,81.98032129335925,83.36211091783485,79.59739690985367,81.11184999488387,82.00134656707255,87.48579965210274,88.60183055356595,88.08932569323647,87.63922132405607,89.57388007776527,88.61102015757699
snow,60.89200859510897,62.140843139261214,67.98297247518673,62.069109792284884,65.69069374808144,62.9595282922337,67.50254783587435,70.009126163921,64.06439476107644,79.11662948940959,83.9865200040929,79.24895323851426
day,88.16177529929398,87.92612708482554,87.61806098434462,89.25665302363656,87.38412053617108,90.53529110815515,93.93238104983116,94.59674716054435,94.63855520311061,90.53485930625193,92.17263174050957,90.95450629284764
