class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,94.31,82.93,65.04,81.3,83.74,64.23,123
1,86.36,72.73,56.82,65.91,70.45,45.45,44
2,83.33,44.44,37.04,55.56,62.96,27.78,54
3,66.67,47.62,28.57,52.38,33.33,19.05,21
4,44.44,22.22,33.33,22.22,66.67,22.22,9
5,85.71,0.0,0.0,28.57,71.43,28.57,7
6,86.67,60.0,48.33,61.67,61.67,26.67,60
7,82.5,17.5,22.5,40.0,45.0,10.0,40
8,0.0,0.0,0.0,33.33,0.0,0.0,3
9,66.67,33.33,33.33,33.33,33.33,0.0,3
10,76.92,53.85,30.77,38.46,84.62,30.77,13
11,95.56,48.89,40.0,44.44,55.56,22.22,45
12,91.84,59.18,59.18,66.33,65.31,43.88,98
13,25.0,0.0,25.0,50.0,25.0,0.0,4
14,33.33,33.33,0.0,33.33,0.0,33.33,3
15,86.71,80.38,56.33,73.42,76.58,62.66,158
16,95.24,81.68,71.43,78.75,84.25,68.86,273
17,86.54,48.08,50.0,53.85,61.54,30.77,52
18,20.0,0.0,0.0,0.0,0.0,0.0,5
19,94.34,66.98,47.17,71.7,68.87,45.28,106
20,97.84,75.32,72.73,84.42,86.58,61.47,231
21,93.55,49.46,60.22,67.74,65.59,46.24,93
22,81.54,80.0,72.31,78.46,80.0,69.23,65
23,96.0,84.31,80.31,85.23,83.69,67.69,325
24,75.0,35.0,35.0,25.0,55.0,30.0,20
25,80.95,42.86,38.1,33.33,47.62,19.05,21
26,90.91,59.09,40.91,77.27,59.09,50.0,22
27,5.88,0.0,0.0,0.0,0.0,5.88,17
28,98.44,63.67,62.5,74.22,72.27,54.69,256
29,92.98,38.6,31.58,45.61,38.6,24.56,57
30,96.98,91.42,91.18,93.97,91.65,83.53,431
31,90.0,76.11,72.78,86.11,81.11,57.78,180
32,97.19,74.16,83.71,89.04,76.97,56.74,356
33,83.33,50.0,77.78,66.67,66.67,66.67,18
34,100.0,85.71,90.48,85.71,85.71,47.62,21
35,91.43,34.29,51.43,65.71,60.0,20.0,35
36,99.35,84.42,85.71,90.26,90.26,72.73,154
37,94.96,38.85,40.29,60.43,48.92,33.09,139
38,66.67,44.44,55.56,55.56,66.67,11.11,9
39,84.85,54.55,57.58,66.67,69.7,54.55,33
40,97.87,65.96,53.19,61.7,70.21,38.3,47
41,93.81,85.57,80.41,81.44,83.51,60.82,97
42,97.44,82.05,70.51,71.79,82.05,69.23,78
43,98.15,68.52,64.81,77.78,75.93,55.56,54
44,71.43,57.14,42.86,42.86,71.43,42.86,7
45,99.25,90.57,85.66,93.58,93.58,75.09,265
46,96.86,80.0,81.96,91.76,84.31,65.88,255
47,70.37,33.33,14.81,14.81,37.04,11.11,27
48,94.14,69.44,63.89,73.46,75.31,45.68,324
49,92.86,60.71,50.0,53.57,66.07,46.43,56
50,95.17,75.6,62.56,71.98,76.33,57.0,414
51,95.06,64.2,60.49,62.96,73.66,46.5,243
52,95.04,80.79,72.73,80.17,81.61,64.67,484
53,87.82,40.34,44.12,55.88,54.2,26.47,238
54,56.25,12.5,31.25,18.75,37.5,6.25,16
55,94.37,63.64,42.42,52.81,66.23,42.86,231
56,83.33,8.33,12.5,25.0,29.17,8.33,24
57,93.37,54.08,50.51,64.8,69.39,42.35,196
58,58.33,8.33,0.0,25.0,41.67,25.0,12
59,96.3,29.63,44.44,44.44,59.26,25.93,27
60,93.65,65.08,58.73,66.67,65.08,49.21,63
61,98.21,58.93,50.0,73.21,75.0,50.0,56
62,81.82,51.52,42.42,63.64,69.7,57.58,33
63,96.89,24.89,79.56,79.56,48.0,35.56,225
64,72.73,0.0,36.36,9.09,36.36,9.09,11
65,44.44,33.33,22.22,11.11,55.56,33.33,9
66,86.92,37.69,65.38,68.46,43.85,31.54,130
67,99.44,67.22,84.44,91.11,82.78,66.67,180
68,86.11,61.11,58.33,72.22,75.0,41.67,36
69,72.73,63.64,63.64,45.45,63.64,45.45,11
70,98.28,75.86,81.03,86.21,87.93,56.9,58
71,100.0,41.67,41.67,66.67,54.17,37.5,24
72,97.67,55.81,77.91,86.05,82.56,54.65,86
73,93.88,63.27,81.63,93.88,83.67,75.51,49
74,97.57,59.22,70.39,80.58,77.18,55.83,206
75,96.08,76.47,76.47,76.47,78.43,70.59,51
76,88.89,33.33,44.44,50.0,66.67,44.44,18
77,89.13,50.72,68.12,76.09,63.77,52.9,138
78,98.48,54.31,73.1,79.19,77.16,54.82,197
79,94.17,77.67,68.93,72.82,78.64,65.05,103
80,100.0,0.0,33.33,33.33,66.67,0.0,3
81,86.11,55.56,66.67,66.67,69.44,44.44,36
82,85.71,0.0,42.86,85.71,42.86,14.29,7
83,97.44,37.18,67.95,71.79,61.54,42.31,78
84,0.0,0.0,0.0,25.0,0.0,0.0,4
85,44.44,22.22,11.11,0.0,11.11,0.0,9
86,91.01,42.13,68.54,76.97,61.24,31.46,178
87,95.57,36.71,57.59,58.23,67.09,60.76,158
88,78.57,32.14,32.14,50.0,53.57,21.43,28
89,12.5,0.0,0.0,0.0,0.0,0.0,8
90,97.73,74.76,89.16,95.47,82.36,60.03,618
91,86.44,42.37,61.02,61.02,59.32,37.29,59
92,0.0,0.0,0.0,0.0,0.0,0.0,12
93,46.55,8.62,13.79,15.52,6.9,1.72,58
94,33.33,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,0.0,14.29,0.0,0.0,14.29,7
97,84.13,60.32,61.9,79.37,66.67,55.56,63
98,33.33,0.0,0.0,0.0,0.0,0.0,3
99,100.0,63.16,42.11,68.42,68.42,36.84,19
100,0.0,16.67,0.0,0.0,16.67,16.67,6
101,100.0,60.0,40.0,80.0,60.0,40.0,5
102,96.0,48.0,24.0,44.0,72.0,60.0,25
