category,images,Original_model_42_noise,fognight_model_42_noise,fogsnow_model_42_noise,fograin_model_42_noise,rainnight_model_42_noise,snownight_model_42_noise
Dangerous warning,2228,89.81210951526033,72.62106373429084,59.9192908438061,70.55656193895871,72.30708258527828,47.48676391382405
Regularoty,7545,92.96217760106029,75.4013465871438,68.87994831013916,76.9645407554672,76.68599337309476,53.239802518223996
