filter,ideal_42,idealnoise_42
Original,95.07829632661414,93.16563184283227
fog,44.18295508032333,78.35908114192162
night,89.16363961935946,89.84945155018927
rain,93.02163511715952,92.30492990893276
snow,84.67215900951601,88.82613015450731
day,94.43314028445718,92.9089399365599
