filter,ideal_42,idealnoise_42
Original,94.63953545482453,92.81653637572906
fog,45.953460554589185,78.56339711449912
night,88.48903611992223,89.7773396091272
rain,93.25694566663257,92.25407653739896
snow,85.54232067942289,88.80549063747058
day,94.3721917527883,92.65252430164739
