class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,95.12,95.12,96.75,95.93,95.93,95.93,95.93,95.93,94.31,95.12,95.12,123
1,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,44
2,90.74,90.74,90.74,88.89,88.89,92.59,90.74,90.74,90.74,87.04,87.04,54
3,76.19,80.95,71.43,71.43,76.19,76.19,76.19,76.19,76.19,76.19,71.43,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,77.78,77.78,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,90.0,90.0,88.33,88.33,88.33,88.33,88.33,88.33,88.33,88.33,88.33,60
7,87.5,90.0,87.5,87.5,87.5,87.5,85.0,85.0,92.5,90.0,85.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,92.31,92.31,92.31,92.31,92.31,100.0,92.31,100.0,100.0,100.0,92.31,13
11,86.67,88.89,88.89,86.67,86.67,86.67,84.44,86.67,82.22,82.22,80.0,45
12,95.92,95.92,95.92,94.9,94.9,95.92,95.92,96.94,96.94,93.88,93.88,98
13,50.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,50.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,95.57,95.57,95.57,94.94,94.94,94.94,95.57,95.57,95.57,94.94,93.04,158
16,92.31,90.84,90.84,91.58,90.84,90.84,90.84,90.84,90.48,89.74,89.38,273
17,88.46,86.54,84.62,84.62,84.62,84.62,82.69,80.77,80.77,82.69,82.69,52
18,60.0,40.0,60.0,60.0,80.0,100.0,100.0,80.0,100.0,80.0,80.0,5
19,95.28,95.28,95.28,95.28,96.23,96.23,96.23,96.23,95.28,97.17,95.28,106
20,97.84,97.4,97.4,96.97,96.97,96.97,96.54,96.1,96.1,95.67,95.67,231
21,92.47,92.47,92.47,92.47,91.4,91.4,92.47,92.47,92.47,92.47,89.25,93
22,81.54,81.54,81.54,81.54,81.54,81.54,80.0,80.0,80.0,80.0,78.46,65
23,98.15,98.77,98.46,98.46,98.46,98.46,98.15,98.46,98.77,97.85,97.54,325
24,80.0,90.0,85.0,85.0,85.0,85.0,90.0,95.0,95.0,95.0,95.0,20
25,95.24,95.24,95.24,95.24,95.24,95.24,95.24,95.24,90.48,95.24,95.24,21
26,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,90.91,90.91,86.36,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.48,97.27,97.27,97.66,97.27,96.88,96.48,96.88,96.48,96.88,94.53,256
29,89.47,89.47,85.96,89.47,91.23,89.47,87.72,85.96,89.47,85.96,78.95,57
30,97.45,97.22,96.98,96.75,96.98,96.75,96.75,96.75,97.22,97.22,96.75,431
31,95.0,94.44,94.44,94.44,93.89,94.44,93.89,93.33,92.22,91.67,91.67,180
32,97.47,97.75,97.47,97.19,97.19,97.19,96.63,96.35,95.22,93.26,92.13,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,72.22,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,100.0,100.0,100.0,100.0,100.0,97.14,97.14,100.0,97.14,97.14,94.29,35
36,100.0,100.0,100.0,99.35,99.35,99.35,99.35,99.35,98.05,98.7,98.05,154
37,95.68,94.24,94.24,94.96,94.96,94.24,94.24,94.24,94.24,94.24,94.24,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,88.89,9
39,93.94,93.94,93.94,93.94,90.91,90.91,93.94,93.94,90.91,87.88,87.88,33
40,93.62,91.49,91.49,91.49,93.62,91.49,91.49,89.36,91.49,91.49,87.23,47
41,97.94,97.94,97.94,97.94,97.94,97.94,97.94,96.91,96.91,97.94,97.94,97
42,93.59,93.59,92.31,92.31,91.03,91.03,91.03,91.03,91.03,91.03,89.74,78
43,92.59,92.59,94.44,94.44,94.44,94.44,92.59,94.44,92.59,92.59,90.74,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,85.71,7
45,98.87,98.87,98.87,98.49,98.49,98.49,98.11,98.49,98.11,97.74,98.11,265
46,97.25,96.86,97.65,97.65,97.65,97.25,97.25,97.65,97.25,97.25,98.43,255
47,77.78,74.07,70.37,74.07,74.07,74.07,70.37,70.37,70.37,70.37,70.37,27
48,94.14,93.52,93.52,92.9,92.9,92.9,91.67,91.05,91.98,91.98,91.36,324
49,96.43,92.86,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,92.86,56
50,95.89,96.14,96.14,96.38,96.14,96.38,95.65,95.89,95.65,94.93,94.2,414
51,97.94,98.35,97.94,97.53,97.94,97.94,98.35,98.77,97.94,97.53,96.3,243
52,98.55,98.76,98.76,98.55,98.55,98.35,98.35,97.73,97.73,96.9,95.87,484
53,90.34,92.02,91.18,91.18,91.18,91.18,91.6,89.92,91.18,90.76,87.82,238
54,56.25,62.5,62.5,56.25,62.5,56.25,62.5,62.5,50.0,37.5,43.75,16
55,97.84,96.97,97.4,96.54,96.54,96.1,96.1,95.67,94.37,95.67,92.64,231
56,83.33,70.83,70.83,70.83,66.67,62.5,54.17,45.83,45.83,45.83,45.83,24
57,95.92,96.94,96.43,96.43,96.43,95.41,95.41,95.92,96.43,95.41,94.9,196
58,91.67,91.67,83.33,91.67,91.67,91.67,91.67,91.67,83.33,100.0,100.0,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,93.65,92.06,90.48,93.65,95.24,90.48,90.48,95.24,88.89,87.3,92.06,63
61,91.07,92.86,92.86,92.86,94.64,94.64,92.86,92.86,92.86,94.64,91.07,56
62,93.94,93.94,87.88,93.94,93.94,93.94,93.94,96.97,93.94,93.94,93.94,33
63,94.22,92.0,88.44,87.56,85.33,82.22,77.33,71.11,56.44,43.11,41.33,225
