class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,59.35,39.84,60.16,81.3,43.09,123
1,86.36,29.55,25.0,36.36,65.91,34.09,44
2,83.33,46.3,22.22,40.74,57.41,18.52,54
3,76.19,23.81,23.81,19.05,47.62,4.76,21
4,88.89,11.11,22.22,33.33,66.67,11.11,9
5,100.0,42.86,0.0,0.0,71.43,57.14,7
6,90.0,41.67,18.33,38.33,60.0,13.33,60
7,92.5,7.5,2.5,7.5,30.0,20.0,40
8,33.33,0.0,0.0,0.0,66.67,0.0,3
9,100.0,66.67,33.33,0.0,33.33,33.33,3
10,84.62,30.77,15.38,38.46,76.92,30.77,13
11,97.78,44.44,26.67,55.56,51.11,6.67,45
12,93.88,50.0,40.82,51.02,74.49,35.71,98
13,75.0,25.0,0.0,0.0,50.0,0.0,4
14,33.33,33.33,0.0,0.0,33.33,0.0,3
15,88.61,34.18,41.77,45.57,65.19,36.71,158
16,94.87,64.84,53.85,64.1,75.09,44.32,273
17,88.46,25.0,21.15,26.92,51.92,26.92,52
18,60.0,40.0,0.0,20.0,60.0,20.0,5
19,95.28,34.91,18.87,32.08,67.92,19.81,106
20,98.7,58.87,49.35,58.01,77.92,47.19,231
21,93.55,27.96,25.81,34.41,65.59,26.88,93
22,83.08,72.31,69.23,72.31,76.92,52.31,65
23,97.54,67.69,52.31,68.0,81.54,40.31,325
24,70.0,35.0,10.0,25.0,40.0,5.0,20
25,95.24,28.57,9.52,28.57,52.38,14.29,21
26,90.91,31.82,4.55,18.18,68.18,36.36,22
27,11.76,5.88,5.88,0.0,11.76,0.0,17
28,98.05,39.45,37.11,42.58,59.77,19.92,256
29,82.46,12.28,5.26,22.81,42.11,12.28,57
30,98.61,82.83,73.55,80.05,83.29,58.93,431
31,94.44,57.22,32.78,53.33,74.44,30.56,180
32,98.6,44.66,38.48,49.44,62.92,25.0,356
33,77.78,27.78,33.33,22.22,38.89,33.33,18
34,100.0,47.62,33.33,57.14,85.71,19.05,21
35,100.0,17.14,2.86,40.0,51.43,8.57,35
36,98.7,58.44,49.35,59.09,73.38,31.82,154
