category,images,Original_model_42_ideal,fognight_model_42_ideal,fogsnow_model_42_ideal,fograin_model_42_ideal,rainnight_model_42_ideal,snownight_model_42_ideal
Dangerous warning,2228,92.81926840215439,47.84581687612208,38.01705565529622,49.012697486535004,68.2225987432675,32.63013016157989
Regularoty,7545,95.17705102717032,40.211679257786614,36.287903247183564,45.97787806494368,64.5461047051027,28.919713717693835
