class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,95.12,95.12,91.06,52.85,50.41,52.85,95.93,92.68,91.87,93.5,93.5,89.43,71.54,76.42,62.6,95.12,94.31,91.87,123
1,84.09,86.36,79.55,22.73,40.91,34.09,84.09,90.91,79.55,65.91,68.18,65.91,56.82,54.55,45.45,84.09,86.36,79.55,44
2,87.04,96.3,87.04,20.37,35.19,46.3,77.78,94.44,81.48,85.19,96.3,85.19,61.11,72.22,72.22,87.04,96.3,87.04,54
3,61.9,57.14,66.67,14.29,28.57,19.05,57.14,61.9,61.9,57.14,66.67,52.38,28.57,33.33,38.1,61.9,57.14,66.67,21
4,66.67,66.67,88.89,0.0,0.0,11.11,66.67,66.67,88.89,66.67,66.67,77.78,88.89,77.78,66.67,66.67,66.67,88.89,9
5,100.0,85.71,28.57,14.29,0.0,0.0,100.0,71.43,28.57,85.71,71.43,28.57,71.43,71.43,14.29,100.0,71.43,28.57,7
6,75.0,83.33,91.67,35.0,41.67,51.67,76.67,75.0,88.33,73.33,80.0,90.0,65.0,75.0,75.0,75.0,83.33,91.67,60
7,57.5,67.5,40.0,0.0,5.0,2.5,25.0,62.5,27.5,32.5,47.5,20.0,15.0,22.5,7.5,55.0,67.5,37.5,40
8,66.67,100.0,100.0,0.0,0.0,0.0,66.67,100.0,100.0,66.67,66.67,33.33,33.33,0.0,0.0,66.67,100.0,66.67,3
9,66.67,66.67,66.67,66.67,0.0,0.0,66.67,66.67,66.67,66.67,66.67,100.0,33.33,66.67,100.0,66.67,66.67,66.67,3
10,92.31,84.62,84.62,38.46,76.92,46.15,100.0,100.0,84.62,84.62,84.62,84.62,76.92,84.62,69.23,92.31,84.62,84.62,13
11,88.89,77.78,88.89,17.78,22.22,20.0,57.78,66.67,77.78,84.44,77.78,84.44,71.11,71.11,44.44,88.89,80.0,88.89,45
12,83.67,93.88,83.67,7.14,26.53,33.67,77.55,90.82,79.59,61.22,68.37,70.41,41.84,58.16,47.96,82.65,93.88,83.67,98
13,75.0,25.0,25.0,0.0,0.0,25.0,25.0,50.0,25.0,75.0,25.0,25.0,25.0,25.0,25.0,75.0,25.0,25.0,4
14,33.33,33.33,33.33,0.0,0.0,0.0,33.33,33.33,0.0,33.33,0.0,33.33,33.33,0.0,0.0,33.33,33.33,33.33,3
15,95.57,87.34,89.87,24.05,23.42,20.25,87.97,87.34,86.71,93.04,86.71,83.54,67.09,73.42,66.46,95.57,86.08,87.97,158
16,90.11,92.31,92.31,47.62,52.01,47.25,88.64,93.04,83.15,87.55,89.38,89.74,75.46,77.66,71.43,89.74,91.58,91.58,273
17,73.08,86.54,78.85,21.15,30.77,26.92,61.54,78.85,69.23,73.08,88.46,69.23,53.85,73.08,59.62,75.0,86.54,78.85,52
18,100.0,100.0,80.0,40.0,80.0,60.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,60.0,100.0,100.0,80.0,5
19,82.08,83.96,84.91,4.72,4.72,27.36,66.04,80.19,84.91,46.23,58.49,67.92,30.19,39.62,38.68,81.13,83.02,86.79,106
20,94.81,95.67,96.1,50.22,70.13,74.03,92.64,93.94,95.24,91.34,95.24,95.24,84.85,84.85,82.68,94.37,95.67,96.1,231
21,92.47,92.47,89.25,10.75,12.9,26.88,90.32,76.34,91.4,84.95,84.95,83.87,72.04,64.52,55.91,92.47,92.47,89.25,93
22,81.54,80.0,83.08,52.31,64.62,63.08,80.0,80.0,86.15,73.85,80.0,83.08,75.38,72.31,70.77,81.54,80.0,83.08,65
23,95.08,98.15,94.77,40.0,60.62,52.92,93.23,97.23,94.46,88.62,95.38,92.62,83.38,83.08,80.92,94.77,98.15,94.15,325
24,55.0,50.0,70.0,0.0,5.0,20.0,65.0,45.0,65.0,40.0,40.0,50.0,35.0,30.0,40.0,55.0,50.0,70.0,20
25,90.48,80.95,80.95,23.81,42.86,38.1,76.19,71.43,80.95,85.71,66.67,76.19,71.43,80.95,57.14,76.19,80.95,80.95,21
