class,filters,error
21,fog,26.88
90,fog,69.09
52,fog,24.59
32,fog,76.69
23,fog,52.92
51,fog,12.76
74,fog,32.04
15,fog,20.25
66,fog,3.08
30,fog,70.77
28,fog,46.88
48,fog,49.38
12,fog,33.67
57,fog,9.18
78,fog,24.87
43,fog,51.85
63,fog,19.11
87,fog,20.25
20,fog,74.03
97,fog,33.33
67,fog,40.56
50,fog,44.93
16,fog,47.25
77,fog,14.49
17,fog,26.92
45,fog,63.4
55,fog,21.65
2,fog,46.3
75,fog,50.98
36,fog,68.83
40,fog,53.19
79,fog,34.95
93,fog,12.07
83,fog,35.9
46,fog,10.2
39,fog,27.27
7,fog,2.5
37,fog,55.4
96,fog,0.0
0,fog,52.85
53,fog,28.57
60,fog,12.7
81,fog,5.56
49,fog,30.36
91,fog,54.24
29,fog,12.28
61,fog,46.43
1,fog,34.09
86,fog,5.62
19,fog,27.36
68,fog,13.89
25,fog,38.1
41,fog,37.11
35,fog,25.71
6,fog,51.67
76,fog,38.89
70,fog,46.55
31,fog,34.44
88,fog,25.0
89,fog,12.5
62,fog,12.12
26,fog,27.27
69,fog,36.36
59,fog,40.74
47,fog,18.52
5,fog,0.0
34,fog,57.14
73,fog,57.14
3,fog,19.05
27,fog,0.0
11,fog,20.0
99,fog,26.32
22,fog,63.08
56,fog,12.5
42,fog,55.13
4,fog,11.11
33,fog,11.11
38,fog,0.0
24,fog,20.0
72,fog,29.07
54,fog,6.25
65,fog,0.0
64,fog,0.0
102,fog,8.0
71,fog,8.33
58,fog,0.0
101,fog,20.0
85,fog,33.33
10,fog,46.15
92,fog,0.0
18,fog,60.0
82,fog,0.0
44,fog,28.57
100,fog,0.0
80,fog,0.0
8,fog,0.0
98,fog,0.0
84,fog,0.0
13,fog,25.0
94,fog,0.0
14,fog,0.0
9,fog,0.0
95,fog,0.0
