class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,97.56,87.8,84.55,78.05,67.48,49.59,30.89,13.01,0.81,0.0,0.0,123
1,93.18,84.09,81.82,75.0,63.64,40.91,29.55,15.91,6.82,0.0,0.0,44
2,88.89,79.63,77.78,72.22,61.11,46.3,33.33,20.37,0.0,0.0,0.0,54
3,76.19,71.43,57.14,61.9,52.38,28.57,23.81,4.76,0.0,0.0,0.0,21
4,88.89,77.78,77.78,77.78,33.33,33.33,22.22,0.0,0.0,0.0,0.0,9
5,85.71,85.71,100.0,57.14,42.86,42.86,28.57,14.29,14.29,0.0,0.0,7
6,90.0,78.33,68.33,55.0,45.0,30.0,13.33,5.0,1.67,0.0,0.0,60
7,90.0,55.0,47.5,25.0,27.5,5.0,2.5,0.0,0.0,0.0,0.0,40
8,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,33.33,33.33,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,3
10,100.0,69.23,76.92,61.54,61.54,38.46,23.08,7.69,0.0,0.0,0.0,13
11,86.67,66.67,73.33,57.78,42.22,46.67,26.67,6.67,2.22,0.0,0.0,45
12,91.84,73.47,67.35,62.24,56.12,41.84,31.63,12.24,6.12,0.0,0.0,98
13,75.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,66.67,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3
15,95.57,82.91,75.95,64.56,44.3,36.71,21.52,6.33,0.0,0.0,0.0,158
16,93.04,88.28,86.08,78.02,68.5,65.93,45.79,38.46,17.22,15.38,10.62,273
17,90.38,69.23,71.15,63.46,44.23,34.62,17.31,11.54,1.92,1.92,0.0,52
18,60.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5
19,95.28,83.02,71.7,67.92,48.11,39.62,16.98,4.72,1.89,0.0,0.0,106
20,97.4,93.94,90.91,83.98,78.35,66.23,51.95,32.47,12.12,4.76,0.0,231
21,92.47,82.8,65.59,67.74,49.46,31.18,26.88,10.75,10.75,7.53,0.0,93
22,81.54,78.46,84.62,80.0,80.0,69.23,56.92,43.08,15.38,0.0,0.0,65
23,98.46,92.92,92.92,88.31,80.62,71.08,61.54,44.92,20.62,8.31,6.15,325
24,70.0,70.0,50.0,30.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,20
25,76.19,76.19,61.9,38.1,57.14,47.62,38.1,19.05,9.52,4.76,0.0,21
26,95.45,86.36,72.73,59.09,45.45,27.27,40.91,13.64,4.55,0.0,0.0,22
27,0.0,0.0,29.41,17.65,0.0,5.88,0.0,5.88,5.88,0.0,0.0,17
28,98.44,85.16,78.12,73.44,69.14,50.78,42.58,32.81,24.22,21.09,13.67,256
29,92.98,66.67,54.39,43.86,24.56,12.28,10.53,3.51,0.0,0.0,0.0,57
30,99.07,95.36,93.27,90.49,86.54,79.35,71.93,56.15,35.27,15.31,6.03,431
31,93.89,92.78,92.22,88.33,88.33,85.0,72.22,57.78,37.78,21.11,16.11,180
32,98.31,91.57,89.33,84.27,76.97,66.01,57.87,41.01,21.35,8.43,0.28,356
33,83.33,83.33,77.78,83.33,72.22,61.11,38.89,44.44,11.11,0.0,0.0,18
34,100.0,100.0,95.24,100.0,90.48,71.43,71.43,23.81,9.52,0.0,0.0,21
35,97.14,82.86,65.71,68.57,45.71,25.71,31.43,8.57,5.71,0.0,0.0,35
36,99.35,96.75,93.51,88.31,79.87,67.53,59.09,39.61,23.38,5.84,2.6,154
37,95.68,93.53,88.49,77.7,68.35,48.92,31.65,15.11,10.79,2.16,1.44,139
38,100.0,100.0,77.78,55.56,55.56,33.33,33.33,11.11,0.0,0.0,0.0,9
39,93.94,81.82,78.79,54.55,45.45,15.15,12.12,0.0,3.03,0.0,0.0,33
40,95.74,87.23,89.36,63.83,51.06,36.17,21.28,6.38,0.0,0.0,0.0,47
41,97.94,94.85,93.81,91.75,85.57,77.32,67.01,42.27,13.4,3.09,1.03,97
42,94.87,92.31,84.62,78.21,75.64,53.85,35.9,21.79,8.97,7.69,0.0,78
43,96.3,88.89,85.19,77.78,81.48,64.81,50.0,29.63,20.37,1.85,0.0,54
44,85.71,71.43,57.14,71.43,71.43,42.86,14.29,14.29,0.0,0.0,0.0,7
45,99.62,96.98,94.72,89.06,80.75,71.7,52.08,28.68,10.57,3.4,0.75,265
46,98.43,89.8,80.78,68.63,60.39,47.45,33.73,20.0,4.71,1.96,0.39,255
47,88.89,77.78,70.37,62.96,37.04,18.52,3.7,0.0,0.0,0.0,0.0,27
48,95.99,88.89,85.8,80.86,74.69,65.12,45.99,21.6,11.42,1.85,0.0,324
49,98.21,83.93,85.71,76.79,67.86,62.5,21.43,17.86,3.57,0.0,0.0,56
50,97.1,87.44,83.82,79.95,71.5,60.39,50.24,39.37,23.91,11.35,3.38,414
