filter,ideal_42,noise_52,noise_49,noise_42
Original,94.82255704491968,92.75579453596643,92.53005320781745,93.11308912309424
fognight,37.52215082369795,74.49139158907194,76.12907602578534,76.14848869333879
fogsnow,32.333938401719024,75.4539158907193,75.21733653944541,75.8616279545687
fograin,41.758576690883054,79.50563695896861,78.78856543538319,79.56623350046044
rainnight,62.18200040929089,89.92126368566461,90.1468402742249,91.18954671032435
snownight,23.995547938197074,81.7353862682902,83.13784303693849,85.40865854906374
