class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,98.37,98.37,97.56,97.56,98.37,96.75,95.93,97.56,97.56,96.75,98.37,123
1,93.18,93.18,93.18,93.18,88.64,88.64,90.91,86.36,93.18,90.91,88.64,44
2,90.74,92.59,94.44,92.59,87.04,87.04,92.59,85.19,88.89,90.74,85.19,54
3,71.43,71.43,66.67,71.43,71.43,76.19,71.43,71.43,76.19,76.19,71.43,21
4,88.89,88.89,88.89,88.89,88.89,88.89,77.78,77.78,88.89,88.89,77.78,9
5,85.71,85.71,85.71,85.71,100.0,100.0,85.71,100.0,85.71,85.71,85.71,7
6,86.67,86.67,86.67,86.67,90.0,90.0,88.33,86.67,85.0,90.0,85.0,60
7,90.0,92.5,92.5,92.5,80.0,75.0,77.5,85.0,72.5,67.5,70.0,40
8,66.67,66.67,66.67,100.0,100.0,66.67,66.67,66.67,66.67,66.67,66.67,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,76.92,76.92,76.92,76.92,69.23,76.92,84.62,76.92,76.92,76.92,76.92,13
11,97.78,97.78,100.0,93.33,93.33,93.33,95.56,91.11,93.33,93.33,88.89,45
12,94.9,94.9,94.9,95.92,89.8,92.86,89.8,91.84,91.84,89.8,86.73,98
13,100.0,75.0,75.0,50.0,75.0,50.0,50.0,50.0,75.0,75.0,25.0,4
14,66.67,66.67,33.33,33.33,66.67,33.33,66.67,33.33,33.33,33.33,33.33,3
15,98.1,96.2,96.2,95.57,96.2,96.2,97.47,96.2,96.2,95.57,94.94,158
16,93.41,93.41,93.04,92.31,92.31,92.67,91.94,91.58,92.31,92.31,92.67,273
17,88.46,88.46,88.46,88.46,86.54,88.46,88.46,86.54,90.38,90.38,84.62,52
18,40.0,20.0,40.0,40.0,40.0,40.0,20.0,40.0,40.0,40.0,20.0,5
19,95.28,95.28,96.23,95.28,93.4,93.4,98.11,93.4,89.62,90.57,95.28,106
20,97.84,98.27,97.4,96.97,96.97,95.24,96.54,96.54,96.97,96.1,95.67,231
21,95.7,94.62,95.7,92.47,91.4,96.77,94.62,93.55,89.25,92.47,91.4,93
22,83.08,83.08,83.08,81.54,83.08,83.08,83.08,83.08,83.08,83.08,83.08,65
23,97.23,97.54,96.92,97.54,96.62,97.54,96.62,96.92,95.08,96.0,96.0,325
24,85.0,85.0,85.0,80.0,85.0,80.0,85.0,85.0,90.0,80.0,80.0,20
25,80.95,80.95,80.95,80.95,80.95,85.71,85.71,90.48,71.43,90.48,85.71,21
26,95.45,90.91,95.45,95.45,95.45,95.45,95.45,95.45,90.91,90.91,95.45,22
27,17.65,17.65,17.65,11.76,17.65,11.76,11.76,11.76,17.65,17.65,17.65,17
28,98.05,97.66,98.05,96.88,96.48,95.7,95.31,97.66,96.48,94.53,93.75,256
29,96.49,91.23,92.98,91.23,89.47,91.23,85.96,87.72,87.72,87.72,82.46,57
30,98.84,99.07,98.84,98.38,98.38,98.84,97.91,98.61,98.14,99.3,98.84,431
31,93.33,92.78,93.33,92.78,92.78,93.33,94.44,92.78,92.22,91.67,91.67,180
32,97.75,97.47,96.91,97.47,96.63,97.47,96.35,96.07,94.94,95.79,95.22,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,91.43,91.43,88.57,88.57,88.57,88.57,82.86,82.86,82.86,85.71,80.0,35
36,99.35,99.35,98.7,99.35,99.35,99.35,100.0,99.35,99.35,100.0,98.7,154
37,94.96,95.68,94.24,94.24,94.24,94.24,95.68,95.68,95.68,94.24,95.68,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,100.0,100.0,9
39,93.94,90.91,90.91,90.91,93.94,90.91,90.91,90.91,90.91,90.91,90.91,33
40,93.62,93.62,95.74,93.62,95.74,95.74,91.49,93.62,89.36,91.49,95.74,47
41,97.94,97.94,97.94,96.91,97.94,96.91,97.94,97.94,95.88,94.85,96.91,97
42,96.15,97.44,97.44,96.15,97.44,96.15,96.15,97.44,97.44,96.15,98.72,78
43,98.15,96.3,96.3,94.44,94.44,96.3,94.44,96.3,96.3,96.3,96.3,54
44,100.0,85.71,100.0,100.0,85.71,100.0,85.71,85.71,100.0,85.71,100.0,7
45,99.62,99.62,99.25,100.0,99.62,98.87,99.25,98.87,98.49,98.11,97.74,265
46,97.65,98.04,96.08,97.65,96.47,95.69,94.9,95.29,94.12,94.9,95.29,255
47,88.89,85.19,96.3,92.59,81.48,88.89,88.89,77.78,85.19,77.78,74.07,27
48,94.75,94.44,94.14,93.83,94.14,94.44,94.44,95.37,94.14,92.9,91.67,324
49,92.86,92.86,92.86,92.86,91.07,92.86,92.86,94.64,92.86,92.86,91.07,56
50,97.1,96.14,95.65,96.62,95.17,94.2,95.89,93.48,94.44,94.44,92.51,414
51,98.77,97.94,97.53,97.53,96.3,95.88,95.06,93.42,91.36,92.59,93.0,243
52,98.97,98.76,98.55,98.55,97.52,97.31,97.11,95.87,95.25,93.6,94.42,484
53,92.02,91.18,89.5,91.18,88.24,88.24,86.13,86.97,84.87,86.13,87.82,238
54,62.5,62.5,56.25,56.25,50.0,62.5,50.0,50.0,56.25,56.25,50.0,16
55,98.7,98.27,97.4,96.54,96.54,96.97,96.97,96.97,95.24,93.07,90.04,231
56,79.17,75.0,70.83,66.67,54.17,54.17,62.5,50.0,58.33,54.17,45.83,24
57,94.39,93.37,94.39,91.84,91.84,91.33,90.82,92.35,90.31,90.82,91.84,196
58,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,75.0,83.33,83.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,96.83,92.06,96.83,93.65,88.89,92.06,88.89,90.48,90.48,82.54,85.71,63
61,96.43,96.43,96.43,94.64,96.43,94.64,94.64,92.86,96.43,94.64,92.86,56
