class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,95.12,96.75,92.68,50.41,65.85,53.66,92.68,96.75,93.5,88.62,95.12,90.24,64.23,75.61,67.48,95.12,97.56,92.68,123
1,81.82,81.82,97.73,40.91,50.0,56.82,65.91,86.36,97.73,63.64,54.55,75.0,59.09,50.0,61.36,81.82,81.82,97.73,44
2,92.59,85.19,90.74,35.19,40.74,48.15,81.48,70.37,87.04,87.04,83.33,87.04,72.22,66.67,77.78,92.59,83.33,90.74,54
3,66.67,71.43,71.43,23.81,9.52,19.05,66.67,71.43,76.19,66.67,57.14,66.67,33.33,52.38,38.1,66.67,71.43,71.43,21
4,88.89,55.56,55.56,0.0,0.0,0.0,88.89,33.33,33.33,77.78,66.67,55.56,55.56,44.44,22.22,88.89,66.67,55.56,9
5,57.14,71.43,85.71,0.0,0.0,14.29,42.86,42.86,71.43,42.86,57.14,57.14,14.29,71.43,71.43,57.14,71.43,85.71,7
6,90.0,78.33,86.67,48.33,35.0,61.67,83.33,71.67,88.33,85.0,80.0,83.33,76.67,61.67,63.33,90.0,80.0,86.67,60
7,77.5,57.5,67.5,17.5,0.0,12.5,67.5,20.0,62.5,50.0,37.5,47.5,15.0,25.0,12.5,77.5,60.0,67.5,40
8,66.67,0.0,33.33,0.0,0.0,33.33,66.67,33.33,33.33,66.67,0.0,66.67,66.67,0.0,33.33,66.67,0.0,33.33,3
9,66.67,66.67,100.0,0.0,0.0,0.0,33.33,33.33,100.0,66.67,33.33,100.0,33.33,33.33,33.33,66.67,66.67,100.0,3
10,76.92,92.31,84.62,30.77,46.15,46.15,84.62,92.31,84.62,69.23,92.31,76.92,61.54,84.62,61.54,76.92,92.31,84.62,13
11,88.89,93.33,82.22,17.78,28.89,51.11,88.89,75.56,84.44,84.44,73.33,68.89,62.22,55.56,55.56,88.89,91.11,82.22,45
12,87.76,82.65,83.67,22.45,27.55,28.57,85.71,77.55,84.69,72.45,64.29,70.41,46.94,53.06,57.14,87.76,81.63,83.67,98
13,50.0,50.0,75.0,0.0,0.0,25.0,0.0,0.0,50.0,25.0,0.0,25.0,0.0,25.0,0.0,50.0,50.0,75.0,4
14,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,33.33,33.33,3
15,100.0,77.22,96.84,51.27,8.23,62.66,96.2,51.9,95.57,97.47,71.52,92.41,81.01,60.76,64.56,100.0,79.75,96.84,158
16,94.14,89.74,94.51,47.99,64.47,74.73,90.11,91.94,92.31,94.14,88.28,93.04,81.32,78.02,86.08,94.14,90.84,94.51,273
17,80.77,69.23,80.77,25.0,28.85,38.46,80.77,40.38,76.92,78.85,71.15,65.38,61.54,57.69,51.92,80.77,69.23,80.77,52
18,60.0,40.0,80.0,20.0,0.0,20.0,80.0,0.0,80.0,60.0,20.0,80.0,60.0,40.0,60.0,60.0,40.0,80.0,5
19,86.79,86.79,85.85,11.32,31.13,8.49,78.3,83.02,67.92,70.75,79.25,63.21,42.45,50.0,27.36,85.85,86.79,83.96,106
20,98.27,95.67,93.94,67.53,48.05,63.64,94.81,92.21,92.21,93.94,90.48,89.61,82.68,85.28,75.76,97.84,95.67,93.94,231
21,90.32,84.95,80.65,27.96,40.86,38.71,88.17,83.87,74.19,87.1,80.65,77.42,65.59,65.59,54.84,90.32,86.02,80.65,93
22,80.0,83.08,83.08,61.54,58.46,73.85,80.0,80.0,83.08,76.92,80.0,83.08,64.62,75.38,72.31,80.0,83.08,83.08,65
23,94.77,94.77,93.85,42.77,64.62,45.54,89.85,95.69,93.85,92.62,92.92,89.54,78.77,84.92,80.62,94.77,95.08,93.85,325
