class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,98.37,98.37,98.37,97.56,99.19,98.37,99.19,97.56,98.37,96.75,97.56,123
1,90.91,93.18,93.18,90.91,90.91,90.91,90.91,93.18,90.91,90.91,93.18,44
2,81.48,79.63,74.07,79.63,75.93,77.78,81.48,83.33,77.78,79.63,75.93,54
3,66.67,71.43,71.43,61.9,61.9,61.9,61.9,66.67,52.38,71.43,52.38,21
4,66.67,66.67,66.67,44.44,66.67,66.67,55.56,55.56,66.67,55.56,66.67,9
5,57.14,57.14,57.14,57.14,57.14,71.43,57.14,57.14,57.14,71.43,71.43,7
6,93.33,88.33,88.33,86.67,90.0,88.33,86.67,86.67,85.0,86.67,85.0,60
7,82.5,77.5,77.5,85.0,80.0,77.5,75.0,82.5,77.5,57.5,57.5,40
8,66.67,66.67,66.67,33.33,33.33,66.67,33.33,33.33,33.33,0.0,33.33,3
9,33.33,33.33,33.33,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,92.31,84.62,84.62,84.62,13
11,86.67,86.67,88.89,88.89,84.44,86.67,88.89,86.67,80.0,82.22,84.44,45
12,91.84,90.82,90.82,89.8,89.8,90.82,89.8,90.82,86.73,90.82,85.71,98
13,75.0,75.0,75.0,75.0,75.0,50.0,25.0,25.0,50.0,25.0,50.0,4
14,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,33.33,33.33,66.67,3
15,93.04,92.41,92.41,93.04,91.14,93.04,93.67,89.87,92.41,91.77,93.67,158
16,93.04,92.67,92.67,92.31,92.67,92.31,92.31,92.31,92.31,93.41,92.31,273
17,82.69,80.77,82.69,86.54,82.69,86.54,86.54,84.62,82.69,84.62,84.62,52
18,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,60.0,60.0,5
19,91.51,90.57,93.4,92.45,90.57,92.45,89.62,94.34,91.51,90.57,91.51,106
20,97.84,97.4,97.84,97.4,96.54,97.4,96.54,96.1,96.54,96.54,95.67,231
21,94.62,94.62,95.7,93.55,97.85,95.7,91.4,94.62,96.77,94.62,93.55,93
22,83.08,81.54,83.08,83.08,81.54,83.08,83.08,83.08,81.54,83.08,83.08,65
23,96.62,96.62,96.92,96.62,96.92,96.31,96.92,97.85,96.31,95.38,95.69,325
24,50.0,45.0,50.0,60.0,55.0,55.0,45.0,40.0,40.0,45.0,40.0,20
25,76.19,80.95,76.19,76.19,85.71,80.95,76.19,76.19,80.95,85.71,85.71,21
26,95.45,95.45,95.45,95.45,90.91,95.45,95.45,95.45,95.45,95.45,90.91,22
27,5.88,5.88,5.88,5.88,5.88,5.88,11.76,5.88,5.88,11.76,5.88,17
28,97.27,96.48,97.66,97.66,98.05,96.48,96.88,96.88,96.88,96.09,96.88,256
29,70.18,78.95,75.44,75.44,77.19,70.18,73.68,66.67,75.44,78.95,68.42,57
30,97.68,97.91,97.22,96.29,96.98,97.22,96.98,96.98,97.68,97.68,97.22,431
31,87.78,87.78,87.78,87.22,88.33,88.89,89.44,87.78,89.44,90.0,87.78,180
32,96.35,96.35,96.63,95.79,96.07,96.63,96.07,94.1,96.07,96.35,95.79,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,91.43,91.43,88.57,88.57,88.57,94.29,88.57,88.57,94.29,91.43,91.43,35
36,97.4,96.1,96.75,96.75,96.75,97.4,96.75,95.45,98.05,96.75,96.75,154
37,96.4,97.12,96.4,96.4,96.4,97.84,97.12,94.24,95.68,96.4,96.4,139
38,100.0,100.0,100.0,100.0,88.89,100.0,88.89,100.0,77.78,88.89,88.89,9
39,78.79,81.82,84.85,75.76,75.76,84.85,78.79,81.82,78.79,81.82,78.79,33
40,80.85,82.98,80.85,80.85,82.98,80.85,82.98,82.98,85.11,80.85,82.98,47
41,91.75,91.75,91.75,91.75,92.78,90.72,92.78,91.75,90.72,91.75,91.75,97
42,91.03,92.31,89.74,89.74,92.31,91.03,93.59,91.03,91.03,92.31,88.46,78
43,100.0,98.15,98.15,96.3,100.0,96.3,96.3,96.3,96.3,94.44,96.3,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,99.62,99.25,99.62,99.25,98.49,98.87,98.87,98.11,98.11,98.87,99.25,265
46,96.86,97.65,98.04,96.47,96.47,97.25,97.25,96.86,96.86,95.29,96.47,255
47,77.78,81.48,81.48,77.78,77.78,77.78,81.48,77.78,81.48,74.07,77.78,27
48,93.21,92.9,92.59,93.52,92.28,92.9,93.83,93.21,91.67,91.67,91.36,324
49,91.07,92.86,92.86,92.86,89.29,89.29,91.07,92.86,94.64,92.86,92.86,56
50,92.27,92.75,92.27,92.03,90.58,90.58,90.1,90.1,89.61,88.89,90.34,414
51,93.0,91.77,91.36,91.77,89.71,90.95,90.12,90.12,89.71,88.07,90.53,243
52,96.69,97.11,96.69,95.87,96.07,96.49,95.45,93.6,95.04,94.42,92.98,484
53,88.66,88.66,88.24,88.24,88.24,86.13,84.87,84.03,86.55,84.87,83.19,238
54,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,56.25,56.25,56.25,16
55,95.67,93.94,95.24,93.94,93.07,93.51,93.07,92.64,91.34,90.91,93.07,231
56,70.83,66.67,62.5,62.5,54.17,54.17,62.5,58.33,66.67,58.33,58.33,24
57,93.88,92.35,92.35,93.88,94.9,92.35,90.82,90.31,93.88,91.33,91.33,196
58,83.33,83.33,83.33,66.67,75.0,75.0,75.0,75.0,75.0,75.0,66.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,88.89,90.48,88.89,84.13,87.3,82.54,84.13,85.71,87.3,82.54,87.3,63
61,91.07,89.29,89.29,87.5,89.29,87.5,87.5,87.5,87.5,87.5,91.07,56
