class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,99.19,98.37,98.37,98.37,98.37,98.37,96.75,98.37,98.37,99.19,123
1,88.64,88.64,90.91,88.64,90.91,88.64,90.91,88.64,90.91,93.18,90.91,44
2,90.74,90.74,88.89,88.89,88.89,87.04,87.04,85.19,87.04,88.89,88.89,54
3,80.95,76.19,76.19,76.19,76.19,76.19,76.19,76.19,66.67,71.43,61.9,21
4,55.56,66.67,66.67,55.56,66.67,66.67,66.67,55.56,55.56,66.67,66.67,9
5,57.14,57.14,42.86,42.86,42.86,42.86,42.86,42.86,71.43,42.86,42.86,7
6,91.67,93.33,91.67,91.67,90.0,90.0,91.67,91.67,90.0,88.33,88.33,60
7,92.5,95.0,95.0,95.0,92.5,92.5,82.5,82.5,80.0,75.0,72.5,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,84.62,84.62,84.62,92.31,92.31,92.31,92.31,92.31,92.31,13
11,88.89,93.33,93.33,93.33,93.33,95.56,93.33,88.89,86.67,91.11,86.67,45
12,88.78,89.8,89.8,91.84,90.82,89.8,90.82,90.82,90.82,90.82,93.88,98
13,75.0,50.0,50.0,50.0,75.0,75.0,75.0,50.0,75.0,50.0,50.0,4
14,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,3
15,93.04,90.51,92.41,91.77,91.14,91.14,91.14,90.51,91.14,91.14,90.51,158
16,92.31,92.67,92.67,93.04,93.04,93.41,93.04,92.67,93.41,93.04,92.31,273
17,82.69,80.77,82.69,80.77,80.77,78.85,78.85,76.92,73.08,73.08,71.15,52
18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
19,90.57,90.57,92.45,93.4,91.51,92.45,92.45,90.57,90.57,93.4,93.4,106
20,96.97,96.97,96.54,96.54,96.54,96.1,96.54,96.1,96.97,96.1,96.1,231
21,91.4,91.4,90.32,90.32,91.4,90.32,89.25,88.17,88.17,83.87,81.72,93
22,84.62,83.08,84.62,83.08,83.08,83.08,83.08,83.08,83.08,83.08,83.08,65
23,96.62,95.69,96.31,96.31,96.62,96.31,96.0,96.0,96.0,94.77,96.31,325
24,70.0,70.0,70.0,70.0,75.0,75.0,70.0,70.0,80.0,75.0,75.0,20
25,95.24,90.48,90.48,90.48,90.48,90.48,90.48,90.48,90.48,71.43,66.67,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,90.91,22
27,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,98.44,98.44,98.44,98.44,98.05,97.66,97.66,96.88,97.27,98.05,96.88,256
29,77.19,75.44,70.18,71.93,71.93,71.93,68.42,70.18,70.18,70.18,68.42,57
30,97.45,97.45,97.68,97.68,97.68,97.22,97.45,96.52,96.52,96.29,96.75,431
31,95.0,96.11,94.44,94.44,95.56,95.0,93.89,93.33,93.33,91.11,90.56,180
32,98.03,96.91,96.91,97.19,97.47,97.75,97.47,97.19,97.19,92.98,91.01,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,91.43,91.43,91.43,94.29,91.43,91.43,88.57,85.71,88.57,85.71,35
36,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,97.4,98.05,98.05,154
37,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,97.12,95.68,94.96,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9
39,90.91,87.88,87.88,87.88,90.91,90.91,87.88,90.91,90.91,84.85,75.76,33
40,80.85,78.72,80.85,78.72,82.98,80.85,78.72,80.85,80.85,80.85,74.47,47
41,92.78,91.75,92.78,92.78,90.72,90.72,91.75,90.72,91.75,91.75,94.85,97
42,92.31,92.31,92.31,92.31,89.74,91.03,91.03,91.03,92.31,92.31,91.03,78
43,98.15,98.15,98.15,98.15,98.15,98.15,98.15,98.15,96.3,90.74,90.74,54
44,71.43,71.43,71.43,71.43,71.43,71.43,85.71,71.43,71.43,71.43,71.43,7
45,99.62,98.87,98.87,98.87,98.87,99.25,99.25,99.25,98.87,98.87,98.11,265
46,97.65,96.47,96.86,97.25,97.25,96.47,97.25,96.86,97.65,97.65,96.86,255
47,85.19,81.48,77.78,74.07,77.78,77.78,77.78,77.78,77.78,74.07,74.07,27
48,92.9,93.21,92.9,93.21,93.83,93.83,94.14,93.83,94.14,92.59,95.06,324
49,87.5,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,56
50,94.44,95.17,94.93,95.41,94.69,94.69,94.93,94.69,94.93,94.69,94.44,414
51,96.3,96.71,96.3,96.3,96.3,95.88,95.47,95.47,95.47,95.88,95.06,243
52,94.83,95.04,95.25,95.66,96.07,95.04,95.45,95.87,95.25,95.66,95.04,484
53,86.55,86.97,86.97,85.71,85.71,86.13,85.71,86.13,85.29,83.61,79.83,238
54,50.0,56.25,56.25,56.25,50.0,50.0,56.25,56.25,56.25,50.0,43.75,16
55,93.51,94.81,95.24,96.1,96.54,96.54,96.54,94.81,94.81,95.24,93.07,231
56,70.83,75.0,75.0,70.83,75.0,75.0,70.83,70.83,70.83,58.33,45.83,24
57,92.35,91.84,91.84,91.33,91.33,91.33,90.82,91.33,92.35,90.82,90.31,196
58,58.33,75.0,66.67,75.0,75.0,75.0,75.0,83.33,83.33,83.33,83.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.3,27
60,92.06,87.3,92.06,90.48,92.06,90.48,93.65,95.24,92.06,92.06,90.48,63
61,96.43,94.64,94.64,96.43,92.86,96.43,96.43,96.43,94.64,94.64,94.64,56
62,78.79,75.76,72.73,84.85,87.88,75.76,84.85,84.85,84.85,81.82,87.88,33
63,95.56,95.11,95.56,95.11,94.22,94.22,92.0,89.33,85.78,76.89,73.33,225
64,63.64,63.64,54.55,54.55,54.55,54.55,54.55,54.55,36.36,18.18,9.09,11
65,88.89,88.89,77.78,77.78,77.78,77.78,77.78,66.67,55.56,33.33,44.44,9
66,87.69,85.38,85.38,86.15,82.31,77.69,80.0,76.92,73.08,73.85,74.62,130
67,99.44,100.0,100.0,99.44,100.0,100.0,100.0,99.44,98.89,98.89,96.11,180
68,94.44,88.89,91.67,91.67,91.67,91.67,91.67,94.44,91.67,88.89,88.89,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,96.55,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24
72,97.67,97.67,97.67,97.67,97.67,97.67,97.67,98.84,97.67,96.51,96.51,86
73,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,93.88,91.84,93.88,49
