class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,98.37,98.37,93.5,73.17,52.85,67.48,97.56,96.75,92.68,96.75,92.68,91.06,75.61,79.67,82.93,98.37,98.37,93.5,123
1,93.18,93.18,95.45,52.27,47.73,52.27,95.45,90.91,88.64,68.18,65.91,70.45,54.55,63.64,56.82,93.18,93.18,93.18,44
2,94.44,88.89,88.89,70.37,72.22,64.81,92.59,90.74,88.89,90.74,90.74,88.89,81.48,79.63,75.93,94.44,88.89,90.74,54
3,85.71,61.9,57.14,28.57,23.81,23.81,85.71,52.38,57.14,76.19,52.38,57.14,61.9,47.62,33.33,85.71,57.14,57.14,21
4,88.89,55.56,88.89,11.11,22.22,22.22,77.78,11.11,88.89,77.78,55.56,77.78,22.22,66.67,77.78,88.89,55.56,88.89,9
5,71.43,57.14,85.71,14.29,0.0,0.0,71.43,85.71,71.43,71.43,57.14,57.14,28.57,71.43,71.43,71.43,57.14,85.71,7
6,93.33,83.33,96.67,53.33,40.0,63.33,95.0,73.33,85.0,85.0,81.67,95.0,63.33,73.33,85.0,93.33,83.33,98.33,60
7,85.0,65.0,67.5,5.0,5.0,10.0,65.0,57.5,50.0,60.0,55.0,47.5,40.0,22.5,25.0,85.0,65.0,65.0,40
8,66.67,66.67,66.67,33.33,0.0,0.0,66.67,66.67,66.67,66.67,66.67,66.67,0.0,33.33,33.33,66.67,66.67,66.67,3
9,100.0,66.67,66.67,33.33,0.0,0.0,100.0,33.33,66.67,100.0,66.67,66.67,0.0,100.0,33.33,100.0,66.67,66.67,3
10,92.31,76.92,76.92,53.85,38.46,30.77,92.31,76.92,53.85,84.62,76.92,61.54,84.62,69.23,69.23,92.31,76.92,76.92,13
11,88.89,93.33,91.11,46.67,26.67,44.44,80.0,80.0,80.0,75.56,80.0,84.44,48.89,64.44,64.44,86.67,91.11,91.11,45
12,95.92,90.82,88.78,42.86,37.76,35.71,90.82,92.86,86.73,79.59,70.41,70.41,56.12,48.98,63.27,95.92,88.78,88.78,98
13,75.0,25.0,75.0,25.0,0.0,0.0,50.0,25.0,25.0,50.0,25.0,75.0,25.0,25.0,50.0,75.0,25.0,75.0,4
14,66.67,33.33,0.0,66.67,0.0,0.0,66.67,0.0,0.0,33.33,0.0,33.33,0.0,33.33,33.33,66.67,33.33,0.0,3
15,96.84,98.1,89.87,63.29,55.06,37.34,93.04,84.18,74.68,94.3,93.67,82.28,75.95,75.95,59.49,96.84,98.1,88.61,158
16,95.6,91.58,90.11,53.48,64.47,70.33,93.77,90.11,87.91,94.87,89.74,89.74,79.85,77.66,78.02,95.6,90.48,89.74,273
17,88.46,88.46,86.54,34.62,65.38,53.85,73.08,61.54,84.62,84.62,86.54,84.62,57.69,67.31,55.77,88.46,88.46,86.54,52
18,80.0,20.0,80.0,20.0,0.0,40.0,80.0,60.0,60.0,60.0,40.0,80.0,40.0,0.0,80.0,80.0,20.0,80.0,5
19,84.91,84.91,88.68,12.26,16.04,23.58,72.64,83.02,77.36,64.15,65.09,79.25,35.85,33.96,49.06,85.85,85.85,87.74,106
20,96.1,97.84,95.24,60.17,67.53,77.06,90.04,94.81,96.97,91.34,93.51,93.07,79.65,86.15,83.12,96.1,97.4,95.67,231
21,93.55,93.55,89.25,33.33,17.2,36.56,86.02,78.49,80.65,90.32,81.72,80.65,56.99,65.59,65.59,93.55,93.55,89.25,93
22,76.92,76.92,73.85,47.69,61.54,63.08,76.92,78.46,76.92,73.85,73.85,73.85,64.62,72.31,69.23,76.92,76.92,73.85,65
23,96.92,93.54,91.38,55.08,63.38,67.38,96.31,94.15,90.46,92.0,92.31,91.08,81.85,79.38,83.38,96.92,93.54,91.38,325
24,50.0,75.0,65.0,0.0,30.0,20.0,40.0,85.0,60.0,35.0,65.0,55.0,25.0,35.0,35.0,45.0,80.0,60.0,20
25,95.24,95.24,76.19,57.14,19.05,19.05,90.48,85.71,71.43,90.48,76.19,66.67,61.9,47.62,66.67,95.24,80.95,71.43,21
26,90.91,86.36,90.91,45.45,22.73,72.73,95.45,86.36,90.91,95.45,86.36,90.91,68.18,54.55,77.27,90.91,86.36,90.91,22
27,5.88,0.0,5.88,11.76,0.0,11.76,0.0,0.0,5.88,5.88,0.0,5.88,0.0,5.88,11.76,5.88,0.0,5.88,17
28,96.88,96.48,97.66,52.73,66.02,51.56,94.53,95.31,96.88,88.67,87.11,84.77,58.2,67.97,66.8,97.27,96.48,97.66,256
29,73.68,64.91,80.7,19.3,8.77,12.28,73.68,47.37,59.65,56.14,31.58,43.86,31.58,24.56,33.33,75.44,66.67,82.46,57
30,98.84,98.61,97.68,87.24,89.79,85.38,98.38,97.45,96.29,98.14,97.91,95.36,90.26,92.34,88.4,98.61,98.61,97.45,431
31,91.67,91.67,81.11,35.0,44.44,35.0,87.22,84.44,58.33,87.78,89.44,80.0,80.56,83.33,78.89,91.11,92.78,82.78,180
32,97.19,96.07,96.35,85.11,77.81,77.25,96.07,87.92,93.54,94.66,92.98,94.66,73.03,76.12,80.62,97.19,96.07,96.35,356
33,94.44,77.78,77.78,38.89,38.89,55.56,83.33,77.78,72.22,100.0,77.78,72.22,94.44,77.78,66.67,94.44,77.78,77.78,18
34,100.0,100.0,95.24,85.71,52.38,57.14,90.48,95.24,95.24,100.0,95.24,90.48,90.48,80.95,76.19,100.0,100.0,95.24,21
35,91.43,74.29,94.29,45.71,28.57,28.57,71.43,48.57,68.57,88.57,62.86,82.86,62.86,51.43,77.14,94.29,74.29,94.29,35
36,99.35,98.7,100.0,81.17,57.79,72.08,62.99,84.42,93.51,99.35,97.4,100.0,83.12,89.61,94.81,100.0,98.7,100.0,154
37,96.4,96.4,95.68,71.22,74.1,52.52,97.12,95.68,92.81,97.12,97.12,96.4,75.54,83.45,75.54,96.4,95.68,95.68,139
38,66.67,44.44,55.56,0.0,11.11,0.0,33.33,33.33,0.0,66.67,44.44,55.56,44.44,44.44,55.56,66.67,44.44,55.56,9
39,87.88,84.85,90.91,36.36,30.3,15.15,87.88,69.7,69.7,75.76,87.88,84.85,45.45,63.64,63.64,87.88,87.88,90.91,33
40,91.49,89.36,93.62,42.55,53.19,72.34,95.74,87.23,91.49,91.49,89.36,95.74,78.72,82.98,82.98,91.49,91.49,93.62,47
41,97.94,95.88,94.85,34.02,67.01,73.2,97.94,96.91,94.85,85.57,89.69,90.72,71.13,78.35,72.16,97.94,95.88,94.85,97
42,97.44,94.87,91.03,41.03,50.0,67.95,96.15,84.62,92.31,94.87,93.59,83.33,74.36,84.62,79.49,96.15,94.87,88.46,78
43,98.15,88.89,87.04,51.85,35.19,42.59,92.59,83.33,81.48,98.15,87.04,79.63,79.63,61.11,72.22,98.15,90.74,87.04,54
44,100.0,85.71,85.71,14.29,57.14,42.86,100.0,85.71,85.71,100.0,85.71,85.71,85.71,57.14,57.14,100.0,85.71,85.71,7
45,98.49,97.36,96.98,50.57,52.83,63.77,96.6,95.09,96.6,93.58,94.72,92.45,77.74,83.4,80.38,98.49,97.36,96.98,265
46,94.9,90.98,94.9,21.57,12.55,24.31,81.18,77.65,92.16,81.57,65.49,81.96,42.35,35.69,54.12,95.69,90.59,94.51,255
47,92.59,81.48,92.59,11.11,29.63,22.22,81.48,70.37,62.96,85.19,70.37,74.07,70.37,62.96,44.44,88.89,81.48,92.59,27
48,94.14,94.75,94.14,72.84,79.32,64.2,94.14,94.75,94.44,93.21,93.52,92.9,80.25,85.8,82.1,94.14,95.06,93.83,324
49,94.64,91.07,92.86,50.0,60.71,58.93,98.21,91.07,94.64,94.64,87.5,94.64,66.07,80.36,89.29,94.64,91.07,94.64,56
50,94.93,93.48,93.96,51.93,60.39,56.04,92.03,90.82,87.68,85.75,85.99,89.61,69.57,70.29,71.74,94.2,92.27,92.75,414
51,90.53,93.42,86.42,14.81,22.22,31.28,85.19,89.71,79.84,77.37,82.72,76.13,42.39,59.67,53.09,88.89,92.59,86.42,243
52,95.04,95.66,95.25,47.52,42.36,50.41,92.15,91.74,92.36,82.23,82.23,81.4,54.55,60.95,57.85,95.04,95.04,95.04,484
53,89.5,90.76,93.28,30.67,26.05,17.23,85.71,87.39,84.87,77.31,76.89,81.51,44.54,47.9,58.82,89.92,90.34,92.02,238
54,50.0,56.25,50.0,6.25,37.5,0.0,56.25,43.75,6.25,37.5,50.0,37.5,31.25,50.0,37.5,50.0,56.25,50.0,16
55,96.97,81.39,84.85,14.29,15.58,14.29,88.31,75.32,71.0,66.67,58.01,65.8,29.44,36.36,42.42,97.4,82.25,85.71,231
56,83.33,70.83,58.33,12.5,4.17,8.33,33.33,25.0,4.17,58.33,54.17,37.5,33.33,37.5,37.5,83.33,66.67,62.5,24
57,84.18,83.16,87.76,7.65,10.2,10.71,78.06,77.55,75.51,57.65,60.71,66.33,41.33,44.39,35.2,83.16,83.16,87.24,196
58,91.67,66.67,66.67,0.0,0.0,25.0,91.67,50.0,83.33,91.67,58.33,75.0,41.67,8.33,50.0,91.67,83.33,83.33,12
59,100.0,100.0,100.0,33.33,29.63,44.44,100.0,100.0,100.0,100.0,96.3,100.0,59.26,66.67,66.67,100.0,100.0,100.0,27
60,61.9,82.54,79.37,3.17,36.51,31.75,50.79,80.95,79.37,42.86,63.49,65.08,46.03,31.75,30.16,55.56,80.95,77.78,63
61,92.86,92.86,91.07,26.79,53.57,62.5,92.86,87.5,89.29,92.86,89.29,89.29,71.43,57.14,66.07,92.86,94.64,91.07,56
62,87.88,84.85,96.97,12.12,9.09,36.36,93.94,93.94,96.97,54.55,69.7,87.88,21.21,42.42,51.52,87.88,81.82,96.97,33
63,94.22,91.56,92.44,20.89,21.78,15.11,47.11,49.78,44.44,80.89,76.44,81.33,71.56,66.22,66.67,93.78,91.56,92.44,225
64,45.45,45.45,63.64,0.0,0.0,9.09,27.27,36.36,9.09,36.36,36.36,27.27,27.27,36.36,27.27,45.45,45.45,63.64,11
65,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,9
66,69.23,70.0,75.38,10.77,6.15,1.54,33.08,13.08,14.62,50.77,47.69,50.77,48.46,29.23,46.92,68.46,70.77,75.38,130
67,96.11,95.56,99.44,16.11,36.11,30.56,81.67,83.89,82.78,75.0,80.0,82.78,61.67,53.89,60.56,95.56,97.22,100.0,180
68,86.11,75.0,83.33,19.44,33.33,19.44,72.22,80.56,63.89,75.0,69.44,77.78,58.33,55.56,58.33,83.33,77.78,80.56,36
69,72.73,63.64,72.73,45.45,18.18,54.55,72.73,72.73,81.82,72.73,63.64,81.82,63.64,36.36,45.45,72.73,63.64,72.73,11
70,100.0,100.0,98.28,27.59,53.45,36.21,94.83,94.83,79.31,94.83,96.55,93.1,77.59,72.41,75.86,100.0,100.0,98.28,58
71,95.83,83.33,75.0,0.0,0.0,0.0,37.5,41.67,0.0,62.5,58.33,45.83,54.17,37.5,33.33,95.83,83.33,79.17,24
72,97.67,89.53,90.7,20.93,36.05,2.33,83.72,72.09,5.81,97.67,87.21,82.56,77.91,79.07,60.47,97.67,89.53,90.7,86
73,95.92,97.96,95.92,44.9,42.86,22.45,91.84,53.06,28.57,97.96,97.96,89.8,85.71,83.67,61.22,95.92,97.96,95.92,49
