class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
78,97.97,97.46,97.46,88.83,85.79,86.8,87.31,82.74,84.77,87.82,90.86,89.34,97.46,95.94,95.43,91.37,90.36,90.86,197
79,88.35,91.26,92.23,74.76,76.7,73.79,66.99,78.64,81.55,76.7,85.44,79.61,89.32,92.23,91.26,86.41,85.44,85.44,103
80,100.0,33.33,100.0,33.33,33.33,66.67,66.67,66.67,100.0,33.33,33.33,66.67,100.0,66.67,100.0,66.67,66.67,66.67,3
81,91.67,94.44,86.11,80.56,83.33,75.0,75.0,86.11,72.22,72.22,77.78,75.0,88.89,86.11,86.11,86.11,86.11,83.33,36
82,100.0,100.0,100.0,42.86,14.29,28.57,57.14,42.86,85.71,71.43,71.43,85.71,100.0,100.0,85.71,85.71,85.71,71.43,7
83,94.87,93.59,96.15,69.23,64.1,71.79,70.51,73.08,78.21,70.51,74.36,76.92,93.59,88.46,91.03,83.33,71.79,82.05,78
84,25.0,50.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,4
85,44.44,22.22,11.11,33.33,22.22,0.0,0.0,0.0,11.11,0.0,11.11,22.22,44.44,22.22,22.22,11.11,11.11,0.0,9
86,94.94,95.51,87.08,55.62,71.35,53.93,73.6,79.78,84.27,79.21,83.71,80.9,86.52,92.13,87.64,82.58,80.34,79.78,178
87,87.97,90.51,88.61,37.97,44.3,44.94,44.3,48.1,55.7,53.16,55.06,56.33,72.15,81.01,82.91,62.66,65.82,67.72,158
88,64.29,71.43,71.43,35.71,39.29,46.43,39.29,39.29,35.71,28.57,57.14,42.86,60.71,71.43,60.71,50.0,50.0,42.86,28
89,25.0,62.5,62.5,12.5,0.0,62.5,12.5,25.0,50.0,0.0,12.5,37.5,25.0,50.0,62.5,12.5,12.5,62.5,8
90,98.06,97.57,98.54,90.61,85.6,90.94,93.2,93.69,92.88,93.85,94.82,94.82,97.73,96.28,97.09,94.66,90.61,91.75,618
91,89.83,89.83,89.83,61.02,54.24,66.1,55.93,50.85,66.1,61.02,64.41,77.97,83.05,88.14,89.83,72.88,74.58,84.75,59
92,33.33,0.0,16.67,8.33,0.0,0.0,8.33,0.0,8.33,8.33,0.0,8.33,41.67,8.33,8.33,16.67,16.67,0.0,12
93,41.38,77.59,77.59,18.97,27.59,29.31,29.31,43.1,46.55,25.86,51.72,51.72,25.86,56.9,58.62,25.86,36.21,37.93,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,71.43,42.86,14.29,71.43,14.29,0.0,42.86,28.57,14.29,57.14,14.29,14.29,71.43,14.29,0.0,57.14,14.29,0.0,7
97,79.37,79.37,84.13,69.84,55.56,69.84,65.08,61.9,71.43,68.25,61.9,69.84,76.19,74.6,77.78,68.25,66.67,71.43,63
98,0.0,100.0,100.0,0.0,33.33,0.0,0.0,0.0,0.0,33.33,33.33,0.0,33.33,66.67,66.67,0.0,66.67,33.33,3
99,78.95,89.47,89.47,73.68,78.95,78.95,68.42,57.89,78.95,73.68,68.42,68.42,78.95,84.21,84.21,78.95,73.68,94.74,19
100,66.67,33.33,66.67,16.67,16.67,0.0,16.67,16.67,33.33,0.0,16.67,16.67,16.67,16.67,33.33,16.67,16.67,50.0,6
101,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,96.0,96.0,96.0,72.0,48.0,72.0,52.0,60.0,60.0,60.0,68.0,56.0,92.0,92.0,96.0,92.0,92.0,92.0,25
