category,sub-category,images,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42
Dangerous warning,Dangerous warning,2228.0,90.46687342908437,73.06996005385994,60.25125314183124,70.64615798922799,73.3843631059246,48.22243761220826
Regularoty,Priority ,1041.0,96.16642267050915,86.48468395773295,82.78682708933718,88.21260422670511,84.62108645533144,62.55474063400576
Regularoty,Prohibitory,3957.0,93.43188425574931,74.45028708617637,63.340574677786186,73.46990725296942,74.28605104877433,47.40962218852667
Regularoty,Mandatory,1203.0,94.72147464671654,78.57036658354116,74.22344472152949,82.31908561928512,81.66309393183707,57.41454447215294
Regularoty,Special regulations,1344.0,88.95047544642857,69.78414657738094,69.24087648809525,75.8704620535714,73.47442336309523,49.24015699404762
