filter,rain,snow,fog,night
1.0,94.23238064054027,93.51280067533,94.44201534840886,93.79118428322931
2.0,94.00197001944133,92.22480896347078,94.27820014325182,93.4657880896347
3.0,93.668580067533,90.42389041236058,93.82490975135576,93.37587076639721
4.0,93.36646168013915,88.68521262662436,93.06865128415019,92.95761219686894
5.0,93.03957699785121,86.56983137214776,91.9338220607797,92.41073795149903
6.0,92.7174472526348,84.45834615778162,90.16257904430572,91.75993246700091
7.0,92.38007858385348,82.3175096694976,87.32653565946994,91.11029039189603
8.0,92.10680620075718,80.32011644326204,83.29881694464342,90.17796224291416
9.0,91.73777059244858,78.10284886933388,78.08037869640847,88.78945707561648
10.0,91.35889286810601,75.81303970121763,70.74416340939322,87.57790954671034
