category,sub-category,images,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42
Dangerous warning,Dangerous warning,2228.0,87.16401256732493,87.5681328545781,84.29149910233396,53.500412926391384,35.32295332136445,38.37521543985637,84.87515709156193,84.51505385996408,76.66140484739678,81.37307450628367,81.10452423698383,78.3218132854578,64.18260323159785,63.419793536804306,63.77952423698384,86.67009425493714,87.56719928186713,84.06618940754042
Regularoty,Priority ,1041.0,95.10255523535062,95.86926032660902,93.27827089337175,69.0699711815562,66.85795389048992,70.79940441882805,90.10474543707974,87.2240441882805,84.53622478386167,93.27813640730068,92.7936023054755,91.35527377521613,80.40264169068203,82.51738712776178,81.84522574447647,94.91170028818445,95.96395773294908,93.37337175792507
Regularoty,Prohibitory,3957.0,91.96361637604245,89.7400884508466,88.09825625473846,37.07326004548901,29.543313115996973,34.11718726307809,83.11879706848623,80.4148445792267,75.13163760424563,77.05348749052312,77.00150113722518,76.87659843315643,54.940055597675,56.35570634318927,56.38144553955016,91.78620166793027,89.5887465251453,87.996573161486
Regularoty,Mandatory,1203.0,94.26502909393183,93.43410640066503,90.10848711554445,38.6530008312552,38.73634247714048,15.793765586034914,76.97328345802161,83.37525353283456,45.6353948462178,86.2011221945137,87.44925187032419,77.8887863674148,63.92272651704073,69.2437655860349,63.42533665835411,94.42970906068162,93.432859517872,90.02430590191192
Regularoty,Special regulations,1344.0,83.3357142857143,81.6218080357143,83.18526785714285,49.92386904761905,46.65216517857142,43.67453124999999,65.10517113095237,67.93346726190477,60.93539434523808,78.71849702380952,78.42083333333333,77.97934523809525,61.237306547619056,64.65761160714287,67.3355505952381,83.26154761904763,82.14164434523809,83.48147321428571
