filter,fog,night,rain,snow
1.0,92.98269149698149,92.86703315256318,92.84265097718203,92.61753525017909
2.0,92.96551990177018,92.73719472014734,92.7108180701934,92.06976496469866
3.0,92.83549084211603,92.7945657423514,92.5818331116341,91.5202973498414
4.0,92.58486708277908,92.54806876087181,92.31347068453901,90.9474021283127
5.0,92.2890364268904,92.28294167604625,92.16318008799755,90.11259296019645
6.0,91.87555540775608,91.94648060984346,92.09249616289777,89.11622572393328
7.0,91.17994413179167,91.40281500051161,91.79689777959683,88.29929049421875
8.0,90.27925734165557,90.82292469047374,91.67804850097207,87.38676997851223
9.0,88.9387896244756,89.6358719942699,91.51748306558889,86.27133684641359
10.0,87.01104850097205,88.10818059961119,91.25850373477951,85.34830778675945
